lambda_idx,t_500.0_ms
0,15.721
1,16.065
2,15.607
3,15.672
4,15.667
5,15.512
6,15.274
7,15.313
8,15.488
9,16.632
10,16.149
11,15.816
12,16.428
13,15.930
14,15.642
15,15.940
16,15.249
17,15.776
18,15.791
19,14.980
20,15.990
21,15.975
22,15.254
23,15.413
24,15.552
25,15.249
26,15.975
27,15.328
28,14.910
29,15.194
30,15.642
31,15.786
32,16.383
33,14.726
34,15.612
35,15.677
36,14.687
37,16.035
38,15.672
39,15.846
40,14.761
41,14.557
42,15.428
43,15.672
44,15.502
45,15.657
46,15.318
47,15.239
48,15.801
49,16.164
50,15.075
51,15.517
52,15.905
53,15.498
54,15.119
55,15.786
56,16.040
57,15.368
58,15.274
59,14.791
60,16.378
61,15.692
62,15.627
63,15.134
64,15.577
65,15.080
66,14.801
67,14.781
68,15.796
69,14.677
70,14.965
71,15.040
72,15.239
73,15.119
74,15.891
75,15.144
76,14.955
77,15.478
78,14.900
79,15.144
80,15.343
81,15.552
82,16.284
83,14.662
84,15.567
85,15.607
86,15.065
87,15.468
88,15.861
89,15.000
90,14.980
91,15.488
92,14.652
93,15.662
94,14.871
95,15.348
96,15.438
97,15.169
98,15.194
99,15.423
100,14.706
101,14.831
102,15.328
103,14.682
104,14.547
105,14.721
106,15.234
107,15.085
108,15.338
109,14.224
110,15.015
111,15.597
112,15.821
113,15.498
114,15.741
115,15.507
116,15.562
117,14.905
118,15.279
119,14.871
120,15.582
121,15.154
122,15.701
123,14.567
124,14.378
125,15.035
126,15.005
127,15.413
128,15.114
129,14.343
130,15.547
131,14.652
132,14.582
133,15.308
134,15.343
135,15.517
136,15.552
137,14.851
138,14.493
139,15.672
140,15.567
141,14.985
142,14.761
143,15.005
144,15.284
145,15.398
146,15.622
147,15.378
148,15.333
149,14.547
150,15.567
151,15.448
152,15.164
153,15.358
154,14.308
155,15.274
156,14.896
157,15.632
158,16.259
159,13.592
160,14.811
161,15.632
162,14.791
163,15.328
164,14.980
165,15.353
166,14.662
167,15.159
168,14.677
169,15.438
170,15.846
171,15.343
172,15.915
173,15.129
174,15.085
175,15.413
176,15.254
177,15.473
178,14.876
179,14.881
180,14.945
181,13.950
182,14.269
183,15.363
184,15.114
185,14.244
186,15.950
187,15.050
188,15.925
189,15.697
190,14.746
191,16.050
192,16.219
193,15.254
194,15.512
195,15.522
196,15.582
197,14.721
198,15.622
199,15.050
200,16.284
201,15.303
202,15.169
203,14.876
204,15.164
205,15.174
206,14.478
207,15.060
208,14.816
209,15.224
210,14.453
211,15.139
212,14.677
213,14.910
214,14.935
215,15.373
216,15.090
217,14.652
218,14.333
219,15.308
220,14.597
221,14.851
222,14.119
223,14.806
224,15.075
225,14.537
226,14.846
227,14.577
228,14.289
229,14.756
230,14.990
231,15.070
232,15.786
233,15.403
234,15.174
235,14.905
236,14.861
237,14.736
238,14.308
239,15.129
240,15.129
241,15.388
242,15.209
243,15.139
244,15.289
245,14.935
246,15.692
247,15.612
248,15.209
249,14.896
250,15.065
251,14.647
252,14.786
253,15.119
254,15.244
255,14.776
256,14.821
257,14.642
258,14.507
259,14.697
260,14.393
261,14.522
262,15.234
263,14.900
264,14.746
265,15.478
266,15.498
267,15.144
268,14.582
269,15.080
270,15.468
271,15.577
272,15.050
273,15.174
274,15.985
275,15.159
276,14.896
277,15.035
278,14.657
279,15.119
280,15.010
281,15.119
282,15.647
283,15.080
284,14.950
285,15.368
286,15.687
287,14.473
288,15.284
289,15.672
290,15.025
291,14.736
292,14.985
293,14.811
294,15.095
295,15.851
296,15.403
297,15.114
298,15.080
299,14.642
300,14.950
301,14.841
302,15.284
303,15.139
304,15.080
305,15.602
306,15.687
307,14.323
308,15.433
309,14.811
310,15.423
311,15.020
312,15.408
313,15.602
314,15.741
315,15.239
316,15.662
317,15.368
318,14.975
319,15.035
320,15.408
321,15.070
322,15.597
323,15.403
324,14.512
325,14.662
326,15.209
327,14.383
328,14.900
329,15.383
330,14.900
331,15.433
332,14.980
333,15.284
334,15.328
335,15.264
336,14.920
337,15.214
338,16.055
339,14.368
340,15.587
341,15.687
342,14.930
343,15.274
344,14.975
345,14.940
346,15.358
347,14.995
348,15.114
349,14.592
350,14.498
351,15.473
352,15.144
353,14.891
354,15.527
355,15.552
356,14.741
357,15.214
358,14.572
359,15.070
360,15.567
361,15.711
362,14.960
363,15.522
364,15.035
365,14.358
366,15.025
367,14.433
368,14.771
369,14.687
370,15.413
371,15.279
372,15.716
373,14.682
374,15.537
375,15.129
376,14.836
377,15.627
378,14.731
379,15.239
380,15.358
381,15.388
382,15.109
383,15.826
384,14.975
385,15.393
386,15.473
387,14.925
388,15.299
389,15.065
390,15.269
391,15.308
392,15.413
393,16.766
394,15.781
395,14.582
396,14.687
397,14.746
398,14.826
399,15.617
400,15.179
401,15.209
402,15.070
403,16.333
404,15.224
405,14.781
406,14.721
407,15.164
408,14.796
409,14.910
410,14.891
411,15.736
412,15.378
413,15.095
414,14.965
415,15.652
416,14.592
417,15.801
418,15.771
419,15.876
420,14.662
421,14.716
422,15.254
423,15.209
424,15.363
425,15.498
426,15.657
427,15.045
428,15.274
429,15.020
430,15.617
431,14.343
432,15.358
433,14.900
434,15.060
435,15.045
436,15.264
437,14.244
438,15.075
439,14.741
440,15.025
441,15.060
442,15.249
443,15.129
444,15.010
445,15.289
446,14.776
447,15.383
448,15.607
449,15.308
450,14.612
451,15.184
452,15.502
453,14.871
454,15.264
455,15.507
456,14.736
457,14.945
458,15.025
459,15.861
460,14.736
461,15.358
462,15.527
463,15.721
464,15.343
465,15.478
466,15.174
467,15.582
468,15.433
469,15.060
470,15.313
471,14.756
472,15.284
473,15.279
474,15.234
475,15.194
476,15.900
477,15.517
478,14.259
479,15.169
480,14.761
481,15.323
482,14.935
483,14.726
484,14.776
485,14.940
486,14.552
487,14.677
488,15.438
489,14.706
490,15.846
491,14.731
492,15.418
493,14.662
494,15.015
495,15.836
496,14.418
497,14.841
498,15.498
499,15.065
500,15.055
501,14.955
502,15.488
503,15.045
504,15.517
505,14.891
506,15.388
507,15.358
508,15.667
509,14.129
510,14.826
511,14.925
512,14.348
513,15.313
514,15.104
515,15.403
516,14.721
517,15.333
518,15.562
519,15.189
520,15.050
521,15.343
522,15.473
523,13.950
524,15.070
525,15.015
526,16.030
527,14.781
528,15.592
529,15.274
530,15.672
531,15.433
532,15.597
533,15.358
534,15.159
535,15.816
536,14.920
537,15.129
538,15.498
539,15.244
540,15.910
541,15.607
542,15.139
543,14.970
544,14.478
545,14.806
546,14.403
547,15.507
548,15.557
549,14.950
550,15.328
551,15.055
552,14.567
553,15.134
554,15.592
555,15.229
556,14.881
557,15.129
558,14.826
559,15.537
560,14.915
561,15.294
562,14.537
563,15.373
564,16.010
565,14.721
