lambda_idx,t_500.0_ms
0,16.169
1,16.209
2,15.925
3,15.761
4,15.995
5,15.796
6,15.512
7,15.642
8,15.682
9,16.886
10,16.502
11,15.945
12,16.652
13,16.080
14,15.836
15,16.264
16,15.682
17,15.930
18,16.129
19,15.139
20,16.239
21,16.184
22,15.463
23,15.692
24,15.751
25,15.418
26,16.284
27,15.706
28,15.408
29,15.428
30,15.756
31,15.970
32,16.682
33,14.955
34,15.642
35,15.935
36,14.980
37,16.269
38,16.050
39,16.015
40,15.219
41,14.871
42,15.597
43,15.896
44,15.900
45,16.050
46,15.468
47,15.458
48,16.234
49,16.473
50,15.264
51,15.960
52,16.055
53,15.836
54,15.433
55,15.975
56,16.189
57,15.697
58,15.423
59,15.124
60,16.612
61,16.040
62,15.816
63,15.333
64,15.990
65,15.458
66,15.005
67,15.050
68,16.169
69,15.104
70,15.259
71,15.473
72,15.567
73,15.353
74,16.164
75,15.547
76,15.239
77,15.801
78,15.274
79,15.522
80,15.657
81,15.910
82,16.607
83,14.955
84,15.677
85,15.965
86,15.318
87,15.642
88,16.294
89,15.149
90,15.279
91,15.786
92,15.114
93,16.030
94,15.254
95,15.677
96,15.751
97,15.413
98,15.567
99,15.786
100,14.965
101,15.005
102,15.642
103,15.179
104,14.826
105,14.896
106,15.353
107,15.413
108,15.657
109,14.577
110,15.289
111,15.816
112,15.930
113,15.751
114,15.881
115,15.851
116,15.935
117,15.100
118,15.682
119,15.100
120,15.995
121,15.488
122,15.856
123,14.955
124,14.816
125,15.259
126,15.299
127,15.627
128,15.308
129,14.582
130,15.950
131,14.831
132,14.791
133,15.652
134,15.587
135,15.881
136,15.896
137,15.134
138,14.806
139,15.886
140,15.736
141,15.194
142,14.990
143,15.129
144,15.468
145,15.746
146,15.876
147,15.612
148,15.736
149,14.756
150,15.796
151,15.831
152,15.512
153,15.701
154,14.547
155,15.418
156,15.443
157,15.861
158,16.562
159,13.881
160,15.124
161,15.980
162,15.040
163,15.652
164,15.214
165,15.771
166,15.114
167,15.438
168,15.020
169,15.607
170,16.358
171,15.542
172,16.328
173,15.433
174,15.602
175,15.632
176,15.567
177,15.741
178,15.090
179,15.264
180,15.333
181,14.259
182,14.388
183,15.716
184,15.303
185,14.512
186,16.224
187,15.403
188,16.209
189,15.881
190,14.905
191,16.313
192,16.488
193,15.537
194,15.975
195,15.776
196,15.826
197,14.960
198,15.801
199,15.313
200,16.662
201,15.736
202,15.363
203,15.239
204,15.463
205,15.368
206,14.816
207,15.308
208,15.075
209,15.627
210,14.632
211,15.303
212,14.955
213,15.159
214,15.184
215,15.557
216,15.299
217,15.114
218,14.821
219,15.537
220,14.940
221,15.124
222,14.552
223,15.109
224,15.174
225,14.741
226,15.109
227,14.990
228,14.582
229,15.149
230,15.269
231,15.408
232,16.060
233,15.706
234,15.338
235,15.164
236,15.159
237,15.000
238,14.662
239,15.393
240,15.557
241,15.731
242,15.388
243,15.353
244,15.567
245,15.308
246,16.040
247,15.955
248,15.323
249,15.353
250,15.224
251,15.020
252,14.920
253,15.478
254,15.338
255,15.134
256,15.035
257,14.806
258,14.881
259,15.035
260,14.652
261,14.851
262,15.403
263,15.119
264,14.985
265,15.980
266,15.617
267,15.363
268,14.980
269,15.542
270,15.811
271,15.796
272,15.234
273,15.353
274,16.085
275,15.493
276,14.900
277,15.403
278,14.970
279,15.438
280,15.289
281,15.507
282,15.861
283,15.303
284,15.194
285,15.811
286,15.851
287,14.791
288,15.672
289,15.955
290,15.323
291,15.119
292,15.353
293,15.234
294,15.343
295,16.035
296,15.801
297,15.667
298,15.483
299,14.950
300,15.418
301,15.169
302,15.542
303,15.448
304,15.502
305,16.055
306,15.935
307,14.428
308,15.706
309,15.119
310,15.791
311,15.294
312,15.781
313,15.856
314,15.886
315,15.647
316,15.975
317,15.925
318,15.129
319,15.423
320,15.562
321,15.279
322,15.726
323,15.537
324,14.965
325,15.179
326,15.672
327,14.776
328,15.244
329,15.706
330,15.219
331,15.756
332,15.338
333,15.716
334,15.692
335,15.577
336,15.259
337,15.478
338,16.313
339,14.811
340,15.811
341,16.085
342,15.393
343,15.697
344,15.353
345,15.333
346,15.786
347,15.294
348,15.443
349,14.955
350,14.711
351,15.816
352,15.468
353,15.289
354,15.796
355,15.711
356,15.015
357,15.502
358,14.876
359,15.323
360,15.930
361,15.841
362,15.204
363,15.706
364,15.478
365,14.736
366,15.383
367,14.741
368,15.184
369,15.040
370,15.692
371,15.617
372,16.164
373,15.050
374,15.736
375,15.498
376,15.050
377,15.905
378,14.970
379,15.493
380,15.672
381,15.522
382,15.284
383,16.209
384,15.343
385,15.547
386,15.731
387,15.438
388,15.622
389,15.428
390,15.697
391,15.642
392,15.826
393,17.050
394,16.045
395,15.010
396,15.080
397,15.005
398,15.169
399,15.831
400,15.502
401,15.433
402,15.363
403,16.637
404,15.294
405,14.950
406,14.900
407,15.612
408,15.124
409,15.274
410,15.114
411,16.085
412,15.662
413,15.473
414,15.194
415,15.826
416,14.886
417,16.189
418,16.184
419,16.204
420,15.045
421,15.075
422,15.736
423,15.617
424,15.498
425,15.811
426,16.005
427,15.473
428,15.622
429,15.418
430,15.851
431,14.701
432,15.721
433,15.159
434,15.363
435,15.313
436,15.597
437,14.975
438,15.637
439,15.065
440,15.448
441,15.413
442,15.562
443,15.517
444,15.488
445,15.383
446,15.169
447,15.677
448,16.000
449,15.483
450,14.905
451,15.448
452,15.950
453,15.100
454,15.592
455,15.841
456,15.015
457,15.408
458,15.224
459,16.179
460,15.035
461,15.592
462,16.090
463,15.925
464,15.587
465,15.721
466,15.507
467,15.831
468,15.731
469,15.328
470,15.751
471,15.095
472,15.612
473,15.458
474,15.517
475,15.761
476,16.204
477,15.915
478,14.547
479,15.587
480,14.995
481,15.692
482,15.448
483,14.930
484,15.129
485,15.154
486,15.104
487,14.975
488,15.866
489,14.930
490,16.134
491,15.114
492,15.940
493,15.010
494,15.303
495,16.224
496,14.512
497,15.134
498,15.811
499,15.493
500,15.393
501,15.443
502,15.751
503,15.289
504,15.741
505,15.104
506,15.592
507,15.736
508,15.980
509,14.552
510,15.065
511,15.075
512,14.761
513,15.682
514,15.358
515,15.522
516,14.761
517,15.622
518,15.866
519,15.408
520,15.428
521,15.532
522,15.726
523,14.338
524,15.254
525,15.383
526,16.204
527,15.189
528,15.935
529,15.547
530,15.970
531,15.657
532,15.935
533,15.393
534,15.607
535,16.060
536,15.249
537,15.562
538,15.950
539,15.468
540,16.154
541,15.791
542,15.398
543,15.308
544,14.905
545,15.149
546,14.836
547,15.886
548,15.806
549,15.254
550,15.657
551,15.279
552,14.771
553,15.388
554,15.652
555,15.716
556,15.239
557,15.498
558,15.194
559,15.975
560,14.940
561,15.617
562,14.925
563,15.512
564,16.289
565,14.881
566,15.577
567,14.687
568,15.353
569,15.308
570,14.891
571,15.617
572,15.154
573,14.701
574,16.159
575,15.761
576,16.403
577,15.313
578,14.721
579,15.995
580,15.209
581,16.075
582,16.124
583,15.821
584,15.925
585,15.856
586,15.254
587,16.169
588,15.249
589,15.000
590,15.025
591,15.249
592,15.119
593,15.289
594,15.224
595,15.323
596,15.622
597,15.771
598,14.900
599,15.736
600,15.955
601,15.846
602,15.602
603,16.055
604,15.741
605,15.393
606,16.323
607,15.119
608,15.761
609,15.507
610,15.587
611,15.085
612,14.871
613,15.761
614,15.587
615,15.328
616,15.488
617,16.045
618,16.174
619,14.602
620,15.935
621,15.592
622,16.209
623,15.468
624,15.517
625,14.975
626,15.741
627,15.602
628,16.254
629,15.383
630,15.299
631,15.174
632,15.652
633,15.388
634,16.085
635,15.577
636,15.816
637,15.468
638,15.602
639,15.965
640,15.602
641,15.831
642,15.274
643,15.547
644,15.104
645,14.980
646,14.970
647,15.706
648,15.572
649,15.020
650,15.219
651,14.781
652,15.522
653,15.134
654,16.080
655,14.721
656,15.607
657,15.254
658,15.801
659,15.552
660,15.975
661,16.453
662,15.189
663,15.652
664,16.423
665,15.289
666,14.841
667,15.796
668,15.328
669,15.299
670,15.040
671,16.129
672,15.348
673,15.398
674,15.308
675,15.791
676,15.856
677,15.920
678,14.652
679,15.542
680,15.721
681,15.995
682,15.672
683,15.010
684,15.289
685,15.796
686,15.328
687,15.582
688,15.861
689,15.652
690,15.726
691,15.224
692,14.821
693,15.741
694,15.617
695,15.473
696,15.567
697,15.781
698,16.020
699,16.632
700,14.831
701,15.134
702,15.318
703,15.244
704,15.930
705,16.085
706,14.826
707,15.632
708,15.716
709,15.557
710,15.517
711,16.060
712,15.184
713,15.428
714,15.776
715,15.249
716,15.896
717,15.682
718,15.552
719,15.562
720,15.473
721,15.920
722,16.343
723,15.005
724,15.413
725,16.179
726,15.493
727,15.667
728,16.498
729,15.985
730,15.796
731,15.209
732,16.035
733,14.896
734,16.522
735,15.517
736,15.771
737,15.398
738,15.801
739,15.443
740,16.254
741,15.811
742,15.761
743,15.214
744,16.119
745,15.627
746,15.562
747,15.174
748,15.687
749,15.587
750,15.781
751,15.303
752,15.254
753,15.766
754,15.662
755,15.861
756,15.154
757,15.876
758,16.269
759,15.692
760,15.279
761,15.876
762,15.786
763,16.005
764,16.154
765,15.766
766,16.308
767,16.020
768,15.711
769,15.816
770,16.005
771,14.995
772,15.557
773,15.970
774,15.408
775,15.816
776,15.791
777,15.607
778,16.886
779,15.547
780,15.333
781,16.025
782,15.254
783,16.000
784,15.617
785,15.025
786,15.055
787,16.488
788,14.871
789,16.174
790,15.224
791,15.771
792,15.557
793,16.239
794,15.632
795,15.522
796,15.463
797,15.224
798,15.184
799,15.090
800,15.612
801,15.891
802,16.015
803,16.234
804,16.289
805,15.891
806,17.075
807,17.483
808,17.507
809,18.373
810,17.726
