lambda_idx,t_500.0_ms
0,15.841
1,16.109
2,15.900
3,15.652
4,15.751
5,15.677
6,15.597
7,15.587
8,15.791
9,16.831
10,16.174
11,15.876
12,16.498
13,15.851
14,15.592
15,15.920
16,15.453
17,15.856
18,16.055
19,15.025
20,16.060
21,16.234
22,15.458
23,15.458
24,15.672
25,15.239
26,16.109
27,15.642
28,15.204
29,15.144
30,15.672
31,15.781
32,16.532
33,14.716
34,15.622
35,15.846
36,14.915
37,15.955
38,15.652
39,15.851
40,14.970
41,14.836
42,15.254
43,15.786
44,15.602
45,15.617
46,15.294
47,15.249
48,15.960
49,16.249
50,15.005
51,15.781
52,16.114
53,15.701
54,15.393
55,15.826
56,15.965
57,15.473
58,15.229
59,14.920
60,16.507
61,15.836
62,15.612
63,15.274
64,15.771
65,15.333
66,14.990
67,14.925
68,15.905
69,14.826
70,15.114
71,15.244
72,15.443
73,15.234
74,16.095
75,15.348
76,15.144
77,15.741
78,15.075
79,15.323
80,15.532
81,15.582
82,16.368
83,14.711
84,15.701
85,15.896
86,15.075
87,15.667
88,16.134
89,15.244
90,15.060
91,15.617
92,14.771
93,15.791
94,15.159
95,15.567
96,15.542
97,15.100
98,15.458
99,15.687
100,14.796
101,15.045
102,15.398
103,15.000
104,14.552
105,14.662
106,15.333
107,15.303
108,15.547
109,14.333
110,15.035
111,15.816
112,15.950
113,15.592
114,15.647
115,15.731
116,15.731
117,15.000
118,15.522
119,15.015
120,15.886
121,15.408
122,15.846
123,14.637
124,14.597
125,15.134
126,15.204
127,15.701
128,15.159
129,14.388
130,15.821
131,14.801
132,14.542
133,15.398
134,15.438
135,15.701
136,15.592
137,15.055
138,14.577
139,15.711
140,15.592
141,15.144
142,14.806
143,15.114
144,15.279
145,15.542
146,15.652
147,15.517
148,15.582
149,14.493
150,15.662
151,15.716
152,15.443
153,15.527
154,14.413
155,15.378
156,15.109
157,15.552
158,16.373
159,13.806
160,14.960
161,15.756
162,14.990
163,15.418
164,14.945
