lambda_idx,t_1_ms,t_2_ms,t_3_ms
0,15.771,22.522,27.677
1,15.985,22.418,27.373
2,15.861,22.522,27.697
3,15.627,22.124,27.209
4,15.622,22.169,27.428
5,15.562,22.134,27.144
6,15.423,21.995,27.025
7,15.388,21.950,26.861
8,15.682,22.244,27.428
9,16.682,23.224,28.289
10,16.308,22.706,27.945
11,15.841,22.438,27.398
12,16.587,23.104,28.264
13,15.915,22.398,27.269
14,15.726,22.363,27.761
15,15.851,22.458,27.587
16,15.403,22.070,27.149
17,15.905,22.338,27.269
18,15.856,22.433,27.562
19,14.891,21.517,26.647
20,16.100,22.507,27.433
21,16.050,22.945,28.154
22,15.413,21.871,26.791
23,15.483,21.731,26.711
24,15.587,22.318,27.363
25,15.189,21.672,26.697
26,16.139,22.512,27.647
27,15.522,22.169,27.109
28,15.040,21.821,26.642
29,15.209,21.876,26.677
30,15.856,22.358,27.637
31,15.945,22.333,27.189
32,16.269,23.000,27.721
33,14.716,21.502,26.229
34,15.527,21.836,26.910
35,15.801,22.363,27.333
36,14.776,21.393,26.189
37,16.189,22.930,27.672
38,15.866,22.239,27.284
39,15.905,22.682,27.577
40,14.816,21.612,26.542
41,14.637,21.229,26.632
42,15.303,21.990,27.050
43,15.781,22.139,26.935
44,15.483,22.005,26.930
45,15.637,22.214,27.303
46,15.249,21.816,26.751
47,15.373,21.741,26.657
48,15.905,22.423,27.005
49,16.194,22.905,28.144
50,14.995,21.522,26.517
51,15.682,22.259,27.139
52,16.109,22.398,27.731
53,15.622,22.179,27.368
54,15.244,21.612,26.836
55,15.856,22.134,27.114
56,16.050,22.547,27.443
57,15.552,21.950,26.856
58,15.179,21.517,26.552
59,15.035,21.398,26.413
60,16.478,22.950,27.891
61,15.876,22.308,27.597
62,15.622,22.075,26.900
63,15.189,21.741,26.706
64,15.871,22.294,27.259
65,15.254,21.736,26.602
66,14.886,21.274,26.169
67,14.920,21.154,26.050
68,15.692,22.095,27.378
69,14.637,21.199,26.154
70,15.010,21.652,26.562
71,15.249,21.771,26.672
72,15.373,21.677,26.473
73,15.045,21.741,26.532
74,15.945,22.443,27.617
75,15.418,21.617,26.602
76,15.015,21.249,26.269
77,15.612,21.662,26.507
78,15.050,21.527,26.433
79,15.239,21.632,26.711
80,15.443,21.751,26.512
81,15.677,22.254,27.299
82,16.373,22.612,27.771
83,14.806,21.154,26.119
84,15.577,21.900,26.677
85,15.731,22.015,26.771
86,15.159,21.652,26.373
87,15.677,21.985,26.955
88,15.940,22.562,27.388
89,15.104,21.433,26.726
90,14.910,21.308,26.095
91,15.547,21.930,26.955
