lambda_idx,t_1_ms
0,10436.000
1,10479.000
2,10558.000
3,10467.000
4,10476.000
5,10407.000
6,10389.000
7,10444.000
8,10397.000
9,10870.000
10,10680.000
11,10542.000
12,10687.000
13,10491.000
14,10355.000
15,10524.000
16,10399.000
17,10537.000
18,10459.000
19,10254.000
20,10621.000
21,10635.000
22,10245.000
23,10353.000
24,10579.000
25,10314.000
26,10499.000
27,10317.000
28,10192.000
29,10254.000
30,10454.000
31,10450.000
32,10638.000
33,10142.000
34,10345.000
35,10478.000
36,10149.000
37,10495.000
38,10569.000
39,10491.000
40,10226.000
41,10266.000
42,10337.000
43,10442.000
44,10421.000
45,10467.000
46,10491.000
47,10200.000
48,10369.000
49,10627.000
50,10264.000
51,10429.000
52,10578.000
53,10463.000
54,10287.000
55,10425.000
56,10451.000
57,10351.000
58,10068.000
59,10141.000
60,10619.000
61,10413.000
62,10325.000
63,10192.000
64,10437.000
65,10175.000
66,10094.000
67,10008.000
68,10329.000
69,10138.000
70,10188.000
71,10264.000
72,10276.000
73,10158.000
74,10577.000
75,10356.000
76,10109.000
77,10351.000
78,10190.000
79,10230.000
80,10317.000
81,10465.000
82,10637.000
83,10091.000
84,10353.000
85,10364.000
86,10181.000
87,10309.000
88,10508.000
89,10209.000
90,10106.000
91,10364.000
92,10022.000
93,10402.000
94,10167.000
95,10442.000
96,10512.000
97,10257.000
98,10318.000
99,10374.000
100,9952.000
101,10147.000
102,10223.000
103,10063.000
104,9929.000
105,9933.000
106,10275.000
107,10175.000
108,10281.000
109,9876.000
110,10191.000
111,10287.000
112,10388.000
113,10287.000
114,10347.000
115,10421.000
116,10360.000
117,10005.000
118,10283.000
119,10229.000
120,10377.000
121,10422.000
122,10433.000
123,9946.000
124,9991.000
125,10168.000
126,10225.000
127,10345.000
128,10083.000
129,10068.000
130,10384.000
131,9990.000
132,10026.000
133,10256.000
134,10201.000
135,10502.000
136,10231.000
137,10119.000
138,10028.000
139,10511.000
140,10314.000
141,10141.000
142,10018.000
143,9999.000
144,10180.000
145,10263.000
146,10360.000
147,10208.000
148,10320.000
149,9983.000
150,10371.000
151,10292.000
152,10257.000
153,10236.000
154,9930.000
155,10207.000
156,10152.000
157,10269.000
158,10677.000
159,9606.000
160,10073.000
161,10346.000
162,10021.000
163,10342.000
164,10140.000
165,10246.000
166,10119.000
167,10083.000
168,10105.000
169,10308.000
170,10472.000
171,10232.000
172,10384.000
173,10194.000
174,10141.000
175,10262.000
176,10182.000
177,10257.000
178,10141.000
179,10153.000
180,10155.000
181,9837.000
182,9875.000
183,10387.000
184,10106.000
185,9926.000
186,10513.000
187,10053.000
188,10581.000
189,10437.000
190,10058.000
191,10394.000
192,10564.000
193,10254.000
194,10416.000
195,10250.000
196,10309.000
197,10061.000
198,10327.000
199,10151.000
200,10536.000
201,10245.000
202,10064.000
203,10044.000
204,10107.000
205,10195.000
206,9880.000
207,10122.000
208,10093.000
209,10290.000
210,9937.000
211,10147.000
212,10019.000
213,10183.000
214,9981.000
215,10147.000
216,10173.000
217,10021.000
218,10006.000
219,10297.000
220,9995.000
221,10072.000
222,9779.000
223,10072.000
224,10144.000
225,10146.000
226,10098.000
227,10008.000
228,9819.000
229,10074.000
230,9959.000
231,10075.000
232,10293.000
233,10337.000
234,10105.000
235,10056.000
236,10110.000
237,9914.000
238,9868.000
239,10235.000
240,10114.000
241,10187.000
242,10140.000
243,10101.000
244,10058.000
245,9969.000
246,10357.000
247,10271.000
248,10060.000
249,10093.000
250,10070.000
251,10003.000
252,10127.000
253,10136.000
254,10132.000
255,10070.000
256,9949.000
257,9789.000
258,9982.000
259,9977.000
260,9967.000
261,9958.000
262,10279.000
263,10062.000
264,10027.000
265,10253.000
266,10296.000
267,10212.000
268,9999.000
269,10070.000
270,10150.000
271,10251.000
272,10044.000
273,10153.000
274,10503.000
275,10003.000
276,9898.000
277,10185.000
278,10001.000
279,10233.000
280,10262.000
281,10150.000
282,10280.000
283,10149.000
284,10018.000
285,10200.000
286,10317.000
287,9865.000
288,10162.000
289,10328.000
290,10038.000
291,10017.000
292,10166.000
293,10142.000
294,10141.000
295,10427.000
296,10140.000
297,10174.000
298,10101.000
299,9860.000
300,10065.000
301,9985.000
302,10133.000
303,10203.000
304,9976.000
305,10281.000
306,10402.000
307,9762.000
308,10153.000
309,9953.000
310,10305.000
311,10100.000
312,10217.000
313,10459.000
314,10402.000
315,10349.000
316,10349.000
317,10266.000
318,10114.000
319,10173.000
320,10125.000
321,10092.000
322,10192.000
323,10346.000
324,9990.000
325,10232.000
326,10192.000
327,9969.000
328,10232.000
329,10268.000
330,10068.000
331,10168.000
332,10110.000
333,10127.000
334,10266.000
335,10166.000
336,10121.000
337,10159.000
338,10493.000
339,9813.000
340,10216.000
341,10432.000
342,10180.000
343,10125.000
344,9998.000
345,9988.000
346,10151.000
347,10110.000
348,10129.000
349,9852.000
350,9817.000
351,10339.000
352,10006.000
353,10010.000
354,10316.000
355,10346.000
356,9974.000
357,10149.000
358,10044.000
359,10120.000
360,10368.000
361,10318.000
362,10067.000
363,10153.000
364,10014.000
365,9847.000
366,10185.000
367,9986.000
368,9932.000
369,9937.000
370,10255.000
371,10182.000
372,10318.000
373,10128.000
374,10313.000
375,10110.000
376,10306.000
377,10247.000
378,10081.000
379,10218.000
380,10131.000
381,10142.000
382,10198.000
383,10332.000
384,10026.000
385,10176.000
386,10352.000
387,10084.000
388,10202.000
389,10130.000
390,10181.000
391,10143.000
392,10252.000
393,10677.000
394,10299.000
395,9909.000
396,10037.000
397,9918.000
398,9908.000
399,10264.000
