lambda_idx,t_1_ms
0,10866.000
1,10883.000
2,10907.000
3,10878.000
4,10872.000
5,10778.000
6,10855.000
7,10802.000
8,10777.000
9,11282.000
10,11052.000
11,10954.000
12,11103.000
13,10890.000
14,10830.000
15,10892.000
16,10747.000
17,10903.000
18,10854.000
19,10673.000
20,10977.000
21,10999.000
22,10668.000
23,10733.000
24,10945.000
25,10716.000
26,10902.000
27,10734.000
28,10583.000
29,10691.000
30,10826.000
31,10935.000
32,11040.000
33,10560.000
34,10722.000
35,10884.000
36,10554.000
37,10918.000
38,10937.000
39,10932.000
40,10617.000
41,10671.000
42,10768.000
43,10879.000
44,10800.000
45,10854.000
46,10847.000
47,10632.000
48,10736.000
49,10990.000
50,10644.000
51,10855.000
52,10971.000
53,10779.000
54,10655.000
55,10790.000
56,10852.000
57,10808.000
58,10458.000
59,10503.000
60,10974.000
61,10856.000
62,10711.000
63,10627.000
64,10818.000
65,10531.000
66,10482.000
67,10378.000
68,10758.000
69,10531.000
70,10513.000
71,10745.000
72,10630.000
73,10666.000
74,11006.000
75,10699.000
76,10483.000
77,10714.000
78,10543.000
79,10675.000
80,10630.000
81,10831.000
82,11039.000
83,10459.000
84,10727.000
85,10751.000
86,10516.000
87,10682.000
88,10902.000
89,10537.000
90,10474.000
91,10668.000
92,10442.000
93,10843.000
94,10563.000
95,10793.000
96,10878.000
97,10633.000
98,10786.000
99,10787.000
100,10325.000
101,10501.000
102,10621.000
103,10405.000
104,10366.000
105,10375.000
106,10689.000
107,10614.000
108,10652.000
109,10227.000
110,10560.000
111,10658.000
112,10773.000
113,10649.000
114,10682.000
115,10770.000
116,10756.000
117,10362.000
118,10732.000
119,10540.000
120,10775.000
121,10808.000
122,10811.000
123,10332.000
124,10450.000
125,10520.000
126,10606.000
127,10648.000
128,10495.000
129,10458.000
130,10724.000
131,10402.000
132,10400.000
133,10613.000
134,10612.000
135,10879.000
136,10656.000
137,10503.000
138,10401.000
139,10952.000
140,10701.000
141,10530.000
142,10402.000
143,10407.000
144,10541.000
145,10624.000
146,10730.000
147,10610.000
148,10673.000
149,10381.000
150,10769.000
151,10673.000
152,10650.000
153,10644.000
154,10343.000
155,10639.000
156,10560.000
157,10704.000
158,10985.000
159,10001.000
160,10413.000
161,10676.000
162,10362.000
163,10775.000
164,10501.000
165,10638.000
166,10507.000
167,10464.000
168,10473.000
169,10692.000
170,10871.000
171,10595.000
172,10835.000
173,10604.000
174,10473.000
175,10656.000
176,10564.000
177,10645.000
178,10500.000
179,10520.000
180,10585.000
181,10144.000
182,10285.000
183,10732.000
184,10493.000
185,10360.000
186,10905.000
187,10500.000
188,10897.000
189,10840.000
190,10432.000
191,10824.000
192,10930.000
193,10605.000
194,10806.000
195,10620.000
196,10686.000
197,10440.000
198,10688.000
199,10567.000
200,10978.000
201,10644.000
202,10500.000
203,10436.000
204,10474.000
205,10661.000
206,10309.000
207,10505.000
208,10527.000
209,10745.000
210,10291.000
211,10554.000
212,10407.000
213,10554.000
214,10410.000
215,10567.000
216,10497.000
217,10390.000
218,10433.000
219,10655.000
220,10435.000
221,10480.000
222,10213.000
223,10444.000
224,10457.000
225,10440.000
226,10497.000
227,10421.000
228,10225.000
229,10438.000
230,10341.000
231,10473.000
232,10752.000
233,10739.000
234,10489.000
235,10392.000
236,10444.000
237,10320.000
238,10310.000
239,10662.000
240,10478.000
241,10568.000
242,10519.000
243,10492.000
244,10415.000
245,10343.000
246,10686.000
247,10622.000
248,10501.000
249,10505.000
250,10460.000
251,10409.000
252,10454.000
253,10554.000
254,10525.000
255,10444.000
256,10341.000
257,10235.000
258,10368.000
259,10399.000
260,10317.000
261,10348.000
262,10675.000
263,10370.000
264,10374.000
265,10679.000
266,10673.000
267,10541.000
268,10343.000
269,10458.000
270,10571.000
271,10652.000
272,10503.000
273,10586.000
