lambda_idx,t_1_ms
0,10783.000
1,10835.000
2,10883.000
3,10810.000
4,10836.000
5,10756.000
6,10800.000
7,10781.000
8,10712.000
9,11265.000
10,11019.000
11,10911.000
12,11050.000
13,10810.000
14,10830.000
15,10832.000
16,10694.000
17,10835.000
18,10785.000
19,10655.000
20,10918.000
21,10948.000
22,10616.000
23,10707.000
24,10868.000
25,10610.000
26,10892.000
27,10678.000
28,10504.000
29,10617.000
30,10772.000
31,10814.000
32,11013.000
33,10491.000
34,10667.000
35,10771.000
36,10519.000
37,10885.000
38,10884.000
39,10911.000
40,10584.000
41,10573.000
42,10757.000
43,10806.000
44,10838.000
45,10853.000
46,10821.000
47,10596.000
48,10748.000
49,11004.000
50,10577.000
51,10782.000
52,10952.000
53,10700.000
54,10614.000
55,10764.000
56,10760.000
57,10693.000
58,10432.000
59,10497.000
60,10958.000
61,10763.000
62,10725.000
63,10591.000
64,10783.000
65,10508.000
66,10427.000
67,10291.000
68,10719.000
69,10487.000
70,10540.000
71,10703.000
72,10616.000
73,10537.000
74,10941.000
75,10674.000
76,10513.000
77,10658.000
78,10574.000
79,10580.000
80,10644.000
81,10818.000
82,11012.000
83,10510.000
84,10657.000
85,10737.000
86,10522.000
87,10618.000
88,10828.000
89,10575.000
90,10384.000
91,10692.000
92,10403.000
93,10736.000
94,10470.000
95,10759.000
96,10819.000
97,10589.000
98,10740.000
99,10766.000
100,10388.000
101,10479.000
102,10593.000
103,10377.000
104,10297.000
105,10307.000
106,10596.000
107,10535.000
108,10580.000
109,10174.000
110,10576.000
111,10678.000
112,10688.000
113,10634.000
114,10698.000
115,10735.000
116,10766.000
117,10345.000
118,10661.000
119,10562.000
120,10739.000
121,10751.000
122,10812.000
123,10242.000
124,10366.000
125,10513.000
126,10542.000
127,10681.000
128,10424.000
129,10444.000
130,10723.000
131,10341.000
132,10407.000
133,10601.000
134,10583.000
135,10840.000
136,10637.000
137,10474.000
138,10392.000
139,10798.000
140,10639.000
141,10510.000
142,10428.000
143,10348.000
144,10499.000
145,10592.000
146,10701.000
147,10553.000
148,10671.000
149,10389.000
150,10722.000
151,10615.000
152,10678.000
153,10595.000
154,10255.000
155,10540.000
156,10558.000
157,10686.000
158,10991.000
159,9940.000
160,10380.000
161,10642.000
162,10357.000
163,10652.000
164,10477.000
165,10646.000
166,10443.000
167,10443.000
168,10351.000
169,10627.000
170,10820.000
171,10554.000
172,10737.000
173,10613.000
174,10426.000
175,10577.000
176,10524.000
177,10601.000
178,10445.000
179,10475.000
180,10526.000
181,10166.000
182,10226.000
183,10646.000
184,10461.000
185,10330.000
186,10860.000
187,10472.000
188,10926.000
189,10779.000
190,10396.000
191,10775.000
192,10901.000
193,10562.000
194,10757.000
195,10632.000
196,10647.000
197,10494.000
198,10720.000
199,10469.000
200,10935.000
201,10600.000
202,10428.000
203,10357.000
204,10478.000
205,10555.000
206,10258.000
207,10507.000
208,10475.000
209,10670.000
210,10274.000
211,10541.000
212,10407.000
213,10545.000
214,10373.000
215,10472.000
216,10561.000
217,10424.000
218,10434.000
219,10703.000
220,10370.000
221,10385.000
222,10204.000
223,10430.000
224,10431.000
225,10485.000
226,10449.000
227,10409.000
228,10226.000
229,10366.000
230,10311.000
231,10461.000
232,10692.000
233,10654.000
234,10477.000
235,10315.000
236,10447.000
237,10293.000
238,10221.000
239,10592.000
240,10456.000
241,10545.000
242,10503.000
243,10418.000
244,10421.000
245,10284.000
246,10693.000
247,10643.000
248,10440.000
249,10449.000
250,10438.000
251,10376.000
252,10442.000
253,10465.000
254,10428.000
255,10378.000
256,10354.000
257,10207.000
258,10344.000
259,10326.000
260,10257.000
261,10344.000
262,10595.000
263,10403.000
264,10319.000
265,10658.000
266,10610.000
267,10561.000
268,10316.000
269,10402.000
270,10530.000
271,10540.000
272,10471.000
273,10547.000
274,10829.000
275,10374.000
276,10265.000
277,10557.000
278,10337.000
279,10556.000
280,10675.000
281,10551.000
282,10630.000
283,10512.000
284,10406.000
285,10556.000
286,10713.000
287,10233.000
288,10532.000
289,10685.000
290,10401.000
291,10424.000
292,10468.000
293,10458.000
294,10522.000
295,10753.000
296,10610.000
297,10439.000
298,10468.000
299,10211.000
300,10426.000
301,10359.000
302,10424.000
303,10551.000
304,10341.000
305,10666.000
306,10725.000
307,10135.000
308,10511.000
309,10393.000
310,10699.000
311,10443.000
312,10522.000
313,10844.000
314,10728.000
315,10721.000
316,10692.000
317,10657.000
318,10514.000
319,10572.000
320,10457.000
321,10479.000
322,10551.000
323,10729.000
324,10332.000
325,10598.000
326,10559.000
327,10311.000
328,10580.000
329,10615.000
330,10431.000
331,10512.000
332,10447.000
333,10449.000
334,10644.000
335,10526.000
336,10475.000
337,10568.000
338,10834.000
339,10224.000
340,10599.000
341,10835.000
342,10578.000
343,10557.000
344,10331.000
345,10348.000
346,10503.000
347,10457.000
348,10515.000
349,10237.000
350,10224.000
351,10694.000
352,10421.000
353,10312.000
354,10681.000
355,10641.000
356,10306.000
357,10462.000
358,10370.000
359,10426.000
360,10743.000
361,10710.000
362,10467.000
363,10602.000
364,10361.000
365,10207.000
366,10480.000
367,10377.000
368,10315.000
369,10326.000
370,10593.000
371,10574.000
372,10723.000
373,10516.000
374,10706.000
375,10468.000
376,10633.000
377,10680.000
378,10453.000
379,10527.000
380,10487.000
381,10494.000
382,10576.000
383,10657.000
384,10412.000
385,10545.000
386,10714.000
387,10435.000
388,10594.000
389,10498.000
390,10574.000
391,10518.000
392,10632.000
393,11062.000
394,10679.000
395,10359.000
396,10432.000
397,10264.000
398,10295.000
399,10619.000
400,10493.000
401,10513.000
402,10494.000
403,10835.000
404,10418.000
405,10268.000
406,10239.000
407,10532.000
408,10417.000
409,10380.000
410,10337.000
411,10649.000
412,10471.000
413,10374.000
414,10366.000
415,10677.000
416,10366.000
417,10749.000
418,10854.000
419,10820.000
420,10285.000
421,10237.000
422,10550.000
423,10481.000
424,10562.000
425,10566.000
426,10640.000
427,10449.000
428,10507.000
429,10396.000
430,10656.000
431,10217.000
432,10537.000
433,10401.000
434,10565.000
435,10407.000
436,10610.000
437,10220.000
438,10584.000
439,10408.000
440,10530.000
441,10533.000
442,10442.000
443,10446.000
444,10433.000
445,10407.000
446,10400.000
447,10556.000
448,10605.000
449,10458.000
450,10220.000
451,10523.000
452,10546.000
453,10242.000
454,10612.000
455,10639.000
456,10210.000
457,10493.000
458,10300.000
459,10719.000
460,10318.000
461,10410.000
462,10672.000
463,10681.000
464,10557.000
465,10527.000
466,10374.000
467,10613.000
468,10638.000
469,10407.000
470,10536.000
471,10499.000
472,10455.000
473,10506.000
474,10512.000
475,10488.000
476,10830.000
477,10629.000
478,10043.000
479,10364.000
480,10308.000
481,10688.000
482,10440.000
483,10373.000
484,10345.000
485,10296.000
486,10323.000
487,10249.000
488,10503.000
489,10238.000
490,10717.000
491,10322.000
492,10716.000
493,10306.000
494,10566.000
495,10898.000
496,10171.000
497,10333.000
498,10613.000
499,10592.000
500,10525.000
