lambda_idx,t_1_ms
0,10604.000
1,10654.000
2,10705.000
3,10621.000
4,10658.000
5,10569.000
6,10570.000
7,10631.000
8,10533.000
9,11056.000
10,10876.000
11,10695.000
12,10868.000
13,10672.000
14,10600.000
15,10628.000
16,10508.000
17,10676.000
18,10635.000
19,10445.000
20,10797.000
21,10759.000
22,10490.000
23,10558.000
24,10665.000
25,10515.000
26,10699.000
27,10523.000
28,10399.000
29,10489.000
30,10615.000
31,10720.000
32,10830.000
33,10328.000
34,10543.000
35,10613.000
36,10266.000
37,10705.000
38,10651.000
39,10701.000
40,10354.000
41,10392.000
42,10517.000
43,10657.000
44,10599.000
45,10636.000
46,10614.000
47,10419.000
48,10572.000
49,10828.000
50,10408.000
51,10604.000
52,10714.000
53,10544.000
54,10471.000
55,10617.000
56,10619.000
57,10517.000
58,10276.000
59,10322.000
60,10760.000
61,10577.000
62,10539.000
63,10459.000
64,10584.000
65,10365.000
66,10245.000
67,10186.000
68,10524.000
69,10335.000
70,10298.000
71,10427.000
72,10421.000
73,10387.000
74,10753.000
75,10459.000
76,10249.000
77,10440.000
78,10333.000
79,10395.000
80,10420.000
81,10599.000
82,10808.000
83,10274.000
84,10480.000
85,10534.000
86,10337.000
87,10465.000
88,10650.000
89,10371.000
90,10207.000
91,10508.000
92,10231.000
93,10625.000
94,10397.000
95,10565.000
96,10678.000
97,10414.000
98,10510.000
99,10615.000
100,10169.000
101,10335.000
102,10393.000
103,10251.000
104,10123.000
105,10224.000
106,10429.000
107,10409.000
108,10436.000
109,10029.000
110,10406.000
111,10493.000
112,10541.000
113,10452.000
114,10527.000
115,10594.000
116,10551.000
117,10161.000
118,10469.000
119,10375.000
120,10570.000
121,10565.000
122,10611.000
123,10154.000
124,10200.000
125,10328.000
126,10409.000
127,10485.000
128,10234.000
129,10243.000
130,10547.000
131,10123.000
132,10124.000
133,10420.000
134,10405.000
135,10616.000
136,10425.000
137,10248.000
138,10224.000
139,10649.000
140,10456.000
141,10262.000
142,10204.000
143,10136.000
144,10356.000
145,10440.000
146,10531.000
147,10422.000
148,10457.000
149,10180.000
150,10516.000
151,10450.000
152,10460.000
153,10411.000
154,10146.000
155,10378.000
156,10407.000
157,10487.000
158,10855.000
159,9756.000
160,10210.000
161,10430.000
162,10136.000
163,10554.000
164,10290.000
165,10462.000
166,10267.000
167,10258.000
168,10217.000
169,10405.000
170,10635.000
171,10428.000
172,10542.000
173,10433.000
174,10285.000
175,10429.000
176,10389.000
177,10411.000
178,10250.000
179,10323.000
180,10376.000
181,9956.000
182,10009.000
183,10445.000
184,10257.000
185,10121.000
186,10692.000
187,10284.000
188,10721.000
189,10597.000
190,10230.000
191,10562.000
192,10754.000
193,10431.000
194,10512.000
195,10414.000
196,10441.000
197,10270.000
198,10550.000
199,10323.000
200,10786.000
201,10435.000
202,10255.000
203,10205.000
204,10285.000
205,10384.000
206,10064.000
207,10329.000
208,10301.000
209,10506.000
210,10124.000
211,10379.000
212,10157.000
213,10434.000
214,10128.000
215,10280.000
216,10346.000
217,10196.000
218,10210.000
219,10459.000
220,10202.000
221,10238.000
222,9998.000
223,10219.000
224,10306.000
225,10267.000
226,10249.000
227,10198.000
228,10028.000
229,10184.000
230,10132.000
231,10277.000
232,10533.000
233,10488.000
234,10253.000
235,10146.000
236,10247.000
237,10106.000
238,10093.000
239,10404.000
240,10259.000
241,10301.000
242,10279.000
243,10254.000
244,10268.000
245,10128.000
246,10527.000
247,10461.000
248,10286.000
249,10260.000
250,10260.000
251,10186.000
252,10225.000
253,10258.000
254,10285.000
255,10196.000
256,10163.000
257,9989.000
258,10182.000
259,10131.000
260,10138.000
261,10154.000
262,10437.000
263,10210.000
264,10151.000
265,10459.000
266,10441.000
267,10348.000
268,10135.000
269,10283.000
270,10360.000
271,10398.000
272,10256.000
273,10388.000
274,10641.000
275,10241.000
276,10083.000
277,10416.000
278,10165.000
279,10402.000
280,10454.000
281,10353.000
282,10478.000
283,10364.000
284,10196.000
285,10361.000
286,10551.000
287,10054.000
288,10364.000
289,10534.000
290,10257.000
291,10142.000
292,10356.000
293,10312.000
294,10378.000
295,10599.000
296,10403.000
297,10269.000
298,10312.000
299,9999.000
300,10208.000
301,10161.000
302,10231.000
303,10401.000
304,10167.000
305,10449.000
306,10551.000
307,9916.000
308,10375.000
309,10171.000
310,10546.000
311,10258.000
312,10330.000
313,10602.000
314,10484.000
315,10486.000
316,10549.000
317,10475.000
318,10288.000
319,10346.000
320,10321.000
321,10293.000
322,10418.000
323,10525.000
324,10122.000
325,10389.000
326,10386.000
327,10108.000
328,10392.000
329,10458.000
330,10212.000
331,10323.000
332,10326.000
333,10254.000
334,10415.000
335,10296.000
336,10260.000
337,10382.000
338,10683.000
339,10025.000
340,10343.000
341,10621.000
342,10341.000
343,10379.000
344,10220.000
345,10167.000
346,10347.000
347,10296.000
348,10313.000
349,10045.000
350,10058.000
351,10515.000
352,10231.000
353,10147.000
354,10467.000
355,10532.000
356,10156.000
357,10331.000
358,10186.000
359,10278.000
360,10502.000
361,10462.000
362,10262.000
363,10376.000
364,10174.000
365,10008.000
366,10290.000
367,10138.000
368,10065.000
369,10145.000
370,10395.000
371,10391.000
372,10519.000
373,10323.000
374,10505.000
375,10300.000
376,10477.000
377,10435.000
378,10225.000
379,10354.000
380,10287.000
381,10365.000
382,10416.000
383,10493.000
384,10244.000
385,10332.000
386,10493.000
387,10267.000
388,10417.000
389,10309.000
390,10408.000
391,10389.000
392,10463.000
393,10880.000
394,10436.000
395,10152.000
396,10181.000
397,10063.000
398,10112.000
399,10429.000
400,10344.000
401,10299.000
402,10305.000
403,10632.000
404,10257.000
405,10120.000
406,10097.000
407,10378.000
408,10229.000
409,10233.000
410,10154.000
411,10516.000
412,10348.000
413,10189.000
414,10245.000
415,10462.000
416,10189.000
417,10639.000
418,10690.000
419,10675.000
420,10082.000
421,10019.000
422,10342.000
423,10253.000
424,10398.000
425,10383.000
426,10421.000
427,10269.000
428,10376.000
429,10242.000
430,10426.000
431,10028.000
432,10380.000
433,10189.000
434,10417.000
435,10189.000
436,10414.000
437,10080.000
438,10412.000
439,10097.000
440,10369.000
441,10307.000
442,10258.000
443,10312.000
444,10267.000
445,10265.000
446,10219.000
447,10396.000
448,10430.000
449,10314.000
450,10046.000
451,10338.000
452,10401.000
453,10104.000
454,10473.000
455,10430.000
456,10043.000
457,10317.000
458,10178.000
459,10514.000
460,10160.000
461,10289.000
462,10495.000
463,10492.000
464,10445.000
465,10372.000
466,10194.000
467,10392.000
468,10466.000
469,10282.000
470,10373.000
471,10344.000
472,10253.000
473,10357.000
474,10358.000
475,10302.000
476,10611.000
477,10430.000
478,9793.000
479,10199.000
480,10201.000
481,10453.000
482,10228.000
483,10194.000
484,10158.000
485,10099.000
486,10143.000
487,10134.000
488,10387.000
489,10105.000
490,10565.000
491,10133.000
492,10483.000
493,10130.000
494,10359.000
495,10785.000
496,10055.000
497,10181.000
498,10442.000
499,10386.000
500,10343.000
501,10336.000
502,10466.000
503,10273.000
504,10420.000
505,10126.000
506,10344.000
507,10364.000
508,10498.000
509,9898.000
510,10079.000
511,10113.000
512,9920.000
513,10412.000
514,10246.000
515,10279.000
516,10094.000
517,10338.000
518,10360.000
519,10331.000
520,10311.000
521,10285.000
522,10326.000
523,9912.000
524,10289.000
525,10213.000
526,10554.000
527,10202.000
528,10502.000
529,10294.000
530,10483.000
531,10303.000
532,10417.000
533,10253.000
534,10279.000
535,10509.000
536,10130.000
537,10304.000
538,10494.000
539,10427.000
540,10492.000
541,10512.000
542,10138.000
543,10332.000
544,10170.000
545,10191.000
546,9987.000
547,10569.000
548,10531.000
549,10342.000
550,10384.000
551,10188.000
552,9961.000
553,10422.000
554,10413.000
555,10244.000
556,10259.000
557,10303.000
558,10145.000
559,10458.000
560,10123.000
561,10360.000
562,10153.000
563,10310.000
564,10530.000
565,10160.000
566,10261.000
567,9973.000
568,10236.000
569,10279.000
570,10250.000
571,10294.000
572,10152.000
573,9958.000
574,10494.000
575,10435.000
576,10606.000
577,10103.000
578,9958.000
579,10467.000
580,10324.000
581,10533.000
582,10573.000
583,10380.000
584,10377.000
585,10413.000
586,10169.000
587,10473.000
588,10156.000
589,10145.000
590,10073.000
591,10116.000
592,10165.000
593,10189.000
594,10123.000
595,10402.000
596,10405.000
597,10344.000
598,10207.000
599,10365.000
600,10586.000
601,10420.000
602,10449.000
603,10601.000
604,10417.000
605,10242.000
606,10624.000
607,10117.000
608,10313.000
609,10333.000
610,10236.000
611,10151.000
612,10189.000
613,10400.000
614,10387.000
615,10344.000
616,10364.000
617,10485.000
618,10627.000
619,10140.000
620,10404.000
621,10330.000
622,10642.000
623,10402.000
624,10226.000
625,10149.000
626,10414.000
627,10296.000
628,10653.000
629,10337.000
630,10269.000
631,10129.000
632,10387.000
633,10215.000
634,10472.000
635,10332.000
636,10436.000
637,10244.000
638,10446.000
639,10467.000
640,10308.000
641,10250.000
642,10164.000
643,10188.000
644,10245.000
645,10162.000
646,10126.000
647,10317.000
648,10216.000
649,10083.000
650,10365.000
651,10013.000
652,10346.000
653,10063.000
654,10504.000
655,10103.000
656,10311.000
657,10321.000
658,10339.000
659,10262.000
660,10420.000
661,10569.000
662,10101.000
663,10267.000
664,10607.000
665,10162.000
666,10112.000
667,10453.000
668,10262.000
669,10229.000
670,10160.000
671,10575.000
