lambda_idx,t_1_ms
0,10796.000
1,10831.000
2,10875.000
3,10786.000
4,10836.000
5,10714.000
6,10752.000
7,10843.000
8,10699.000
9,11270.000
10,11051.000
11,10932.000
12,10991.000
13,10854.000
14,10795.000
15,10876.000
16,10684.000
17,10880.000
18,10840.000
19,10692.000
20,10993.000
21,10922.000
22,10631.000
23,10755.000
24,10901.000
25,10621.000
26,10910.000
27,10674.000
28,10509.000
29,10657.000
30,10798.000
31,10795.000
32,11011.000
33,10534.000
34,10693.000
35,10769.000
36,10422.000
37,10908.000
38,10873.000
39,10893.000
40,10599.000
41,10624.000
42,10715.000
43,10842.000
44,10790.000
45,10797.000
46,10843.000
47,10520.000
48,10788.000
49,10980.000
50,10570.000
51,10805.000
52,10891.000
53,10698.000
54,10678.000
55,10785.000
56,10789.000
57,10754.000
58,10445.000
59,10518.000
60,10960.000
61,10737.000
62,10644.000
63,10610.000
64,10761.000
65,10501.000
66,10408.000
67,10287.000
68,10690.000
69,10468.000
70,10501.000
71,10675.000
72,10617.000
73,10566.000
74,10885.000
75,10645.000
76,10463.000
77,10706.000
78,10530.000
79,10615.000
80,10603.000
81,10762.000
82,10988.000
83,10498.000
84,10648.000
85,10736.000
86,10484.000
87,10638.000
88,10821.000
89,10522.000
90,10434.000
91,10626.000
92,10399.000
93,10761.000
94,10492.000
95,10779.000
96,10841.000
97,10580.000
98,10757.000
99,10785.000
100,10348.000
101,10477.000
102,10553.000
103,10416.000
104,10293.000
105,10331.000
106,10601.000
107,10531.000
108,10566.000
109,10181.000
110,10565.000
111,10655.000
112,10706.000
113,10607.000
114,10717.000
115,10685.000
116,10701.000
117,10316.000
118,10664.000
119,10517.000
120,10699.000
121,10777.000
122,10786.000
123,10240.000
124,10375.000
125,10501.000
126,10555.000
127,10625.000
128,10397.000
129,10417.000
130,10732.000
131,10300.000
132,10422.000
133,10638.000
134,10625.000
135,10822.000
136,10592.000
137,10449.000
138,10398.000
139,10885.000
140,10660.000
141,10474.000
142,10394.000
143,10305.000
144,10515.000
145,10549.000
146,10665.000
147,10593.000
148,10655.000
149,10300.000
150,10713.000
151,10611.000
152,10627.000
153,10630.000
154,10290.000
155,10580.000
156,10495.000
157,10669.000
158,10979.000
159,9921.000
160,10374.000
161,10674.000
162,10321.000
163,10717.000
164,10532.000
165,10616.000
166,10466.000
167,10437.000
168,10387.000
169,10620.000
170,10777.000
171,10538.000
172,10700.000
173,10568.000
174,10423.000
175,10566.000
176,10550.000
177,10605.000
178,10474.000
179,10464.000
180,10552.000
181,10148.000
182,10169.000
183,10639.000
184,10396.000
185,10279.000
186,10818.000
187,10404.000
188,10905.000
189,10774.000
190,10409.000
191,10720.000
192,10903.000
193,10570.000
194,10753.000
195,10582.000
196,10608.000
197,10382.000
198,10667.000
199,10464.000
200,10886.000
201,10631.000
202,10414.000
203,10389.000
204,10462.000
205,10557.000
206,10199.000
207,10487.000
208,10410.000
209,10612.000
210,10298.000
211,10526.000
212,10390.000
213,10531.000
214,10375.000
215,10522.000
216,10437.000
217,10375.000
