lambda_idx,t_1_ms
0,10677.000
1,10773.000
2,10824.000
3,10719.000
4,10766.000
5,10621.000
6,10697.000
7,10745.000
8,10653.000
9,11116.000
10,11014.000
11,10816.000
12,10986.000
13,10751.000
14,10663.000
15,10769.000
16,10571.000
17,10736.000
18,10650.000
19,10565.000
20,10895.000
21,10853.000
22,10505.000
23,10615.000
24,10779.000
25,10620.000
26,10799.000
27,10585.000
28,10408.000
29,10535.000
30,10689.000
31,10789.000
32,10878.000
33,10374.000
34,10644.000
35,10778.000
36,10385.000
37,10794.000
38,10789.000
39,10808.000
40,10489.000
41,10568.000
42,10713.000
43,10718.000
44,10718.000
45,10732.000
46,10741.000
47,10424.000
48,10642.000
49,10869.000
50,10508.000
51,10734.000
52,10805.000
53,10597.000
54,10544.000
55,10655.000
56,10719.000
57,10627.000
58,10414.000
59,10433.000
60,10861.000
61,10635.000
62,10642.000
63,10497.000
64,10677.000
65,10397.000
66,10331.000
67,10295.000
68,10583.000
69,10432.000
70,10461.000
71,10616.000
72,10514.000
73,10492.000
74,10846.000
75,10626.000
76,10360.000
77,10565.000
78,10384.000
79,10522.000
80,10536.000
81,10728.000
82,10904.000
83,10359.000
84,10584.000
85,10638.000
86,10416.000
87,10549.000
88,10766.000
89,10465.000
90,10349.000
91,10663.000
92,10306.000
93,10705.000
94,10433.000
95,10701.000
96,10778.000
97,10468.000
98,10608.000
99,10647.000
100,10296.000
101,10414.000
102,10529.000
103,10323.000
104,10219.000
105,10272.000
106,10501.000
107,10406.000
108,10510.000
109,10108.000
110,10487.000
111,10600.000
112,10621.000
113,10560.000
114,10630.000
115,10603.000
116,10653.000
117,10270.000
118,10633.000
119,10422.000
120,10672.000
121,10695.000
122,10674.000
123,10246.000
124,10279.000
125,10336.000
126,10514.000
127,10587.000
128,10286.000
129,10352.000
130,10619.000
131,10214.000
132,10285.000
133,10552.000
134,10537.000
135,10721.000
136,10528.000
137,10357.000
138,10283.000
139,10743.000
140,10629.000
141,10455.000
142,10306.000
143,10256.000
144,10401.000
145,10534.000
146,10563.000
147,10508.000
148,10495.000
149,10264.000
150,10633.000
151,10506.000
152,10537.000
153,10505.000
154,10186.000
155,10477.000
156,10483.000
157,10567.000
158,10927.000
159,9835.000
160,10334.000
161,10579.000
162,10237.000
163,10638.000
164,10412.000
165,10581.000
166,10403.000
167,10335.000
168,10274.000
169,10498.000
170,10718.000
171,10506.000
172,10648.000
173,10461.000
174,10351.000
175,10506.000
176,10453.000
177,10559.000
178,10397.000
179,10394.000
180,10452.000
181,10023.000
182,10127.000
183,10614.000
184,10365.000
185,10196.000
186,10770.000
187,10356.000
188,10848.000
189,10726.000
190,10325.000
191,10666.000
192,10828.000
193,10509.000
194,10613.000
195,10481.000
196,10543.000
197,10329.000
198,10639.000
199,10416.000
200,10838.000
201,10494.000
202,10331.000
203,10308.000
204,10345.000
205,10494.000
206,10092.000
207,10414.000
208,10366.000
209,10557.000
210,10178.000
211,10430.000
212,10256.000
213,10388.000
214,10271.000
215,10484.000
216,10405.000
217,10311.000
218,10257.000
219,10566.000
220,10294.000
221,10397.000
222,10082.000
223,10371.000
224,10375.000
225,10386.000
226,10338.000
227,10267.000
228,10080.000
229,10266.000
230,10242.000
231,10374.000
232,10557.000
233,10585.000
234,10401.000
235,10283.000
236,10351.000
237,10181.000
238,10129.000
239,10562.000
240,10392.000
241,10448.000
242,10366.000
243,10360.000
244,10366.000
245,10213.000
246,10581.000
247,10493.000
248,10349.000
249,10376.000
250,10313.000
251,10245.000
252,10306.000
253,10392.000
254,10364.000
255,10270.000
256,10203.000
257,10071.000
258,10283.000
259,10242.000
260,10208.000
261,10224.000
262,10517.000
263,10305.000
264,10249.000
265,10533.000
266,10584.000
267,10460.000
268,10274.000
269,10341.000
270,10424.000
271,10525.000
272,10358.000
273,10472.000
274,10824.000
275,10325.000
276,10219.000
277,10503.000
278,10215.000
279,10480.000
280,10516.000
281,10385.000
282,10526.000
283,10433.000
284,10292.000
285,10472.000
286,10598.000
287,10096.000
288,10418.000
289,10552.000
290,10352.000
291,10303.000
292,10440.000
293,10410.000
294,10444.000
295,10605.000
296,10481.000
297,10398.000
298,10331.000
299,10114.000
300,10313.000
301,10266.000
302,10424.000
303,10477.000
304,10279.000
305,10559.000
306,10652.000
307,10018.000
308,10432.000
309,10280.000
310,10559.000
311,10351.000
312,10408.000
313,10701.000
314,10604.000
315,10594.000
316,10622.000
317,10509.000
318,10376.000
319,10445.000
320,10428.000
321,10367.000
322,10506.000
323,10637.000
324,10207.000
325,10502.000
326,10448.000
327,10226.000
328,10535.000
329,10573.000
330,10370.000
331,10424.000
332,10379.000
333,10368.000
334,10570.000
335,10386.000
336,10383.000
337,10505.000
338,10783.000
339,10170.000
340,10468.000
341,10710.000
342,10450.000
343,10422.000
344,10235.000
345,10291.000
346,10413.000
347,10351.000
348,10358.000
349,10157.000
350,10117.000
351,10570.000
352,10290.000
353,10267.000
354,10568.000
355,10579.000
356,10243.000
357,10363.000
358,10285.000
359,10331.000
360,10583.000
361,10571.000
362,10352.000
363,10436.000
364,10285.000
365,10138.000
366,10383.000
367,10239.000
368,10200.000
369,10226.000
370,10466.000
371,10471.000
372,10647.000
373,10453.000
374,10552.000
375,10382.000
376,10546.000
377,10584.000
378,10336.000
379,10475.000
380,10413.000
381,10430.000
382,10495.000
383,10564.000
384,10300.000
385,10466.000
386,10617.000
387,10326.000
388,10438.000
389,10412.000
390,10472.000
391,10402.000
392,10524.000
393,10971.000
394,10607.000
395,10211.000
396,10334.000
397,10122.000
398,10207.000
399,10484.000
400,10386.000
401,10409.000
402,10414.000
403,10721.000
404,10346.000
405,10215.000
406,10177.000
407,10398.000
408,10289.000
409,10328.000
410,10251.000
411,10566.000
412,10404.000
413,10314.000
414,10328.000
415,10530.000
416,10254.000
417,10705.000
418,10765.000
419,10784.000
420,10212.000
421,10116.000
422,10455.000
423,10385.000
424,10522.000
425,10467.000
426,10572.000
427,10349.000
428,10471.000
429,10315.000
430,10569.000
431,10127.000
432,10431.000
433,10321.000
434,10471.000
435,10284.000
436,10532.000
437,10146.000
438,10491.000
439,10276.000
440,10462.000
441,10379.000
442,10345.000
443,10369.000
444,10348.000
445,10385.000
446,10285.000
447,10516.000
448,10468.000
449,10361.000
450,10135.000
451,10411.000
452,10400.000
453,10181.000
454,10547.000
455,10511.000
456,10099.000
457,10400.000
458,10185.000
459,10629.000
460,10236.000
461,10402.000
462,10517.000
463,10639.000
464,10467.000
465,10435.000
466,10275.000
467,10477.000
468,10596.000
469,10310.000
470,10433.000
471,10425.000
472,10377.000
473,10388.000
474,10476.000
475,10398.000
476,10702.000
477,10484.000
478,9968.000
479,10255.000
480,10236.000
481,10527.000
482,10330.000
483,10270.000
484,10268.000
485,10210.000
486,10183.000
487,10230.000
488,10414.000
489,10175.000
490,10633.000
491,10279.000
492,10555.000
493,10251.000
494,10496.000
495,10890.000
496,10145.000
497,10330.000
498,10483.000
499,10405.000
500,10422.000
501,10478.000
502,10511.000
503,10336.000
504,10543.000
505,10209.000
506,10462.000
507,10471.000
508,10509.000
509,10075.000
510,10252.000
511,10218.000
512,10049.000
513,10406.000
514,10363.000
515,10329.000
516,10086.000
517,10415.000
518,10443.000
519,10454.000
520,10425.000
521,10376.000
522,10495.000
523,9890.000
524,10398.000
525,10320.000
526,10626.000
527,10279.000
528,10644.000
529,10403.000
530,10505.000
531,10345.000
532,10541.000
533,10425.000
534,10365.000
535,10568.000
536,10200.000
537,10418.000
538,10524.000
539,10471.000
540,10618.000
541,10579.000
542,10171.000
543,10414.000
544,10220.000
545,10242.000
546,10095.000
547,10571.000
548,10633.000
549,10438.000
550,10480.000
551,10278.000
552,10094.000
553,10506.000
554,10561.000
555,10348.000
556,10369.000
557,10367.000
558,10271.000
559,10513.000
560,10216.000
561,10449.000
562,10285.000
563,10359.000
564,10663.000
565,10225.000
566,10382.000
567,9997.000
568,10361.000
569,10338.000
570,10296.000
571,10373.000
572,10218.000
573,9939.000
574,10604.000
575,10506.000
576,10719.000
577,10262.000
578,10062.000
579,10544.000
580,10400.000
581,10570.000
582,10639.000
583,10424.000
584,10483.000
585,10539.000
586,10214.000
587,10590.000
588,10252.000
589,10176.000
590,10076.000
591,10279.000
592,10206.000
593,10270.000
594,10205.000
595,10468.000
596,10512.000
597,10375.000
598,10219.000
599,10424.000
600,10635.000
601,10509.000
602,10570.000
603,10661.000
604,10541.000
605,10322.000
606,10807.000
607,10218.000
608,10360.000
609,10383.000
610,10345.000
611,10255.000
612,10373.000
613,10498.000
614,10466.000
615,10417.000
616,10435.000
617,10565.000
618,10701.000
619,10173.000
620,10477.000
621,10416.000
622,10685.000
623,10461.000
624,10264.000
625,10213.000
626,10518.000
627,10370.000
628,10718.000
629,10423.000
630,10381.000
631,10200.000
632,10436.000
633,10317.000
634,10542.000
635,10430.000
636,10582.000
637,10298.000
638,10538.000
639,10579.000
640,10416.000
641,10426.000
642,10218.000
643,10332.000
644,10268.000
645,10278.000
646,10209.000
647,10429.000
648,10359.000
649,10193.000
650,10437.000
651,10130.000
652,10385.000
653,10193.000
654,10574.000
655,10194.000
656,10372.000
657,10332.000
658,10505.000
659,10320.000
660,10556.000
661,10650.000
662,10199.000
663,10327.000
664,10642.000
665,10305.000
666,10190.000
667,10593.000
668,10361.000
669,10271.000
670,10311.000
671,10578.000
672,10431.000
673,10271.000
674,10336.000
675,10455.000
676,10458.000
677,10478.000
678,10023.000
679,10280.000
680,10448.000
681,10427.000
682,10300.000
683,10196.000
684,10329.000
685,10499.000
686,10338.000
687,10367.000
688,10485.000
689,10369.000
690,10379.000
691,10285.000
692,10172.000
693,10544.000
694,10418.000
695,10304.000
696,10434.000
697,10452.000
698,10584.000
699,10703.000
700,10153.000
701,10195.000
702,10226.000
703,10212.000
704,10509.000
705,10631.000
706,10118.000
707,10262.000
708,10446.000
709,10284.000
710,10445.000
711,10590.000
712,10262.000
713,10324.000
714,10537.000
715,10361.000
716,10487.000
717,10523.000
718,10364.000
719,10247.000
720,10183.000
721,10364.000
722,10583.000
723,10220.000
724,10363.000
725,10633.000
726,10381.000
727,10577.000
728,10750.000
729,10572.000
730,10516.000
731,10258.000
732,10539.000
733,10406.000
734,10790.000
735,10445.000
736,10482.000
737,10299.000
738,10513.000
739,10341.000
740,10618.000
741,10427.000
742,10560.000
743,10191.000
744,10547.000
745,10333.000
746,10448.000
747,10124.000
748,10387.000
749,10337.000
750,10487.000
751,10216.000
752,10273.000
753,10395.000
754,10304.000
755,10323.000
756,10203.000
757,10547.000
758,10445.000
759,10429.000
760,10260.000
761,10448.000
762,10481.000
763,10420.000
764,10679.000
765,10469.000
766,10546.000
767,10520.000
768,10479.000
769,10539.000
770,10432.000
771,10239.000
772,10292.000
773,10477.000
774,10287.000
775,10488.000
776,10535.000
777,10367.000
778,10904.000
779,10453.000
780,10269.000
781,10635.000
782,10227.000
