lambda_idx,t_1_ms,t_2_ms,t_3_ms,t_4_ms
0,15.146,22.233,27.392,30.881
1,15.410,22.427,27.623,31.059
2,15.656,22.563,27.789,31.322
3,15.538,22.438,27.538,31.101
4,16.135,22.974,28.151,31.809
5,16.248,23.274,28.411,32.045
6,15.094,21.933,27.221,30.767
7,15.777,22.695,27.715,31.257
8,16.028,22.994,28.150,31.633
9,15.855,22.755,27.751,31.212
10,15.763,22.780,27.952,31.516
11,16.250,23.129,28.286,31.977
12,15.516,22.517,27.690,31.244
13,15.603,22.530,27.733,31.267
14,15.996,22.954,28.074,31.568
15,15.585,22.635,27.827,31.496
16,16.043,23.051,28.174,31.665
17,15.858,23.028,28.188,31.668
18,15.845,22.771,27.898,31.423
19,15.855,22.799,27.776,31.108
20,15.628,22.606,27.477,30.915
21,16.129,23.119,28.026,31.558
22,16.590,23.359,28.586,32.105
23,15.403,22.373,27.455,31.109
24,15.591,22.573,27.870,31.381
25,16.518,23.403,28.620,32.158
26,15.801,22.710,27.976,31.452
27,15.960,22.970,28.190,31.994
28,16.887,23.737,28.908,32.480
29,16.369,23.294,28.398,31.725
30,16.163,23.140,28.282,31.894
31,15.521,22.458,27.603,31.138
32,16.214,23.263,28.476,31.971
33,15.195,22.315,27.477,31.060
34,16.708,23.710,28.974,32.411
35,15.806,22.777,27.938,31.532
36,15.982,22.936,28.147,31.533
37,15.641,22.572,27.687,31.196
38,16.039,22.983,28.185,31.703
39,15.551,22.606,27.785,31.238
40,16.380,23.347,28.432,32.189
41,16.079,23.049,28.123,31.497
42,15.994,22.936,28.409,32.025
43,15.552,22.435,27.591,31.062
44,16.320,23.220,28.365,31.809
45,15.848,22.886,28.033,31.545
46,15.882,22.852,28.035,31.619
47,15.244,22.216,27.392,30.966
48,15.960,22.865,27.928,31.528
49,15.951,22.857,28.033,31.576
50,16.068,22.945,28.131,31.658
51,15.405,22.243,27.447,30.899
52,15.545,22.519,27.665,31.240
53,15.850,22.771,27.943,31.538
54,15.934,22.739,27.901,31.585
55,15.939,22.847,28.092,31.582
56,15.337,22.280,27.528,31.147
57,16.071,23.313,28.460,32.076
58,16.428,23.382,28.465,31.941
59,15.823,22.736,27.987,31.665
60,15.472,22.439,27.563,31.125
61,16.038,23.047,28.345,31.822
62,15.900,22.853,27.970,31.625
63,16.046,23.017,28.217,31.853
64,16.334,23.322,28.649,32.137
65,16.044,23.025,28.110,31.646
66,16.435,23.316,28.492,32.042
67,16.201,23.133,28.321,31.809
68,16.013,22.961,28.142,31.662
69,16.231,23.119,28.405,31.954
70,16.030,22.983,28.035,31.669
71,15.376,22.324,27.514,31.037
72,15.593,22.624,27.752,31.283
73,16.299,23.177,28.424,32.193
74,15.764,22.610,27.692,31.320
75,16.032,22.961,28.213,31.783
76,16.080,22.989,28.306,32.131
77,15.853,22.898,27.983,31.664
78,17.058,24.029,29.324,32.958
79,15.668,22.648,27.919,31.631
80,15.530,22.555,27.722,31.343
81,16.449,23.350,28.614,32.313
82,15.477,22.445,27.591,31.165
83,16.204,23.145,28.261,32.023
84,15.818,23.035,28.430,31.911
85,15.226,22.192,27.483,31.067
86,15.328,22.346,27.532,31.211
87,16.732,23.701,28.976,32.506
88,15.123,22.321,27.647,31.294
89,16.397,23.483,28.946,32.718
90,15.503,22.945,28.295,32.034
91,16.058,23.448,28.879,32.574
92,16.089,23.330,28.693,32.395
93,16.561,23.869,29.407,33.248
94,15.858,23.423,28.981,32.800
95,15.946,23.453,29.256,33.176
96,15.829,23.641,29.306,33.285
97,15.798,23.760,29.703,33.747
98,15.607,23.973,30.143,34.442
99,15.769,24.244,30.633,35.215
100,16.433,25.272,31.912,36.393
101,16.452,25.367,31.956,36.592
102,16.610,25.772,32.639,37.482
103,16.895,26.608,33.934,39.108
104,16.981,27.336,35.119,40.793
105,16.489,27.735,36.194,42.063
106,17.479,29.274,38.271,44.288
107,17.681,30.259,39.469,45.591
108,17.642,30.768,40.413,46.745
109,18.085,31.338,41.149,47.400
110,17.235,30.090,39.807,46.233
111,17.260,29.510,38.917,44.930
112,17.514,29.581,38.391,44.360
113,17.014,28.948,37.388,42.893
114,17.161,28.933,36.813,42.357
115,17.696,29.181,36.910,42.077
116,16.562,28.178,35.599,40.792
117,16.759,28.109,35.795,41.203
118,16.862,28.162,35.835,41.042
119,16.156,26.510,34.456,39.635
120,15.735,25.069,32.119,37.041
121,16.017,24.410,31.009,35.733
122,15.940,24.023,30.070,34.321
123,15.968,23.738,29.359,33.199
124,15.967,23.602,29.210,32.983
125,15.998,23.242,28.587,32.381
126,15.919,23.198,28.550,32.242
127,16.163,23.294,28.580,32.153
128,16.026,23.129,28.347,31.965
129,16.042,23.027,28.293,31.851
130,15.828,22.900,28.273,31.863
131,16.401,23.348,28.640,32.267
132,15.616,22.758,28.016,31.678
133,16.898,23.949,29.244,32.806
134,16.328,23.456,28.551,32.296
135,15.989,22.951,28.157,31.683
136,15.954,22.997,28.237,31.818
137,16.149,23.194,28.604,32.178
138,16.125,23.191,28.541,32.217
139,16.410,23.399,28.648,32.307
140,16.058,23.172,28.404,32.085
141,16.049,22.897,28.142,31.746
142,16.630,23.704,28.979,32.631
143,15.620,22.580,27.823,31.388
144,16.583,23.819,29.027,32.736
145,15.873,22.926,28.153,31.784
146,16.731,23.614,28.785,32.419
147,16.108,23.142,28.534,32.306
148,15.955,22.946,28.286,32.120
149,16.180,23.263,28.455,32.177
150,15.967,22.940,28.210,31.689
151,16.199,23.171,28.460,31.909
152,15.680,22.695,27.974,31.579
153,16.098,22.995,28.271,31.933
154,16.316,23.279,28.567,32.217
155,15.994,23.211,28.401,32.006
156,16.178,23.242,28.570,32.196
157,15.824,22.969,28.328,31.912
158,15.551,22.714,27.812,31.486
159,16.036,22.941,28.204,31.688
160,15.344,22.298,27.726,31.460
161,15.538,22.440,27.786,31.368
162,16.008,22.938,28.067,31.605
163,16.001,22.915,28.055,31.644
164,15.747,22.737,28.059,31.701
165,16.104,23.078,28.291,31.953
166,15.387,22.381,27.470,31.116
167,16.356,23.281,28.401,31.994
168,15.744,22.653,28.002,31.736
169,16.192,23.100,28.273,31.845
170,15.767,22.639,27.897,31.556
171,16.288,23.312,28.495,32.120
172,15.788,22.879,28.170,31.884
173,16.017,22.918,28.002,31.744
174,16.381,23.297,28.526,32.108
175,15.500,22.542,27.848,31.473
176,16.145,23.097,28.517,32.105
177,15.572,22.544,27.786,31.459
178,16.466,23.436,28.693,32.209
179,15.715,22.687,28.004,31.596
180,16.530,23.477,28.750,32.361
181,15.642,22.575,27.926,31.645
182,16.580,23.585,28.810,32.448
183,16.417,23.352,28.637,32.207
184,15.448,22.365,27.552,31.119
185,16.405,23.334,28.591,32.085
186,15.974,22.991,28.208,31.881
187,16.924,23.663,28.746,32.467
188,15.767,22.974,28.322,31.833
189,16.096,23.010,28.266,31.846
190,15.697,22.752,28.132,31.572
191,16.784,23.947,29.197,32.913
192,16.807,23.886,29.053,32.710
193,16.131,23.088,28.317,31.967
194,15.941,22.855,28.093,31.750
195,16.119,23.143,28.252,31.971
196,16.309,23.249,28.487,32.109
197,15.737,22.760,28.061,31.668
198,15.793,22.744,27.926,31.553
199,15.597,22.565,27.866,31.438
200,16.672,23.679,28.957,32.582
