lambda_idx,t_1_ms,t_2_ms,t_3_ms,t_4_ms
0,15.283,22.296,27.513,30.805
1,15.404,22.410,27.629,30.842
2,15.647,22.510,27.690,31.095
3,15.599,22.400,27.582,30.923
4,16.209,23.033,28.311,31.720
5,16.314,23.291,28.517,31.806
6,15.066,21.972,27.140,30.513
7,15.884,22.670,27.695,31.026
8,16.142,22.936,28.069,31.467
9,15.899,22.725,27.663,30.997
10,15.838,22.802,28.040,31.213
11,16.317,23.173,28.352,31.649
12,15.517,22.566,27.679,30.960
13,15.650,22.619,27.718,31.082
14,16.111,23.006,28.148,31.447
15,15.615,22.619,27.795,31.229
16,16.127,23.047,28.275,31.546
17,16.027,23.099,28.161,31.438
18,15.933,22.873,27.938,31.255
19,15.959,22.827,27.758,30.952
20,15.778,22.576,27.429,30.863
21,16.211,23.151,28.129,31.358
22,16.603,23.496,28.608,31.949
23,15.489,22.324,27.585,30.855
24,15.610,22.595,27.829,31.176
25,16.558,23.435,28.599,31.926
26,15.906,22.791,27.891,31.347
27,16.102,23.085,28.218,31.770
28,16.889,23.817,28.978,32.290
29,16.461,23.308,28.444,31.590
30,16.247,23.157,28.322,31.658
31,15.562,22.490,27.642,30.842
32,16.308,23.289,28.449,31.722
33,15.282,22.318,27.547,31.054
34,16.810,23.703,28.966,32.258
35,15.828,22.892,28.066,31.357
36,16.087,22.985,28.154,31.452
37,15.637,22.567,27.676,31.047
38,16.091,23.004,28.170,31.494
39,15.665,22.668,27.762,31.105
40,16.452,23.408,28.528,31.836
41,16.115,23.064,28.094,31.210
42,16.085,22.921,28.347,31.741
43,15.635,22.438,27.597,30.879
44,16.426,23.270,28.426,31.663
45,16.024,22.937,28.074,31.352
46,16.010,22.869,28.080,31.439
47,15.405,22.247,27.331,30.748
48,16.075,22.942,27.938,31.242
49,16.060,22.900,27.999,31.477
50,16.097,23.013,28.147,31.547
51,15.532,22.311,27.442,30.760
52,15.684,22.540,27.582,30.907
53,15.935,22.812,27.987,31.304
54,15.982,22.716,27.906,31.289
55,16.077,22.940,28.055,31.386
56,15.410,22.347,27.523,30.987
57,16.170,23.248,28.550,31.887
58,16.551,23.380,28.431,31.744
59,15.892,22.819,28.040,31.429
60,15.559,22.382,27.524,30.851
61,16.113,23.059,28.229,31.665
62,15.967,22.933,28.035,31.275
63,16.125,23.085,28.202,31.667
64,16.438,23.336,28.617,31.881
65,16.114,23.011,28.137,31.454
66,16.528,23.337,28.464,31.808
67,16.248,23.184,28.332,31.654
68,16.142,22.980,28.208,31.556
69,16.262,23.033,28.416,31.649
70,16.163,22.959,28.150,31.552
71,15.490,22.329,27.574,30.808
72,15.728,22.551,27.705,31.108
73,16.326,23.184,28.364,31.882
74,15.816,22.596,27.691,31.093
75,16.132,23.000,28.176,31.577
76,16.084,23.014,28.243,31.879
77,15.945,22.859,28.028,31.442
78,17.201,24.017,29.433,32.827
79,15.734,22.635,28.041,31.491
80,15.551,22.524,27.698,31.123
81,16.434,23.386,28.717,32.024
82,15.519,22.385,27.594,31.040
83,16.310,23.131,28.262,31.784
84,15.917,23.038,28.446,31.721
85,15.244,22.252,27.486,30.877
86,15.406,22.361,27.528,30.975
87,16.738,23.609,28.898,32.268
88,15.277,22.324,27.550,31.056
89,16.441,23.478,28.900,32.432
90,15.512,22.938,28.290,31.682
91,16.161,23.426,28.879,32.399
92,16.095,23.298,28.700,32.215
93,16.658,23.831,29.372,33.086
94,15.960,23.356,29.027,32.702
95,15.988,23.517,29.226,33.061
96,15.913,23.514,29.432,33.137
97,15.829,23.536,29.600,33.359
98,15.639,23.750,29.776,33.922
99,15.710,23.939,30.163,34.312
100,16.343,24.908,31.322,35.707
101,16.523,25.116,31.706,36.229
102,16.629,25.767,32.733,37.603
103,16.993,26.800,34.323,39.347
104,17.028,27.543,35.711,41.139
105,16.510,27.812,36.591,42.079
106,17.473,29.279,38.111,43.732
107,17.678,30.026,38.897,44.358
108,17.540,30.245,39.235,45.022
109,17.906,30.384,39.645,45.440
110,17.194,29.317,38.605,44.611
111,17.208,28.886,37.983,44.104
112,17.479,28.952,37.840,43.521
113,16.852,28.174,36.639,42.085
114,17.035,28.266,36.484,41.605
115,17.614,28.910,36.516,41.442
116,16.500,27.908,35.196,39.869
117,16.728,27.799,35.162,40.188
118,16.981,28.120,35.350,39.938
119,16.275,26.767,34.212,39.030
120,15.773,25.261,32.524,37.550
121,16.054,24.744,31.632,36.422
122,16.094,24.271,30.744,34.991
123,16.053,23.805,29.726,33.648
124,16.116,23.708,29.475,33.069
125,16.066,23.327,28.789,32.260
126,15.958,23.309,28.612,32.090
127,16.269,23.222,28.651,32.042
128,16.050,23.066,28.422,31.843
129,16.068,22.967,28.279,31.767
130,15.892,22.848,28.175,31.623
131,16.437,23.360,28.668,32.072
132,15.699,22.718,28.032,31.575
133,17.024,24.030,29.274,32.585
134,16.390,23.445,28.710,32.108
135,15.993,22.918,28.073,31.602
136,16.045,23.113,28.219,31.635
137,16.172,23.181,28.451,31.953
138,16.172,23.067,28.461,31.976
139,16.500,23.432,28.717,32.127
140,16.114,23.158,28.549,31.832
141,16.085,22.960,28.184,31.564
142,16.671,23.705,29.015,32.374
143,15.654,22.578,27.890,31.260
144,16.646,23.761,29.150,32.525
145,15.959,22.941,28.195,31.594
146,16.734,23.570,28.808,32.188
147,16.169,23.144,28.539,32.039
148,16.033,22.983,28.275,31.813
149,16.320,23.347,28.513,31.853
150,16.026,22.988,28.231,31.547
151,16.242,23.358,28.487,31.764
152,15.838,22.710,27.990,31.400
153,16.146,23.064,28.387,31.649
154,16.438,23.319,28.524,32.020
155,16.025,23.250,28.517,31.919
156,16.280,23.291,28.646,31.950
157,15.838,23.058,28.366,31.723
158,15.608,22.683,27.863,31.123
159,16.072,23.051,28.127,31.479
160,15.401,22.392,27.862,31.279
161,15.614,22.492,27.703,31.048
162,16.059,22.940,28.177,31.501
163,16.101,22.863,28.182,31.562
164,15.845,22.733,28.140,31.473
165,16.118,23.153,28.335,31.759
166,15.527,22.302,27.590,30.894
167,16.366,23.299,28.412,31.754
168,15.766,22.661,27.984,31.528
169,16.301,23.107,28.251,31.736
170,15.776,22.784,27.986,31.307
171,16.387,23.364,28.560,31.911
172,15.902,22.915,28.256,31.700
173,16.038,22.947,28.138,31.476
174,16.536,23.237,28.596,31.903
175,15.619,22.595,27.864,31.229
176,16.167,23.278,28.473,31.769
177,15.653,22.553,27.793,31.196
178,16.572,23.415,28.646,32.017
179,15.710,22.697,27.961,31.365
180,16.603,23.500,28.757,32.267
181,15.744,22.653,27.926,31.319
182,16.666,23.581,28.890,32.337
183,16.452,23.277,28.639,32.037
184,15.513,22.431,27.635,30.975
185,16.412,23.331,28.531,31.997
186,16.082,23.030,28.149,31.563
187,16.882,23.601,28.878,32.202
188,15.912,22.955,28.217,31.628
189,16.206,23.153,28.300,31.700
190,15.866,22.744,28.058,31.450
191,16.897,23.872,29.255,32.624
192,16.882,23.922,29.071,32.444
193,16.193,23.007,28.329,31.798
194,16.029,22.911,28.168,31.605
195,16.225,23.108,28.359,31.752
196,16.396,23.210,28.544,31.852
197,15.859,22.756,28.067,31.476
198,15.937,22.740,27.988,31.402
199,15.673,22.558,27.885,31.290
200,16.697,23.682,28.974,32.414
