lambda_idx,t_1_ms,t_2_ms,t_3_ms,t_4_ms
0,15.088,22.250,27.422,30.653
1,15.282,22.316,27.466,30.813
2,15.498,22.455,27.653,31.000
3,15.398,22.337,27.465,30.847
4,16.100,22.971,28.190,31.613
5,16.210,23.103,28.407,31.788
6,14.997,21.859,27.067,30.381
7,15.722,22.545,27.656,30.995
8,15.941,22.814,27.983,31.396
9,15.788,22.673,27.574,30.951
10,15.695,22.749,27.937,31.196
11,16.157,23.090,28.183,31.631
12,15.360,22.455,27.619,30.942
13,15.538,22.552,27.680,31.029
14,15.869,22.891,27.949,31.388
15,15.503,22.534,27.708,31.196
16,15.980,22.916,28.146,31.463
17,15.785,23.006,28.021,31.457
18,15.730,22.756,27.929,31.151
19,15.765,22.642,27.722,30.910
20,15.609,22.516,27.359,30.744
21,16.075,23.074,28.026,31.304
22,16.508,23.389,28.472,31.881
23,15.329,22.214,27.442,30.847
24,15.506,22.487,27.663,31.175
25,16.309,23.421,28.460,31.885
26,15.723,22.720,27.835,31.155
27,15.902,23.008,28.149,31.589
28,16.796,23.756,28.862,32.176
29,16.356,23.306,28.346,31.566
30,16.109,23.157,28.283,31.636
31,15.426,22.370,27.487,30.767
32,16.094,23.171,28.350,31.725
33,15.144,22.256,27.499,30.924
34,16.599,23.645,28.858,32.281
35,15.730,22.714,27.990,31.253
36,15.883,22.827,28.092,31.360
37,15.505,22.470,27.584,30.813
38,15.977,22.941,28.069,31.455
39,15.539,22.493,27.740,31.047
40,16.354,23.307,28.382,31.804
41,16.006,22.956,28.062,31.177
42,15.905,22.835,28.320,31.689
43,15.438,22.382,27.508,30.811
44,16.223,23.095,28.329,31.562
45,15.847,22.722,27.940,31.363
46,15.801,22.751,27.952,31.318
47,15.191,22.114,27.348,30.658
48,15.903,22.750,27.887,31.285
49,15.892,22.762,27.915,31.255
50,15.871,22.826,28.063,31.419
51,15.331,22.317,27.336,30.746
52,15.568,22.430,27.491,30.806
