lambda_idx,t_1_ms,t_2_ms,t_3_ms,t_4_ms
0,15.234,22.232,27.412,30.828
1,15.472,22.296,27.559,30.928
2,15.675,22.592,27.765,31.176
3,15.617,22.372,27.628,31.001
4,16.239,22.969,28.226,31.803
5,16.336,23.255,28.460,31.975
6,15.172,21.957,27.171,30.665
7,15.851,22.630,27.690,31.225
8,16.135,22.890,28.080,31.541
9,15.920,22.673,27.619,31.063
10,15.841,22.732,27.946,31.488
11,16.353,23.201,28.301,31.835
12,15.490,22.496,27.634,31.185
13,15.672,22.566,27.731,31.257
14,16.133,22.878,28.036,31.597
15,15.708,22.587,27.836,31.425
16,16.072,23.011,28.243,31.652
17,16.003,23.036,28.143,31.608
18,15.937,22.753,27.921,31.417
19,15.897,22.759,27.764,31.144
20,15.746,22.568,27.504,30.992
21,16.204,23.063,28.049,31.517
22,16.618,23.456,28.571,32.096
23,15.479,22.276,27.529,30.967
24,15.624,22.566,27.778,31.364
25,16.494,23.363,28.568,32.055
26,15.869,22.714,27.950,31.461
27,16.042,22.964,28.233,31.945
28,16.906,23.882,28.919,32.372
29,16.485,23.287,28.376,31.710
30,16.244,23.178,28.267,31.790
31,15.581,22.385,27.637,31.067
32,16.284,23.240,28.401,31.963
33,15.293,22.221,27.574,31.089
34,16.789,23.725,28.948,32.481
35,15.831,22.730,28.072,31.486
36,15.986,22.910,28.112,31.641
37,15.667,22.501,27.658,31.244
38,16.083,23.044,28.120,31.717
39,15.642,22.542,27.713,31.261
40,16.479,23.273,28.549,31.996
41,16.190,22.994,28.019,31.405
42,16.108,22.896,28.329,31.960
43,15.596,22.375,27.591,31.051
44,16.373,23.236,28.329,31.772
45,15.968,22.820,28.063,31.417
46,15.995,22.842,28.094,31.416
47,15.364,22.154,27.326,30.815
48,15.999,22.802,27.965,31.451
49,15.968,22.915,28.007,31.571
50,16.111,22.956,28.141,31.688
51,15.486,22.292,27.435,30.905
52,15.705,22.498,27.633,31.128
53,15.983,22.806,27.954,31.432
54,16.047,22.791,27.911,31.496
55,16.068,22.876,28.112,31.583
56,15.433,22.245,27.527,31.125
57,16.153,23.329,28.462,32.011
58,16.544,23.368,28.415,31.839
59,15.919,22.730,27.941,31.599
60,15.555,22.471,27.547,31.002
61,16.049,22.956,28.187,31.721
62,15.983,22.856,27.993,31.524
63,16.142,23.080,28.197,31.701
64,16.467,23.300,28.600,32.164
65,16.082,23.042,28.196,31.704
66,16.497,23.326,28.419,31.995
67,16.311,23.167,28.397,31.897
68,16.067,22.965,28.104,31.675
69,16.182,23.090,28.297,31.810
70,16.203,22.961,28.144,31.664
71,15.392,22.269,27.539,30.932
72,15.713,22.581,27.708,31.262
73,16.356,23.127,28.376,32.060
74,15.806,22.609,27.753,31.234
75,16.064,22.984,28.243,31.743
76,16.013,23.007,28.262,31.949
77,15.929,22.769,27.961,31.523
78,17.185,24.026,29.367,32.977
79,15.662,22.622,27.932,31.596
80,15.578,22.535,27.753,31.245
81,16.529,23.375,28.688,32.188
82,15.542,22.436,27.538,31.120
83,16.255,23.106,28.338,31.924
84,15.912,23.094,28.278,31.871
85,15.245,22.126,27.451,30.940
86,15.368,22.336,27.604,31.098
87,16.786,23.679,28.919,32.511
88,15.297,22.265,27.624,31.313
89,16.427,23.545,29.008,32.653
90,15.500,22.922,28.468,32.046
91,16.214,23.429,29.024,32.698
92,16.034,23.399,28.877,32.527
93,16.683,23.928,29.558,33.379
94,15.961,23.458,29.168,32.922
95,15.964,23.665,29.474,33.264
96,15.888,23.784,29.679,33.588
97,15.832,23.868,29.932,34.022
98,15.744,24.092,30.412,34.625
99,15.812,24.358,30.835,35.064
100,16.447,25.355,32.039,36.420
101,16.581,25.556,32.384,36.782
102,16.797,26.282,33.547,38.256
103,17.183,27.663,35.625,40.763
