lambda_idx,t_1_ms,t_2_ms,t_3_ms,t_4_ms
0,14.938,22.059,27.398,30.787
1,15.238,22.131,27.568,30.934
2,15.388,22.341,27.711,31.144
3,15.227,22.208,27.665,30.949
4,15.935,22.748,28.278,31.783
5,16.040,23.042,28.452,31.913
6,14.807,21.769,27.108,30.592
7,15.576,22.351,27.701,31.017
8,15.794,22.740,28.086,31.440
9,15.586,22.517,27.660,31.081
10,15.555,22.608,27.881,31.409
11,16.048,22.968,28.310,31.716
12,15.233,22.332,27.613,31.082
13,15.326,22.384,27.740,31.107
14,15.767,22.805,27.965,31.494
15,15.368,22.448,27.770,31.313
16,15.830,22.738,28.171,31.585
17,15.690,22.831,28.115,31.488
18,15.648,22.609,27.957,31.289
19,15.619,22.555,27.711,30.999
20,15.470,22.419,27.417,30.811
21,15.948,22.960,27.972,31.369
22,16.379,23.205,28.619,31.960
23,15.164,22.124,27.512,30.929
24,15.421,22.380,27.794,31.256
25,16.209,23.178,28.507,31.964
26,15.586,22.552,27.889,31.273
27,15.768,22.823,28.109,31.738
28,16.660,23.656,28.918,32.298
29,16.199,23.014,28.359,31.664
30,15.926,23.036,28.324,31.726
31,15.327,22.308,27.595,30.936
32,15.974,23.063,28.422,31.790
33,15.046,22.077,27.543,31.011
34,16.490,23.551,28.904,32.493
35,15.517,22.676,27.967,31.416
36,15.763,22.667,28.059,31.412
37,15.382,22.274,27.603,31.040
38,15.764,22.806,28.142,31.575
39,15.358,22.328,27.710,31.195
40,16.151,23.056,28.480,31.857
41,15.810,22.835,28.025,31.355
42,15.766,22.673,28.300,31.776
43,15.300,22.299,27.551,30.929
44,16.097,23.032,28.286,31.717
45,15.684,22.636,28.012,31.379
46,15.665,22.642,28.032,31.383
47,15.056,22.038,27.381,30.749
48,15.771,22.648,27.957,31.360
49,15.762,22.632,27.972,31.483
50,15.824,22.795,28.097,31.455
51,15.222,22.106,27.467,30.789
52,15.401,22.339,27.573,30.991
53,15.652,22.585,27.870,31.343
54,15.687,22.515,27.847,31.297
55,15.728,22.720,28.130,31.460
56,15.094,22.063,27.428,30.959
57,15.876,23.063,28.426,31.847
58,16.211,23.130,28.299,31.668
59,15.609,22.466,27.922,31.450
60,15.257,22.267,27.520,30.892
61,15.813,22.810,28.202,31.540
62,15.702,22.619,27.952,31.531
63,15.813,22.893,28.166,31.565
64,16.192,23.121,28.550,31.997
65,15.846,22.870,28.026,31.420
66,16.198,23.118,28.464,31.978
67,16.028,22.977,28.244,31.695
68,15.808,22.786,28.066,31.551
69,15.901,22.844,28.363,31.676
70,15.838,22.760,28.101,31.605
71,15.063,22.153,27.427,30.902
72,15.385,22.381,27.695,31.107
73,16.021,22.884,28.380,31.866
74,15.551,22.445,27.679,31.083
75,15.797,22.762,28.216,31.643
76,15.770,22.769,28.245,31.867
77,15.632,22.597,27.949,31.330
78,16.896,23.801,29.334,32.778
79,15.347,22.470,27.844,31.471
80,15.234,22.363,27.675,31.137
81,16.164,23.146,28.635,32.115
82,15.260,22.142,27.557,30.908
83,15.955,22.878,28.307,31.788
84,15.534,22.768,28.309,31.704
85,15.022,22.036,27.419,30.845
86,15.103,22.063,27.431,30.901
87,16.459,23.449,28.810,32.328
88,14.912,22.007,27.485,31.043
89,16.168,23.217,28.840,32.331
90,15.182,22.624,28.059,31.563
91,15.830,23.022,28.731,32.189
92,15.747,22.904,28.499,31.980
93,16.347,23.426,29.168,32.778
94,15.608,22.986,28.642,32.166
95,15.597,22.996,28.726,32.404
96,15.506,23.044,28.785,32.450
97,15.497,22.997,28.870,32.638
98,15.287,23.097,29.073,32.894
99,15.355,23.182,29.348,33.350
100,15.989,24.186,30.433,34.555
101,16.042,24.244,30.595,34.794
102,16.221,24.584,31.111,35.500
103,16.482,25.126,32.070,36.598
104,16.361,25.428,32.541,37.282
105,15.811,25.310,32.833,37.689
106,16.722,26.359,34.048,39.101
107,16.836,26.747,34.637,39.640
108,16.639,26.875,35.055,40.358
109,17.140,27.564,35.766,41.077
110,16.486,26.707,34.807,40.184
111,16.490,26.212,33.986,39.141
112,16.706,26.137,33.535,38.498
113,16.101,25.367,32.556,37.261
114,16.259,25.369,32.344,37.071
115,16.765,25.774,32.861,37.385
116,15.512,24.759,31.909,36.474
117,15.901,25.023,32.263,36.982
118,16.123,25.226,32.308,36.870
119,15.598,24.242,31.244,35.809
120,15.273,23.560,30.242,34.517
121,15.631,23.515,29.990,34.221
122,15.697,23.348,29.519,33.440
123,15.642,23.219,28.926,32.750
124,15.812,23.181,28.858,32.514
125,15.721,22.994,28.458,32.033
126,15.617,22.972,28.395,31.863
127,15.933,23.013,28.399,32.010
128,15.725,22.803,28.234,31.781
129,15.756,22.761,28.100,31.612
130,15.605,22.689,28.084,31.495
131,16.103,23.062,28.558,31.971
132,15.404,22.381,27.872,31.359
133,16.653,23.817,29.180,32.524
134,16.078,23.116,28.516,32.017
135,15.762,22.656,27.996,31.493
136,15.718,22.777,28.158,31.617
137,15.882,23.006,28.453,31.927
138,15.953,22.872,28.335,32.023
139,16.198,23.121,28.558,32.141
140,15.830,22.901,28.455,31.899
141,15.767,22.763,28.048,31.570
142,16.443,23.487,28.934,32.396
143,15.368,22.355,27.764,31.266
144,16.412,23.547,28.983,32.558
145,15.661,22.710,28.113,31.515
146,16.399,23.408,28.719,32.180
147,15.904,22.876,28.434,32.040
148,15.693,22.780,28.201,31.884
149,16.020,23.087,28.477,31.941
150,15.840,22.703,28.133,31.574
151,16.028,22.926,28.426,31.858
152,15.490,22.501,27.879,31.471
153,15.874,22.857,28.231,31.663
154,16.112,23.070,28.537,31.981
155,15.841,22.885,28.402,31.904
156,16.011,23.097,28.531,31.927
157,15.582,22.778,28.248,31.832
158,15.283,22.436,27.810,31.262
159,15.809,22.719,28.097,31.566
160,15.079,22.143,27.697,31.318
161,15.302,22.294,27.651,31.173
162,15.788,22.679,28.069,31.556
163,15.766,22.696,28.037,31.563
164,15.549,22.542,27.997,31.546
165,15.821,22.931,28.336,31.782
166,15.184,22.134,27.602,30.931
167,16.097,23.061,28.329,31.820
168,15.494,22.454,27.853,31.544
169,15.956,22.860,28.235,31.766
170,15.462,22.420,27.835,31.406
171,16.110,23.116,28.579,31.998
172,15.549,22.642,28.136,31.623
173,15.732,22.722,28.174,31.571
174,16.140,23.187,28.488,32.061
175,15.282,22.381,27.800,31.261
176,15.878,22.896,28.409,31.895
177,15.381,22.341,27.749,31.210
178,16.271,23.234,28.602,31.973
179,15.493,22.490,27.921,31.326
180,16.276,23.272,28.756,32.131
181,15.388,22.395,27.805,31.387
182,16.368,23.382,28.767,32.208
183,16.169,23.109,28.576,32.036
184,15.276,22.186,27.576,30.954
185,16.131,23.118,28.496,32.038
186,15.800,22.740,28.131,31.597
187,16.625,23.492,28.824,32.190
188,15.631,22.824,28.244,31.686
189,15.923,22.850,28.273,31.719
190,15.516,22.608,28.098,31.444
191,16.613,23.666,29.218,32.689
192,16.551,23.724,29.029,32.452
193,15.947,22.833,28.365,31.708
194,15.722,22.661,28.085,31.584
195,15.916,22.895,28.321,31.722
196,16.075,22.960,28.435,31.945
197,15.537,22.502,27.997,31.506
198,15.517,22.544,27.968,31.470
199,15.383,22.400,27.873,31.365
200,16.419,23.470,28.902,32.403
