lambda_idx,t_500.0_ms
0,22.358
1,22.286
2,22.524
3,22.383
4,23.039
5,23.257
6,21.961
7,22.598
8,22.924
9,22.666
10,22.830
11,23.142
12,22.499
13,22.556
14,22.992
15,22.551
16,22.990
17,23.026
18,22.788
19,22.771
20,22.454
21,23.105
22,23.482
23,22.303
24,22.570
25,23.412
26,22.759
27,22.986
28,23.757
29,23.220
30,23.063
31,22.436
32,23.176
33,22.278
34,23.736
35,22.749
36,22.998
37,22.519
38,23.033
39,22.481
40,23.352
41,22.928
42,22.910
43,22.460
44,23.180
45,22.857
46,22.930
47,22.262
48,22.809
49,22.911
50,22.974
51,22.356
52,22.445
53,22.706
54,22.779
55,22.904
56,22.196
57,23.346
58,23.393
59,22.723
60,22.347
61,23.026
62,22.782
63,22.907
64,23.289
65,22.991
66,23.294
67,23.164
68,22.962
69,23.089
70,22.966
71,22.311
72,22.557
73,23.143
74,22.600
75,22.972
76,22.990
77,22.776
78,24.005
79,22.625
80,22.481
81,23.344
82,22.358
83,23.087
84,23.039
85,22.196
86,22.254
87,23.608
88,22.188
89,23.414
90,22.765
91,23.281
92,23.098
93,23.627
94,23.172
95,23.165
96,23.288
97,23.284
98,23.296
99,23.439
100,24.522
101,24.642
102,25.010
103,25.648
104,25.740
105,25.592
106,26.586
107,26.904
108,26.989
109,27.637
110,26.836
111,26.438
112,26.289
113,25.402
114,25.381
115,25.638
116,24.437
117,24.680
118,25.117
119,24.294
120,23.781
121,23.850
122,23.570
123,23.444
124,23.432
125,23.113
126,23.092
127,23.095
128,22.952
129,22.971
130,22.734
131,23.335
132,22.648
133,23.941
134,23.225
135,22.901
136,22.898
137,23.106
138,23.091
139,23.373
140,23.112
141,22.850
142,23.689
143,22.551
144,23.790
145,22.867
146,23.538
147,23.109
148,22.917
149,23.237
150,22.940
151,23.166
152,22.710
153,23.011
154,23.357
155,23.127
156,23.189
157,23.008
158,22.648
159,22.989
160,22.365
161,22.424
162,22.948
163,22.907
164,22.792
165,23.117
166,22.285
167,23.211
168,22.650
169,23.108
170,22.682
171,23.273
172,22.874
173,22.962
174,23.358
175,22.497
176,23.102
177,22.459
178,23.420
179,22.700
180,23.518
181,22.540
182,23.549
183,23.373
184,22.407
185,23.288
186,22.985
187,23.608
188,22.928
189,23.059
190,22.802
191,23.874
192,23.892
193,23.097
194,22.804
195,23.033
196,23.135
197,22.810
198,22.744
199,22.563
200,23.648
