lambda_idx,t_1_ms,t_2_ms,t_3_ms,t_4_ms
0,14.900,22.200,27.291,30.790
1,15.107,22.272,27.280,30.991
2,15.345,22.393,27.506,31.079
3,15.301,22.256,27.449,30.935
4,15.919,22.843,28.040,31.734
5,15.961,23.120,28.193,31.813
6,14.791,21.881,26.949,30.442
7,15.540,22.587,27.550,30.974
8,15.776,22.772,27.904,31.443
9,15.635,22.598,27.495,30.920
10,15.486,22.741,27.758,31.287
11,15.950,23.055,28.079,31.616
12,15.184,22.330,27.416,30.989
13,15.350,22.452,27.561,31.153
14,15.833,22.854,27.919,31.431
15,15.355,22.422,27.591,31.267
16,15.763,22.839,27.913,31.495
17,15.716,22.924,27.869,31.489
18,15.539,22.659,27.669,31.163
19,15.609,22.741,27.569,30.938
20,15.401,22.332,27.199,30.806
21,15.857,22.932,27.831,31.283
22,16.245,23.339,28.321,31.915
23,15.219,22.251,27.231,30.784
24,15.281,22.410,27.580,31.154
25,16.130,23.319,28.337,31.948
26,15.544,22.619,27.654,31.295
27,15.766,22.851,28.014,31.720
28,16.567,23.703,28.676,32.264
29,16.159,23.203,28.145,31.514
30,15.863,23.016,28.026,31.605
31,15.210,22.292,27.403,30.920
32,15.879,23.142,28.267,31.799
33,14.923,22.145,27.249,30.848
34,16.527,23.667,28.783,32.323
35,15.518,22.634,27.754,31.329
36,15.682,22.830,27.939,31.555
37,15.312,22.397,27.418,31.002
38,15.742,22.884,27.908,31.489
39,15.303,22.351,27.483,31.110
40,16.089,23.176,28.295,31.847
41,15.798,22.892,27.884,31.302
42,15.729,22.857,28.160,31.722
43,15.307,22.284,27.336,30.901
44,16.011,23.086,28.152,31.671
45,15.571,22.699,27.792,31.349
46,15.642,22.759,27.785,31.388
47,15.055,22.058,27.130,30.670
48,15.701,22.699,27.745,31.312
49,15.705,22.747,27.819,31.398
50,15.740,22.820,27.905,31.473
51,15.142,22.145,27.239,30.744
52,15.335,22.402,27.388,30.894
53,15.532,22.598,27.728,31.273
54,15.658,22.641,27.663,31.375
55,15.714,22.873,27.793,31.413
56,15.061,22.158,27.237,30.897
57,15.788,23.176,28.230,31.825
58,16.206,23.267,28.150,31.720
59,15.599,22.596,27.722,31.471
60,15.210,22.282,27.358,30.944
61,15.722,22.908,27.954,31.567
62,15.592,22.671,27.752,31.307
63,15.738,22.916,27.957,31.601
64,16.000,23.201,28.424,31.980
65,15.820,22.857,27.907,31.456
66,16.175,23.200,28.255,31.992
67,15.912,23.105,28.086,31.632
68,15.759,22.839,27.944,31.395
69,15.878,22.998,28.085,31.732
70,15.777,22.855,27.810,31.496
71,15.062,22.222,27.358,30.812
72,15.422,22.449,27.590,31.105
