lambda_idx,t_1_ms,t_2_ms,t_3_ms,t_4_ms
0,14.981,22.250,27.420,30.771
1,15.143,22.318,27.559,30.974
2,15.426,22.486,27.749,31.242
3,15.290,22.406,27.637,31.018
4,15.992,22.942,28.245,31.734
5,16.082,23.152,28.586,31.910
6,14.910,21.950,27.212,30.685
7,15.594,22.645,27.705,31.088
8,15.796,22.882,28.090,31.501
9,15.712,22.682,27.668,31.100
10,15.541,22.731,27.988,31.373
11,16.051,23.087,28.315,31.729
12,15.245,22.436,27.732,31.086
13,15.427,22.532,27.791,31.284
14,15.832,22.922,28.044,31.515
15,15.392,22.487,27.833,31.466
16,15.836,22.865,28.248,31.671
17,15.666,22.975,28.125,31.603
18,15.687,22.704,27.963,31.317
19,15.681,22.722,27.828,31.066
20,15.419,22.574,27.488,30.847
21,15.903,23.137,28.085,31.406
22,16.330,23.451,28.574,32.026
23,15.216,22.298,27.552,30.988
24,15.365,22.557,27.866,31.395
25,16.255,23.382,28.572,32.021
26,15.541,22.824,28.014,31.362
27,15.801,22.862,28.196,31.812
28,16.673,23.701,28.990,32.382
29,16.154,23.222,28.485,31.710
30,15.959,23.084,28.347,31.629
31,15.282,22.357,27.666,31.045
32,15.998,23.148,28.426,31.870
33,15.022,22.276,27.619,31.035
34,16.566,23.684,29.026,32.493
35,15.623,22.794,28.057,31.449
36,15.763,22.896,28.177,31.571
37,15.405,22.461,27.688,31.194
38,15.832,22.937,28.192,31.665
39,15.458,22.551,27.817,31.192
40,16.196,23.283,28.539,31.916
41,15.825,22.983,28.107,31.391
42,15.778,22.948,28.455,31.699
43,15.375,22.392,27.582,30.926
44,16.034,23.249,28.407,31.676
45,15.680,22.835,28.018,31.449
46,15.720,22.888,28.119,31.418
47,15.075,22.245,27.405,30.827
48,15.745,22.771,28.018,31.491
49,15.746,22.876,28.087,31.484
50,15.818,22.889,28.231,31.574
51,15.257,22.320,27.510,30.854
52,15.389,22.496,27.644,31.132
53,15.640,22.747,28.064,31.554
54,15.767,22.752,27.946,31.561
55,15.838,22.907,28.141,31.564
56,15.087,22.322,27.554,31.040
57,15.914,23.275,28.534,31.966
58,16.252,23.332,28.373,31.813
59,15.648,22.747,28.091,31.498
60,15.294,22.451,27.593,30.983
61,15.799,22.985,28.312,31.660
62,15.664,22.809,28.038,31.541
63,15.824,22.981,28.261,31.653
64,16.165,23.169,28.610,32.105
65,15.864,22.933,28.244,31.632
66,16.144,23.325,28.521,31.993
67,15.990,23.149,28.327,31.774
68,15.816,22.892,28.177,31.656
69,15.882,23.140,28.340,31.816
70,15.876,22.872,28.188,31.656
71,15.184,22.292,27.581,31.021
72,15.431,22.539,27.806,31.236
73,16.024,23.131,28.366,31.992
74,15.513,22.532,27.762,31.208
75,15.885,22.995,28.249,31.702
76,15.820,22.979,28.330,31.897
77,15.717,22.767,28.049,31.461
78,16.886,23.959,29.399,32.867
79,15.352,22.665,27.989,31.512
80,15.365,22.458,27.725,31.279
81,16.180,23.313,28.648,32.209
82,15.311,22.361,27.622,31.083
83,15.984,23.087,28.332,31.883
84,15.574,22.996,28.425,31.778
85,14.935,22.134,27.556,30.978
86,15.125,22.363,27.681,31.091
87,16.551,23.577,28.959,32.486
88,14.889,22.295,27.665,31.126
89,16.151,23.437,28.947,32.600
90,15.230,22.899,28.339,31.888
91,15.896,23.278,28.903,32.441
92,15.786,23.164,28.676,32.201
93,16.371,23.757,29.356,33.070
94,15.695,23.226,28.920,32.493
95,15.639,23.302,29.103,32.860
96,15.562,23.464,29.217,33.116
97,15.512,23.513,29.509,33.526
98,15.324,23.699,29.808,34.074
99,15.432,23.870,30.175,34.481
100,16.108,24.836,31.248,35.639
101,16.174,24.888,31.261,35.690
102,16.280,25.200,31.916,36.573
103,16.620,26.027,33.204,38.169
104,16.631,26.742,34.472,39.736
105,16.153,27.168,35.374,40.874
106,17.087,28.500,37.020,42.893
107,17.324,29.286,37.960,43.891
108,17.182,29.650,38.493,44.499
109,17.727,30.094,38.959,45.084
110,16.935,28.994,37.837,44.235
111,16.886,28.435,37.168,43.434
112,17.032,28.215,36.748,42.879
113,16.506,27.347,35.718,41.782
114,16.713,27.656,35.932,41.405
