lambda_idx,t_1_ms,t_2_ms,t_3_ms,t_4_ms
0,15.040,22.029,27.174,30.662
1,15.331,22.135,27.290,30.833
2,15.528,22.313,27.481,31.020
3,15.496,22.220,27.285,30.822
4,16.096,22.778,27.902,31.647
5,16.185,23.015,28.218,31.784
6,14.949,21.642,26.996,30.493
7,15.722,22.408,27.481,30.977
8,16.019,22.656,27.869,31.358
9,15.756,22.419,27.440,30.943
10,15.699,22.538,27.677,31.222
11,16.133,22.885,28.074,31.587
12,15.436,22.238,27.423,30.963
13,15.545,22.302,27.501,31.017
14,15.915,22.655,27.797,31.318
15,15.524,22.347,27.503,31.174
16,15.966,22.704,27.994,31.491
17,15.766,22.685,27.923,31.422
18,15.838,22.530,27.637,31.160
19,15.863,22.473,27.563,30.869
20,15.597,22.324,27.207,30.699
21,16.107,22.863,27.860,31.248
22,16.480,23.167,28.274,31.822
23,15.325,22.051,27.212,30.826
24,15.483,22.349,27.551,31.063
25,16.317,23.169,28.299,31.849
26,15.733,22.551,27.622,31.250
27,15.942,22.682,27.919,31.666
28,16.748,23.464,28.696,32.242
29,16.322,22.999,28.212,31.510
30,16.161,22.909,28.020,31.537
31,15.463,22.193,27.316,30.842
32,16.076,22.961,28.211,31.749
33,15.116,22.001,27.336,30.915
34,16.665,23.433,28.709,32.236
35,15.737,22.487,27.773,31.258
36,15.858,22.664,27.852,31.460
37,15.512,22.242,27.441,30.945
38,15.982,22.689,27.885,31.436
39,15.467,22.264,27.532,31.009
40,16.249,23.037,28.278,31.800
41,16.023,22.799,27.873,31.195
42,15.873,22.660,28.063,31.579
43,15.451,22.163,27.311,30.750
44,16.248,22.939,28.032,31.573
45,15.805,22.603,27.720,31.222
46,15.787,22.598,27.749,31.350
47,15.154,22.019,27.124,30.569
48,15.921,22.560,27.704,31.259
49,15.910,22.566,27.855,31.313
50,15.927,22.694,27.905,31.410
51,15.318,22.028,27.219,30.756
52,15.554,22.200,27.403,30.880
53,15.738,22.503,27.695,31.085
54,15.837,22.472,27.642,31.278
55,15.888,22.684,27.786,31.344
56,15.237,22.111,27.214,30.817
57,15.997,23.009,28.244,31.679
58,16.359,23.124,28.069,31.637
59,15.716,22.558,27.754,31.295
60,15.403,22.156,27.268,30.820
61,15.945,22.689,27.938,31.471
62,15.913,22.558,27.731,31.359
63,15.979,22.762,27.955,31.535
64,16.278,22.982,28.305,31.884
65,15.989,22.771,27.869,31.367
66,16.376,23.040,28.287,31.838
67,16.106,22.976,28.124,31.591
68,15.913,22.697,27.877,31.370
69,16.030,22.826,28.072,31.601
70,16.050,22.683,27.845,31.424
71,15.244,22.072,27.313,30.644
72,15.576,22.369,27.563,31.059
73,16.182,22.879,28.089,31.835
74,15.620,22.300,27.438,31.041
75,15.973,22.722,27.938,31.424
76,15.904,22.738,27.994,31.762
77,15.815,22.546,27.776,31.297
78,17.057,23.673,29.075,32.792
79,15.493,22.503,27.576,31.335
80,15.322,22.271,27.480,30.954
81,16.278,23.146,28.403,31.962
82,15.430,22.130,27.233,30.824
83,16.161,22.764,28.017,31.613
84,15.700,22.824,28.047,31.628
85,15.152,21.929,27.232,30.802
