lambda_idx,t_1_ms,t_2_ms,t_3_ms,t_4_ms
0,14.905,22.316,27.613,30.819
1,15.235,22.443,27.672,30.983
2,15.424,22.624,27.918,31.113
3,15.301,22.460,27.794,31.021
4,15.928,23.091,28.400,31.744
5,16.041,23.311,28.620,31.868
6,14.912,22.075,27.281,30.614
7,15.604,22.740,27.940,31.112
8,15.843,22.972,28.168,31.472
9,15.713,22.762,27.884,31.182
10,15.561,22.894,28.113,31.462
11,16.040,23.209,28.448,31.756
12,15.290,22.521,27.752,31.098
13,15.451,22.630,27.921,31.174
14,15.876,23.009,28.270,31.503
15,15.491,22.735,27.915,31.376
16,15.957,23.085,28.361,31.667
17,15.752,23.099,28.285,31.637
18,15.716,22.825,28.108,31.314
19,15.693,22.835,27.927,31.073
20,15.489,22.652,27.646,30.860
21,15.969,23.172,28.219,31.424
22,16.370,23.573,28.681,32.044
23,15.200,22.396,27.631,30.959
24,15.388,22.583,28.016,31.343
25,16.302,23.476,28.749,32.038
26,15.641,22.797,28.073,31.359
27,15.840,23.068,28.415,31.856
28,16.671,23.856,29.081,32.406
29,16.179,23.351,28.553,31.740
30,16.011,23.185,28.501,31.756
31,15.374,22.498,27.754,30.999
32,16.035,23.341,28.540,31.879
33,15.025,22.287,27.746,31.017
34,16.576,23.754,29.070,32.408
35,15.652,22.776,28.176,31.497
36,15.822,23.032,28.197,31.592
37,15.469,22.588,27.825,31.155
38,15.866,23.106,28.309,31.624
39,15.483,22.619,27.885,31.300
40,16.199,23.388,28.617,31.915
41,15.908,23.135,28.176,31.351
42,15.803,23.097,28.559,31.851
43,15.307,22.424,27.712,30.987
44,16.170,23.226,28.568,31.727
45,15.771,22.881,28.171,31.415
46,15.720,23.046,28.197,31.578
47,15.106,22.295,27.489,30.789
48,15.813,22.893,28.202,31.416
49,15.792,22.947,28.215,31.555
50,15.840,23.018,28.290,31.642
51,15.241,22.455,27.661,30.890
52,15.424,22.561,27.829,30.970
53,15.704,22.889,28.143,31.466
54,15.775,22.769,28.136,31.522
55,15.799,23.007,28.265,31.508
56,15.198,22.343,27.652,31.030
57,15.903,23.395,28.705,31.894
58,16.241,23.412,28.559,31.852
