lambda_idx,t_1_ms,t_2_ms,t_3_ms,t_4_ms
0,14.980,22.549,27.342,30.749
1,15.270,22.555,27.508,30.849
2,15.515,22.739,27.692,31.062
3,15.430,22.597,27.574,30.911
4,16.033,23.152,28.150,31.681
5,16.085,23.438,28.423,31.833
6,14.964,22.250,27.137,30.542
7,15.633,22.907,27.638,31.037
8,15.910,23.135,28.069,31.483
9,15.711,22.915,27.663,30.880
10,15.646,23.003,27.971,31.235
11,16.131,23.388,28.277,31.640
12,15.329,22.743,27.619,30.936
13,15.460,22.820,27.680,31.057
14,15.905,23.208,28.084,31.395
15,15.454,22.886,27.757,31.237
16,15.875,23.205,28.144,31.548
17,15.774,23.275,28.156,31.341
18,15.740,23.040,27.905,31.307
19,15.711,22.990,27.749,30.949
20,15.505,22.784,27.390,30.738
21,15.994,23.322,28.006,31.295
22,16.405,23.669,28.503,31.848
23,15.248,22.601,27.414,30.794
24,15.426,22.764,27.717,31.181
25,16.277,23.612,28.454,31.884
26,15.638,23.011,27.873,31.222
27,15.801,23.133,28.158,31.675
28,16.718,23.977,28.956,32.188
29,16.207,23.507,28.393,31.551
30,16.052,23.415,28.287,31.661
31,15.368,22.638,27.558,30.822
32,16.074,23.461,28.380,31.797
33,15.059,22.426,27.475,30.914
34,16.554,23.915,28.886,32.205
35,15.631,23.014,27.816,31.335
36,15.784,23.188,27.983,31.421
37,15.485,22.734,27.665,30.961
38,15.804,23.196,28.166,31.530
39,15.456,22.824,27.615,31.131
40,16.199,23.638,28.475,31.770
41,15.953,23.235,28.015,31.223
42,15.851,23.244,28.280,31.703
43,15.372,22.643,27.556,30.876
44,16.150,23.420,28.268,31.650
45,15.788,23.036,27.901,31.244
46,15.756,23.093,27.968,31.399
47,15.136,22.441,27.291,30.640
48,15.844,23.097,27.930,31.301
49,15.816,23.105,27.945,31.420
50,15.927,23.119,28.027,31.467
51,15.348,22.528,27.372,30.714
52,15.460,22.766,27.639,30.942
53,15.687,22.949,27.817,31.157
54,15.789,22.961,27.824,31.319
55,15.876,23.140,28.025,31.368
56,15.148,22.543,27.370,30.891
57,15.903,23.522,28.453,31.756
58,16.295,23.584,28.255,31.700
59,15.759,23.022,27.936,31.402
60,15.381,22.622,27.445,30.799
61,15.845,23.247,28.051,31.576
62,15.727,23.045,27.983,31.251
63,15.919,23.237,28.168,31.569
64,16.184,23.592,28.502,31.977
65,15.854,23.257,28.062,31.465
66,16.287,23.512,28.483,31.808
67,16.075,23.422,28.319,31.736
68,15.932,23.144,27.964,31.428
69,15.970,23.354,28.166,31.615
70,15.947,23.167,28.079,31.517
71,15.232,22.577,27.396,30.694
72,15.523,22.749,27.730,31.025
73,16.124,23.322,28.303,31.871
74,15.587,22.790,27.591,31.017
75,15.873,23.186,28.159,31.557
76,15.891,23.153,28.150,31.807
77,15.699,23.073,27.933,31.386
78,16.965,24.273,29.229,32.756
79,15.460,22.877,27.819,31.435
80,15.316,22.733,27.659,31.074
81,16.275,23.599,28.528,32.016
