lambda_idx,t_1_ms
0,10757.000
1,10686.000
2,10593.000
3,10862.000
4,10652.000
5,10393.000
6,11113.000
7,11219.000
8,11222.000
9,11050.000
10,10774.000
11,10884.000
12,10491.000
13,11251.000
14,11939.000
15,12787.000
16,13338.000
17,13108.000
18,12053.000
19,11429.000
20,11076.000
21,10928.000
22,10643.000
23,10668.000
24,10807.000
25,10829.000
26,10636.000
27,10649.000
28,10342.000
29,10808.000
30,10539.000
31,10646.000
32,10492.000
33,10744.000
34,10788.000
35,10349.000
36,11104.000
37,10708.000
38,10545.000
39,10508.000
40,10764.000
41,10543.000
42,10782.000
43,10659.000
44,10902.000
45,10821.000
46,11104.000
47,10758.000
48,10829.000
49,10602.000
50,10661.000
51,10720.000
52,10492.000
53,10727.000
54,10837.000
55,11259.000
56,11250.000
57,11077.000
58,10782.000
59,11048.000
60,10747.000
61,10741.000
62,10986.000
63,10838.000
64,10553.000
65,10815.000
66,10629.000
67,10575.000
68,10406.000
69,10586.000
70,10668.000
71,10656.000
72,10301.000
73,11009.000
74,10655.000
75,10629.000
76,10443.000
77,10486.000
78,10897.000
79,10371.000
80,10762.000
81,10748.000
82,10342.000
83,10605.000
84,10584.000
85,10546.000
86,10950.000
87,10390.000
88,10895.000
89,10721.000
90,10300.000
91,10424.000
92,10376.000
93,10521.000
94,11051.000
95,10206.000
96,10541.000
97,10726.000
98,10287.000
99,10379.000
100,10539.000
101,10616.000
102,10259.000
103,10564.000
104,10733.000
105,10789.000
106,10359.000
107,10700.000
108,10775.000
109,10487.000
110,10801.000
111,10513.000
112,10320.000
113,10836.000
114,10617.000
115,10803.000
116,10331.000
117,10644.000
118,10865.000
119,10443.000
120,10566.000
121,10310.000
122,10600.000
123,10573.000
124,10875.000
125,10534.000
126,10597.000
127,10808.000
128,10792.000
129,10552.000
130,10518.000
131,10383.000
132,10629.000
133,10446.000
134,10621.000
135,10493.000
136,10596.000
137,10684.000
138,10695.000
139,10687.000
140,10291.000
141,10527.000
142,10726.000
143,10589.000
144,10405.000
145,10365.000
146,10726.000
147,10405.000
148,10353.000
149,10164.000
150,10656.000
151,10317.000
152,10430.000
153,10518.000
154,10090.000
155,10717.000
156,10305.000
157,10496.000
158,10605.000
159,10755.000
160,10603.000
161,10799.000
162,10835.000
163,10856.000
164,10698.000
165,10436.000
166,10592.000
167,10862.000
168,10525.000
169,10834.000
170,10586.000
171,10694.000
172,10357.000
173,10725.000
174,10293.000
175,10706.000
176,10299.000
177,10808.000
178,10585.000
179,10389.000
180,10059.000
181,10897.000
182,10877.000
183,10883.000
184,10674.000
185,10702.000
186,10555.000
187,10579.000
188,10543.000
189,10520.000
190,10377.000
191,10720.000
192,10725.000
193,10683.000
194,10495.000
195,10400.000
196,10468.000
197,10807.000
198,10948.000
199,10359.000
200,10056.000
201,10715.000
202,10721.000
203,10555.000
204,10773.000
205,10676.000
206,10584.000
207,10497.000
208,10626.000
209,10515.000
210,10599.000
211,10593.000
212,10695.000
213,10655.000
214,10609.000
215,10783.000
216,10639.000
217,10859.000
218,10424.000
219,10613.000
220,10676.000
221,10282.000
222,10508.000
223,10544.000
224,10613.000
225,10324.000
226,10568.000
227,10598.000
228,10350.000
229,10642.000
230,10663.000
231,10552.000
232,10390.000
233,10259.000
234,10348.000
235,10572.000
236,10233.000
237,10410.000
238,10568.000
239,10990.000
240,10417.000
241,10848.000
242,10545.000
243,10469.000
244,10498.000
245,10397.000
246,10343.000
247,10276.000
248,10570.000
249,10513.000
250,10263.000
251,10534.000
252,10512.000
253,10207.000
254,10630.000
255,10772.000
256,10310.000
257,10416.000
258,10381.000
259,10581.000
260,10641.000
261,10136.000
262,10637.000
263,10221.000
264,10405.000
265,10386.000
266,10384.000
267,10207.000
268,10683.000
269,10326.000
270,10552.000
271,10297.000
272,10557.000
273,10401.000
274,10362.000
275,10372.000
276,10528.000
277,10806.000
278,10382.000
279,10770.000
280,10315.000
281,10693.000
282,10108.000
283,10561.000
284,10581.000
285,10491.000
286,10380.000
287,10325.000
288,10527.000
289,10503.000
290,10208.000
291,10350.000
292,10177.000
293,10612.000
294,10551.000
295,10384.000
296,10235.000
297,10689.000
298,10529.000
299,10631.000
300,10549.000
