lambda_idx,t_1_ms
0,10639.000
1,10662.000
2,10428.000
3,10744.000
4,10545.000
5,10256.000
6,10942.000
7,10891.000
8,10793.000
9,10748.000
10,10652.000
11,10691.000
12,10285.000
13,10650.000
14,10769.000
15,10733.000
16,11044.000
17,11196.000
18,10966.000
19,10794.000
20,10714.000
21,10734.000
22,10545.000
23,10584.000
24,10721.000
25,10726.000
26,10656.000
27,10542.000
28,10328.000
29,10719.000
30,10388.000
31,10447.000
32,10321.000
33,10562.000
34,10646.000
35,10223.000
36,10992.000
37,10669.000
38,10489.000
39,10430.000
40,10728.000
41,10475.000
42,10693.000
43,10501.000
44,10689.000
45,10709.000
46,10954.000
47,10602.000
48,10667.000
49,10414.000
50,10544.000
51,10655.000
52,10408.000
53,10612.000
54,10492.000
55,10490.000
56,10413.000
57,10597.000
58,10555.000
59,10868.000
60,10621.000
61,10650.000
62,10855.000
63,10807.000
64,10520.000
65,10810.000
66,10634.000
67,10494.000
68,10305.000
69,10560.000
70,10627.000
71,10612.000
72,10259.000
73,10936.000
74,10647.000
75,10618.000
76,10442.000
77,10434.000
78,10917.000
79,10377.000
80,10780.000
81,10705.000
82,10234.000
83,10567.000
84,10577.000
85,10533.000
86,10862.000
87,10322.000
88,10809.000
89,10628.000
90,10235.000
91,10359.000
92,10336.000
93,10448.000
94,11049.000
95,10264.000
96,10545.000
97,10666.000
98,10192.000
99,10328.000
100,10447.000
101,10593.000
102,10224.000
103,10521.000
104,10680.000
105,10789.000
106,10307.000
107,10677.000
108,10736.000
109,10489.000
110,10743.000
111,10443.000
112,10247.000
113,10800.000
114,10572.000
115,10699.000
116,10297.000
117,10638.000
118,10825.000
119,10511.000
120,10551.000
121,10269.000
122,10546.000
123,10567.000
124,10812.000
125,10532.000
126,10535.000
127,10715.000
128,10766.000
129,10506.000
130,10485.000
131,10327.000
132,10606.000
133,10415.000
134,10652.000
135,10474.000
136,10581.000
137,10660.000
138,10638.000
139,10641.000
140,10325.000
141,10518.000
142,10715.000
143,10576.000
144,10403.000
145,10302.000
146,10682.000
147,10349.000
148,10292.000
149,10137.000
150,10634.000
151,10245.000
152,10420.000
153,10489.000
154,10059.000
155,10680.000
156,10169.000
157,10412.000
158,10547.000
159,10745.000
160,10518.000
161,10797.000
162,10812.000
163,10794.000
164,10695.000
165,10329.000
166,10544.000
167,10804.000
168,10406.000
169,10625.000
170,10492.000
171,10610.000
172,10278.000
173,10692.000
174,10370.000
175,10651.000
176,10348.000
177,10741.000
178,10517.000
179,10393.000
180,10003.000
181,10861.000
182,10645.000
183,10579.000
184,10340.000
185,10555.000
186,10524.000
187,10533.000
188,10476.000
189,10487.000
190,10340.000
191,10636.000
192,10549.000
193,10634.000
194,10444.000
195,10341.000
196,10384.000
197,10784.000
198,10868.000
199,10361.000
200,10070.000
201,10668.000
202,10732.000
203,10598.000
204,10703.000
205,10661.000
206,10592.000
207,10449.000
208,10568.000
209,10500.000
210,10573.000
211,10534.000
212,10590.000
213,10598.000
214,10583.000
215,10674.000
216,10568.000
217,10850.000
218,10393.000
219,10624.000
220,10656.000
221,10215.000
222,10401.000
223,10451.000
224,10607.000
225,10306.000
226,10561.000
227,10548.000
228,10349.000
229,10645.000
230,10611.000
231,10581.000
232,10340.000
233,10205.000
234,10350.000
235,10576.000
236,10166.000
237,10386.000
238,10516.000
239,10948.000
240,10370.000
241,10836.000
242,10539.000
243,10424.000
244,10499.000
245,10354.000
246,10365.000
247,10233.000
248,10581.000
249,10526.000
250,10232.000
251,10513.000
252,10520.000
253,10190.000
254,10612.000
255,10798.000
256,10292.000
257,10378.000
258,10374.000
259,10505.000
260,10635.000
261,10162.000
262,10577.000
263,10193.000
264,10376.000
265,10390.000
266,10386.000
267,10151.000
268,10649.000
269,10254.000
270,10530.000
271,10242.000
272,10552.000
273,10391.000
274,10334.000
275,10388.000
276,10474.000
277,10790.000
278,10355.000
279,10809.000
280,10295.000
281,10595.000
282,10064.000
283,10587.000
284,10545.000
285,10459.000
286,10329.000
287,10267.000
288,10495.000
289,10540.000
290,10200.000
291,10352.000
292,10207.000
293,10594.000
294,10543.000
295,10364.000
296,10231.000
297,10719.000
298,10501.000
299,10650.000
300,10562.000
