lambda_idx,t_1_ms
0,10378.000
1,10305.000
2,10177.000
3,10465.000
4,10298.000
5,9940.000
6,10629.000
7,10613.000
8,10556.000
9,10463.000
10,10334.000
11,10432.000
12,9942.000
13,10362.000
14,10350.000
15,10252.000
16,10478.000
17,10783.000
18,10573.000
19,10506.000
20,10363.000
21,10440.000
22,10270.000
23,10313.000
24,10508.000
25,10448.000
26,10380.000
27,10394.000
28,10085.000
29,10502.000
30,10157.000
31,10198.000
32,10078.000
33,10372.000
34,10415.000
35,9986.000
36,10780.000
37,10422.000
38,10301.000
39,10207.000
40,10443.000
41,10211.000
42,10351.000
43,10220.000
44,10429.000
45,10367.000
46,10632.000
47,10314.000
48,10337.000
49,10120.000
50,10253.000
51,10438.000
52,10153.000
53,10352.000
54,10296.000
55,10270.000
56,10147.000
57,10386.000
58,10285.000
59,10585.000
60,10390.000
61,10326.000
62,10580.000
63,10511.000
64,10265.000
65,10505.000
66,10382.000
67,10253.000
68,10091.000
69,10360.000
70,10411.000
71,10366.000
72,9990.000
73,10715.000
74,10350.000
75,10357.000
76,10203.000
77,10206.000
78,10630.000
79,10094.000
80,10522.000
81,10494.000
82,10009.000
83,10308.000
84,10305.000
85,10244.000
86,10640.000
87,10072.000
88,10543.000
89,10376.000
90,10010.000
91,10098.000
92,10137.000
93,10260.000
94,10765.000
95,9986.000
96,10343.000
97,10436.000
98,9959.000
99,10124.000
100,10214.000
101,10292.000
102,9955.000
103,10270.000
104,10420.000
105,10529.000
106,10062.000
107,10486.000
108,10470.000
109,10272.000
110,10529.000
111,10190.000
112,10056.000
113,10591.000
114,10294.000
115,10484.000
116,10046.000
117,10365.000
118,10564.000
119,10224.000
120,10327.000
121,10060.000
122,10272.000
123,10317.000
124,10600.000
125,10267.000
126,10348.000
127,10456.000
128,10523.000
129,10264.000
130,10248.000
131,10089.000
132,10373.000
133,10172.000
134,10394.000
135,10170.000
136,10342.000
137,10388.000
138,10380.000
139,10386.000
140,10046.000
141,10233.000
142,10407.000
143,10255.000
144,10171.000
145,10051.000
146,10503.000
147,10096.000
148,10109.000
149,9947.000
150,10384.000
151,10039.000
152,10126.000
153,10203.000
154,9817.000
155,10355.000
156,9997.000
157,10171.000
158,10309.000
159,10461.000
160,10297.000
161,10559.000
162,10563.000
163,10555.000
164,10442.000
165,10042.000
166,10245.000
167,10486.000
168,10127.000
169,10329.000
170,10193.000
171,10341.000
172,10066.000
173,10407.000
174,10022.000
175,10435.000
176,10062.000
177,10536.000
178,10335.000
179,10146.000
180,9711.000
181,10568.000
182,10449.000
183,10292.000
184,10081.000
185,10223.000
186,10224.000
187,10276.000
188,10244.000
189,10239.000
190,10099.000
191,10388.000
192,10338.000
193,10378.000
194,10229.000
195,10068.000
196,10192.000
197,10550.000
198,10646.000
199,10172.000
200,9819.000
201,10407.000
202,10435.000
203,10314.000
204,10451.000
205,10427.000
206,10394.000
207,10252.000
208,10336.000
209,10229.000
210,10298.000
211,10349.000
212,10369.000
213,10388.000
214,10303.000
215,10427.000
216,10352.000
217,10630.000
218,10150.000
219,10345.000
220,10428.000
221,9965.000
222,10161.000
223,10278.000
224,10268.000
225,10085.000
226,10305.000
227,10331.000
228,10150.000
229,10462.000
230,10335.000
231,10341.000
232,10120.000
233,9958.000
234,10057.000
235,10226.000
236,10010.000
237,10130.000
238,10257.000
239,10693.000
240,10195.000
241,10602.000
242,10312.000
243,10177.000
244,10218.000
245,10126.000
246,10084.000
247,9945.000
248,10338.000
249,10265.000
250,9992.000
251,10287.000
252,10327.000
253,9928.000
254,10388.000
255,10519.000
256,10022.000
257,10183.000
258,10114.000
259,10256.000
260,10347.000
261,9939.000
262,10352.000
263,9904.000
264,10070.000
265,10140.000
266,10161.000
267,9924.000
268,10440.000
269,10022.000
270,10302.000
271,10052.000
272,10331.000
273,10210.000
274,10147.000
275,10155.000
276,10204.000
277,10547.000
278,10144.000
279,10575.000
280,10029.000
281,10380.000
282,9849.000
283,10342.000
284,10343.000
285,10252.000
286,10118.000
287,10108.000
288,10291.000
289,10252.000
290,9966.000
291,10107.000
292,9980.000
293,10330.000
294,10306.000
295,10131.000
296,9954.000
297,10522.000
298,10237.000
299,10368.000
300,10329.000
