lambda_idx,t_1_ms
0,10701.000
1,10582.000
2,10526.000
3,10793.000
4,10591.000
5,10347.000
6,11012.000
7,11100.000
8,11048.000
9,10942.000
10,10717.000
11,10831.000
12,10396.000
13,11004.000
14,11454.000
15,12223.000
16,12595.000
17,12126.000
18,11428.000
19,11027.000
20,10838.000
21,10783.000
22,10567.000
23,10615.000
24,10811.000
25,10790.000
26,10645.000
27,10608.000
28,10357.000
29,10795.000
30,10450.000
31,10503.000
32,10376.000
33,10692.000
34,10684.000
35,10253.000
36,11047.000
37,10675.000
38,10613.000
39,10487.000
40,10671.000
41,10513.000
42,10666.000
43,10477.000
44,10739.000
45,10673.000
46,11005.000
47,10663.000
48,10653.000
49,10420.000
50,10508.000
51,10661.000
52,10416.000
53,10613.000
54,10546.000
55,10535.000
56,10474.000
57,10716.000
58,10617.000
59,10897.000
60,10612.000
61,10632.000
62,10875.000
63,10856.000
64,10567.000
65,10777.000
66,10655.000
67,10506.000
68,10331.000
69,10543.000
70,10643.000
71,10598.000
72,10208.000
73,10990.000
74,10687.000
75,10612.000
76,10448.000
77,10505.000
78,10863.000
79,10266.000
80,10760.000
81,10760.000
82,10240.000
83,10604.000
84,10587.000
85,10517.000
86,10946.000
87,10352.000
88,10870.000
89,10696.000
90,10258.000
91,10430.000
92,10368.000
93,10509.000
94,11036.000
95,10272.000
96,10570.000
97,10671.000
98,10278.000
99,10365.000
100,10475.000
101,10701.000
102,10242.000
103,10567.000
104,10706.000
105,10787.000
106,10354.000
107,10679.000
108,10709.000
109,10501.000
110,10768.000
111,10506.000
112,10291.000
113,10780.000
114,10524.000
115,10755.000
116,10357.000
117,10638.000
118,10806.000
119,10508.000
120,10594.000
121,10295.000
122,10559.000
123,10616.000
124,10869.000
125,10568.000
126,10582.000
127,10748.000
128,10809.000
129,10521.000
130,10465.000
131,10355.000
132,10597.000
133,10441.000
134,10653.000
135,10472.000
136,10631.000
137,10692.000
138,10723.000
139,10683.000
140,10288.000
141,10521.000
142,10726.000
143,10530.000
144,10402.000
145,10343.000
146,10713.000
147,10375.000
148,10323.000
149,10145.000
150,10623.000
151,10265.000
152,10409.000
153,10475.000
154,10094.000
155,10658.000
156,10192.000
157,10430.000
158,10532.000
159,10703.000
160,10583.000
161,10822.000
162,10795.000
163,10800.000
164,10754.000
165,10326.000
166,10607.000
167,10828.000
168,10418.000
169,10601.000
170,10466.000
171,10676.000
172,10278.000
173,10637.000
174,10363.000
175,10692.000
176,10322.000
177,10755.000
178,10568.000
179,10423.000
180,10026.000
181,10817.000
182,10708.000
183,10640.000
184,10464.000
185,10586.000
186,10436.000
187,10582.000
188,10466.000
189,10506.000
190,10369.000
191,10597.000
192,10585.000
193,10644.000
194,10454.000
195,10397.000
196,10460.000
197,10799.000
198,10949.000
199,10392.000
200,10048.000
201,10664.000
202,10749.000
203,10543.000
204,10767.000
205,10683.000
206,10571.000
207,10524.000
208,10575.000
209,10513.000
210,10558.000
211,10621.000
212,10577.000
213,10619.000
214,10534.000
215,10710.000
216,10618.000
217,10868.000
218,10423.000
219,10595.000
220,10686.000
221,10316.000
222,10475.000
223,10537.000
224,10583.000
225,10332.000
226,10569.000
227,10587.000
228,10358.000
229,10638.000
230,10662.000
231,10552.000
232,10383.000
233,10232.000
234,10320.000
235,10595.000
236,10272.000
237,10379.000
238,10503.000
239,10954.000
240,10430.000
241,10799.000
242,10587.000
243,10413.000
244,10438.000
245,10368.000
246,10341.000
247,10308.000
248,10582.000
249,10494.000
250,10251.000
251,10498.000
252,10541.000
253,10233.000
254,10568.000
255,10887.000
256,10307.000
257,10435.000
258,10407.000
259,10533.000
260,10607.000
261,10181.000
262,10616.000
263,10171.000
264,10411.000
265,10403.000
266,10387.000
267,10191.000
268,10690.000
269,10302.000
270,10600.000
271,10360.000
272,10573.000
273,10479.000
274,10360.000
275,10428.000
276,10497.000
277,10832.000
278,10420.000
279,10831.000
280,10308.000
281,10645.000
282,10035.000
283,10587.000
284,10572.000
285,10414.000
286,10359.000
287,10251.000
288,10540.000
289,10540.000
290,10230.000
291,10369.000
292,10191.000
293,10563.000
294,10600.000
295,10325.000
296,10276.000
297,10719.000
298,10474.000
299,10728.000
300,10570.000
