lambda_idx,t_1_ms
0,10793.000
1,10756.000
2,10622.000
3,10872.000
4,10697.000
5,10373.000
6,11011.000
7,10994.000
8,10915.000
9,10860.000
10,10674.000
11,10740.000
12,10254.000
13,10717.000
14,10750.000
15,10789.000
16,11119.000
17,11363.000
18,11031.000
19,10947.000
20,10860.000
21,10840.000
22,10584.000
23,10642.000
24,10807.000
25,10771.000
26,10650.000
27,10680.000
28,10299.000
29,10717.000
30,10439.000
31,10507.000
32,10391.000
33,10682.000
34,10714.000
35,10248.000
36,11057.000
37,10720.000
38,10521.000
39,10422.000
40,10717.000
41,10545.000
42,10711.000
43,10636.000
44,10908.000
45,11119.000
46,11915.000
47,11293.000
48,10969.000
49,10601.000
50,10609.000
51,10705.000
52,10440.000
53,10627.000
54,10539.000
55,10576.000
56,10478.000
57,10668.000
58,10600.000
59,10936.000
60,10695.000
61,10678.000
62,10876.000
63,10792.000
64,10556.000
65,10714.000
66,10573.000
67,10555.000
68,10357.000
69,10662.000
70,10695.000
71,10678.000
72,10276.000
73,11058.000
74,10707.000
75,10676.000
76,10518.000
77,10459.000
78,10887.000
79,10341.000
80,10747.000
81,10693.000
82,10264.000
83,10587.000
84,10548.000
85,10534.000
86,10918.000
87,10382.000
88,10898.000
89,10631.000
90,10232.000
91,10375.000
92,10312.000
93,10491.000
94,10969.000
95,10230.000
96,10509.000
97,10767.000
98,10259.000
99,10436.000
100,10569.000
101,10735.000
102,10267.000
103,10553.000
104,10691.000
105,10738.000
106,10357.000
107,10706.000
108,10738.000
109,10550.000
110,10783.000
111,10529.000
112,10375.000
113,10807.000
114,10575.000
115,10757.000
116,10319.000
117,10621.000
118,10879.000
119,10498.000
120,10544.000
121,10281.000
122,10559.000
123,10541.000
124,10869.000
125,10544.000
126,10576.000
127,10757.000
128,10780.000
129,10547.000
130,10559.000
131,10324.000
132,10517.000
133,10447.000
134,10636.000
135,10477.000
136,10594.000
137,10740.000
138,10678.000
139,10707.000
140,10279.000
141,10545.000
142,10705.000
143,10554.000
144,10405.000
145,10351.000
146,10732.000
147,10367.000
148,10327.000
149,10163.000
150,10669.000
151,10238.000
152,10396.000
153,10468.000
154,10130.000
155,10645.000
156,10216.000
157,10415.000
158,10565.000
159,10688.000
160,10524.000
161,10762.000
162,10833.000
163,10752.000
164,10680.000
165,10355.000
166,10489.000
167,10769.000
168,10452.000
169,10727.000
170,10539.000
171,10667.000
172,10312.000
173,10619.000
174,10303.000
175,10693.000
176,10324.000
177,10740.000
178,10609.000
179,10336.000
180,9940.000
181,10803.000
182,10698.000
183,10596.000
184,10348.000
185,10576.000
186,10534.000
187,10570.000
188,10478.000
189,10534.000
190,10360.000
191,10668.000
192,10655.000
193,10700.000
194,10506.000
195,10377.000
196,10506.000
197,10805.000
198,10895.000
199,10387.000
200,10019.000
201,10631.000
202,10701.000
203,10622.000
204,10782.000
205,10693.000
206,10579.000
207,10516.000
208,10585.000
209,10505.000
210,10540.000
211,10580.000
212,10598.000
213,10615.000
214,10553.000
215,10696.000
216,10575.000
217,10843.000
218,10354.000
219,10543.000
220,10566.000
221,10246.000
222,10457.000
223,10523.000
224,10593.000
225,10354.000
226,10589.000
227,10520.000
228,10367.000
229,10667.000
230,10619.000
231,10539.000
232,10380.000
233,10237.000
234,10363.000
235,10596.000
236,10174.000
237,10422.000
238,10521.000
239,10983.000
240,10369.000
241,10837.000
242,10527.000
243,10416.000
244,10488.000
245,10374.000
246,10317.000
247,10249.000
248,10583.000
249,10544.000
250,10293.000
251,10495.000
252,10513.000
253,10193.000
254,10603.000
255,10752.000
256,10268.000
257,10412.000
258,10421.000
259,10585.000
260,10615.000
261,10144.000
262,10636.000
263,10143.000
264,10352.000
265,10389.000
266,10432.000
267,10174.000
268,10651.000
269,10269.000
270,10553.000
271,10312.000
272,10568.000
273,10414.000
274,10353.000
275,10398.000
276,10444.000
277,10776.000
278,10391.000
279,10804.000
280,10256.000
281,10567.000
282,10049.000
283,10547.000
284,10529.000
285,10432.000
286,10272.000
287,10295.000
288,10559.000
289,10458.000
290,10202.000
291,10331.000
292,10188.000
293,10572.000
294,10592.000
295,10367.000
296,10282.000
297,10726.000
298,10491.000
299,10641.000
300,10556.000
