lambda_idx,t_1_ms
0,10746.000
1,10717.000
2,10626.000
3,10873.000
4,10641.000
5,10348.000
6,11085.000
7,11061.000
8,10996.000
9,10878.000
10,10821.000
11,10871.000
12,10344.000
13,10914.000
14,11194.000
15,11821.000
16,12392.000
17,11926.000
18,11369.000
19,11091.000
20,10879.000
21,10922.000
22,10689.000
23,10683.000
24,10788.000
25,10813.000
26,10673.000
27,10665.000
28,10339.000
29,10848.000
30,10578.000
31,10594.000
32,10468.000
33,10763.000
34,10855.000
35,10381.000
36,11203.000
37,10755.000
38,10613.000
39,10589.000
40,10785.000
41,10629.000
42,10849.000
43,10670.000
44,10885.000
45,10850.000
46,11150.000
47,10850.000
48,10828.000
49,10608.000
50,10667.000
51,10722.000
52,10487.000
53,10769.000
54,10779.000
55,10994.000
56,11072.000
57,11016.000
58,10826.000
59,11082.000
60,10808.000
61,10866.000
62,11043.000
63,10884.000
64,10624.000
65,10877.000
66,10640.000
67,10564.000
68,10412.000
69,10686.000
70,10706.000
71,10742.000
72,10375.000
73,11032.000
74,10749.000
75,10710.000
76,10558.000
77,10478.000
78,10917.000
79,10410.000
80,10862.000
81,10835.000
82,10390.000
83,10748.000
84,10725.000
85,10667.000
86,11046.000
87,10539.000
88,11091.000
89,10853.000
90,10333.000
91,10542.000
92,10401.000
93,10572.000
94,11068.000
95,10358.000
96,10657.000
97,10759.000
98,10337.000
99,10491.000
100,10638.000
101,10846.000
102,10326.000
103,10621.000
104,10769.000
105,10827.000
106,10413.000
107,10708.000
108,10755.000
109,10585.000
110,10930.000
111,10606.000
112,10413.000
113,10951.000
114,10716.000
115,11028.000
116,10581.000
117,10811.000
118,10915.000
119,10531.000
120,10630.000
121,10373.000
122,10582.000
123,10706.000
124,10921.000
125,10653.000
126,10718.000
127,10865.000
128,10975.000
129,10627.000
130,10621.000
131,10459.000
132,10667.000
133,10545.000
134,10739.000
135,10501.000
136,10629.000
137,10701.000
138,10699.000
139,10828.000
140,10439.000
141,10637.000
142,10872.000
143,10682.000
144,10470.000
145,10386.000
146,10783.000
147,10385.000
148,10365.000
149,10233.000
150,10710.000
151,10354.000
152,10460.000
153,10579.000
154,10159.000
155,10709.000
156,10342.000
157,10505.000
158,10613.000
159,10736.000
160,10603.000
161,10884.000
162,10860.000
163,10850.000
164,10719.000
165,10391.000
166,10647.000
167,10873.000
168,10648.000
169,10927.000
170,10682.000
171,10732.000
172,10394.000
173,10722.000
174,10332.000
175,10747.000
176,10336.000
177,10849.000
178,10682.000
179,10453.000
180,10103.000
181,10987.000
182,10988.000
183,11113.000
184,11087.000
185,10907.000
186,10676.000
187,10699.000
188,10663.000
189,10686.000
190,10614.000
191,11045.000
192,10973.000
193,10949.000
194,10636.000
195,10516.000
196,10565.000
197,10888.000
198,10978.000
199,10417.000
200,10109.000
201,10698.000
202,10781.000
203,10610.000
204,10777.000
205,10711.000
206,10672.000
207,10591.000
208,10679.000
209,10487.000
210,10632.000
211,10615.000
212,10686.000
213,10640.000
214,10590.000
215,10738.000
216,10605.000
217,10878.000
218,10426.000
219,10572.000
220,10705.000
221,10259.000
222,10530.000
223,10588.000
224,10617.000
225,10407.000
226,10596.000
227,10626.000
228,10422.000
229,10730.000
230,10632.000
231,10639.000
232,10422.000
233,10325.000
234,10390.000
235,10665.000
236,10289.000
237,10456.000
238,10575.000
239,10980.000
240,10506.000
241,10891.000
242,10601.000
243,10475.000
244,10528.000
245,10422.000
246,10354.000
247,10344.000
248,10586.000
249,10556.000
250,10329.000
251,10554.000
252,10590.000
253,10244.000
254,10676.000
255,10819.000
256,10381.000
257,10451.000
258,10426.000
259,10644.000
260,10667.000
261,10210.000
262,10698.000
263,10219.000
264,10410.000
265,10396.000
266,10443.000
267,10248.000
268,10726.000
269,10355.000
270,10632.000
271,10309.000
272,10614.000
273,10516.000
274,10401.000
275,10420.000
276,10535.000
277,10850.000
278,10517.000
279,10824.000
280,10339.000
281,10734.000
282,10135.000
283,10571.000
284,10600.000
285,10448.000
286,10321.000
287,10310.000
288,10613.000
289,10595.000
290,10245.000
291,10376.000
292,10203.000
293,10619.000
294,10600.000
295,10393.000
296,10302.000
297,10767.000
298,10576.000
299,10703.000
300,10612.000
