lambda_idx,t_1_ms,t_2_ms,t_3_ms
639,15.766,22.333,27.517
640,15.493,21.881,26.612
641,15.900,22.303,27.100
642,15.229,21.657,26.333
643,15.453,21.896,26.572
644,14.940,21.826,26.423
645,14.990,21.617,26.488
646,14.801,21.547,26.219
647,15.363,22.010,26.567
648,15.144,21.831,26.607
649,14.851,21.711,26.418
650,15.109,21.667,26.751
651,14.662,21.279,26.154
652,15.572,22.269,27.075
653,15.080,21.746,26.662
654,16.060,22.373,27.234
655,14.617,21.358,26.075
656,15.428,22.119,26.637
657,15.134,21.851,26.766
658,15.562,22.199,26.851
659,15.572,21.970,26.532
660,15.935,22.502,27.289
661,16.353,22.900,27.507
662,14.980,21.512,26.448
663,15.517,21.925,27.080
664,16.199,22.866,27.682
665,15.154,21.930,26.592
666,14.761,21.393,26.383
667,15.776,22.328,27.129
668,15.065,21.647,26.348
669,15.129,21.443,26.393
670,15.144,21.552,26.607
671,16.035,22.542,27.373
672,15.234,21.517,26.368
673,15.204,21.781,26.383
674,15.254,21.950,26.711
675,15.622,22.219,26.876
676,15.701,22.249,27.239
677,15.925,22.741,27.303
678,14.632,21.169,25.935
679,15.373,21.836,26.861
680,15.692,22.179,27.299
681,15.776,22.338,27.199
682,15.532,22.134,26.935
683,14.985,21.512,26.169
684,15.303,21.766,26.478
685,15.741,22.433,27.557
686,15.289,21.816,26.667
687,15.502,21.801,26.572
688,15.821,22.264,27.020
689,15.597,22.134,26.697
690,15.662,22.299,27.149
691,15.164,21.736,26.582
692,14.826,21.602,26.383
693,15.527,22.259,27.348
694,15.378,22.020,27.010
695,15.358,21.940,26.846
696,15.607,22.224,27.274
697,15.741,22.184,27.124
698,15.871,22.617,27.075
699,16.532,23.095,27.846
700,14.766,21.562,26.338
701,15.144,21.647,26.891
702,15.299,21.876,26.900
703,15.294,21.831,26.915
704,15.776,22.249,27.129
705,15.900,22.527,27.542
706,14.721,21.448,26.378
707,15.483,22.005,26.975
708,15.896,22.398,27.090
709,15.527,21.965,26.582
710,15.458,21.935,26.677
711,16.010,22.522,27.383
712,15.020,21.647,26.408
713,15.453,22.030,26.816
714,15.801,22.279,27.239
715,15.224,21.841,26.731
716,15.726,22.239,27.209
717,15.652,22.353,27.169
718,15.498,22.035,27.095
719,15.597,22.065,26.637
720,15.274,21.726,26.557
721,15.871,22.408,27.214
722,16.318,22.687,27.493
723,15.050,21.642,26.388
724,15.318,21.637,26.647
725,16.065,22.896,27.652
726,15.408,22.134,27.259
727,15.622,22.060,26.876
728,16.488,23.095,28.025
729,16.100,22.577,27.463
730,15.886,22.403,27.224
731,15.299,21.955,26.776
732,15.935,22.766,27.572
733,14.990,21.532,26.363
734,16.413,23.090,28.184
735,15.507,22.060,26.955
736,15.557,22.184,27.164
737,15.343,21.841,26.881
738,15.781,22.318,27.134
739,15.443,22.149,27.184
740,16.045,22.617,27.413
741,15.905,22.537,27.164
742,15.547,22.264,27.269
743,15.149,21.697,26.716
744,15.990,22.438,27.413
745,15.473,22.149,27.050
746,15.517,22.194,27.219
747,15.075,21.716,26.756
748,15.761,22.393,27.547
749,15.567,22.179,26.990
750,15.905,22.418,27.269
751,15.194,21.721,26.607
752,15.279,21.731,26.886
753,15.483,22.199,27.209
754,15.612,22.274,27.264
755,15.667,22.428,27.448
756,15.075,21.766,26.766
757,15.831,22.871,27.881
758,16.204,22.891,27.632
759,15.632,22.284,27.080
760,15.299,21.960,26.796
761,15.766,22.468,27.617
762,15.627,22.343,27.294
763,15.896,23.000,27.846
764,15.940,22.672,27.806
765,15.766,22.363,27.144
766,16.109,22.706,27.622
767,15.940,22.617,27.741
768,15.751,22.169,27.313
769,15.711,22.532,27.473
770,15.796,22.627,27.587
771,15.040,21.886,26.915
772,15.473,22.259,26.935
773,15.900,22.502,27.473
774,15.428,21.821,26.866
775,15.677,22.498,27.498
776,15.587,22.294,27.254
777,15.657,22.119,27.114
778,16.866,23.438,28.532
779,15.463,22.035,27.100
780,15.264,22.025,27.090
781,16.055,22.572,27.721
782,15.144,21.950,26.935
783,15.796,22.547,27.209
784,15.453,22.363,27.398
785,15.085,21.771,26.662
786,15.010,21.711,26.697
787,16.378,23.174,27.990
788,14.811,21.756,26.662
789,15.995,22.871,27.896
790,15.204,22.672,28.000
791,15.642,22.766,28.020
792,15.697,22.801,28.124
793,16.328,23.368,28.677
794,15.597,22.682,28.408
795,15.547,22.866,28.358
796,15.418,23.095,28.796
797,15.313,22.816,28.100
798,15.478,22.886,28.662
799,15.433,23.254,29.159
800,16.040,24.483,30.522
801,16.274,24.915,31.438
802,16.542,25.990,33.040
803,17.015,27.930,36.005
804,17.403,30.413,40.662
805,17.552,34.517,47.124
806,19.657,40.697,57.413
807,21.204,48.507,68.602
808,22.343,55.756,76.507
809,23.806,61.279,82.294
810,23.706,62.950,84.035
811,23.627,61.323,83.104
812,23.771,59.443,79.896
813,23.154,58.891,78.950
814,23.836,60.577,80.975
815,25.060,63.169,83.532
816,24.562,65.313,85.801
817,25.055,68.950,89.274
818,25.060,70.264,90.090
819,23.328,62.776,85.219
820,21.239,53.876,76.672
821,19.632,44.398,63.990
822,17.975,35.134,48.483
823,16.905,29.328,38.667
824,16.264,26.199,33.323
825,16.055,24.124,30.388
826,15.662,23.542,29.458
827,16.100,23.383,29.100
828,15.920,23.328,28.920
829,15.896,23.020,28.423
830,15.537,22.866,28.070
831,16.134,23.259,28.602
832,15.338,22.517,28.129
833,16.751,23.881,29.124
834,16.065,23.159,28.299
835,15.871,22.716,27.995
836,15.741,22.891,28.209
837,15.741,22.896,28.139
838,15.950,22.811,28.294
839,16.164,23.134,28.149
840,15.925,22.905,28.065
841,15.771,22.567,27.577
842,16.348,23.149,28.353
843,15.313,22.159,27.358
844,16.299,23.284,28.358
845,15.413,22.373,27.368
846,16.378,22.925,28.184
847,15.731,22.687,27.766
848,15.607,22.557,27.547
849,15.831,22.836,27.701
850,15.716,22.498,27.547
851,15.955,22.642,27.701
852,15.358,22.204,27.134
853,15.811,22.687,28.015
854,15.955,22.612,27.592
855,15.751,22.532,27.662
856,15.896,22.876,27.846
857,15.398,22.478,27.448
858,15.045,21.970,27.070
859,15.602,22.249,27.279
860,15.025,21.532,26.537
861,15.254,21.612,26.851
862,15.622,22.423,27.214
863,15.612,22.328,27.289
864,15.398,22.080,27.015
865,15.781,22.552,27.612
866,15.040,21.751,26.871
867,15.950,22.448,27.353
868,15.388,21.811,26.786
869,15.826,22.328,27.567
870,15.453,21.975,27.020
871,15.826,22.478,27.602
872,15.438,22.184,27.085
873,15.687,22.214,27.085
874,16.244,22.677,27.612
875,15.318,22.075,27.020
876,15.841,22.418,27.493
877,15.065,21.741,26.642
878,16.060,22.617,27.612
879,15.383,22.229,27.274
880,16.224,22.861,27.896
881,15.129,21.851,26.856
882,16.333,22.925,27.721
883,16.204,22.816,27.592
884,15.090,21.761,26.507
885,15.925,22.627,27.463
886,15.597,22.378,27.289
887,16.547,22.915,27.871
888,15.537,21.995,27.030
889,15.831,22.413,27.388
890,15.418,22.259,27.159
891,16.527,23.169,28.323
892,16.353,23.328,28.035
893,15.796,22.313,27.254
894,15.587,22.239,27.149
895,15.766,22.279,27.134
896,16.075,22.557,27.328
897,15.607,22.204,27.035
898,15.378,22.060,27.129
899,15.204,21.816,27.020
900,16.179,22.930,27.915
901,15.721,22.433,27.348
902,15.095,22.095,27.358
903,15.701,22.552,27.378
904,15.343,21.915,27.214
905,15.025,21.801,26.965
906,14.995,21.816,26.721
907,15.886,22.398,27.264
908,16.368,23.035,28.035
909,16.075,22.652,27.493
910,15.821,22.463,27.498
911,15.179,21.851,26.910
912,15.343,22.020,26.985
913,15.577,22.249,27.055
914,15.124,21.756,26.761
915,15.995,22.572,27.761
916,16.652,23.169,28.358
917,15.234,21.900,26.841
918,15.080,21.856,26.751
919,15.945,22.682,27.796
920,15.468,22.045,27.294
921,15.393,21.975,26.995
922,14.925,21.776,26.896
923,15.706,22.318,27.299
924,15.284,21.940,26.985
925,15.075,21.746,26.766
926,15.672,22.234,27.408
927,15.333,22.035,27.020
928,16.284,22.985,27.896
929,15.358,21.985,26.990
930,15.930,22.851,27.940
931,15.498,22.154,27.174
932,15.403,22.050,27.264
933,16.522,23.219,28.254
934,15.786,22.388,27.408
935,14.965,21.697,26.721
936,15.517,22.214,26.965
937,16.174,22.856,27.706
938,15.483,22.055,26.980
939,15.308,21.970,26.811
940,15.811,22.408,27.935
941,15.697,22.194,27.134
942,16.299,22.871,27.955
943,16.144,22.781,27.826
944,15.826,22.353,27.463
945,16.443,22.881,27.975
946,15.647,22.239,27.398
947,14.945,21.970,26.970
948,15.607,22.159,27.229
949,15.338,22.035,27.075
950,15.274,22.015,27.149
951,15.383,22.204,27.010
952,15.383,22.090,26.856
953,15.512,22.090,27.090
954,15.761,22.363,27.448
955,15.597,22.383,27.129
956,16.458,23.164,27.841
957,15.756,22.274,27.025
958,15.398,21.831,26.781
959,15.617,22.164,27.149
960,15.756,22.284,27.149
961,15.841,22.204,27.060
962,15.861,22.433,27.070
963,15.124,21.602,26.542
964,15.045,21.552,26.483
965,15.294,21.950,27.179
966,16.353,23.020,27.990
967,15.652,22.328,27.000
968,15.726,22.129,27.144
969,15.637,22.313,27.483
970,15.209,21.781,26.811
971,15.532,22.333,27.303
972,15.970,22.443,27.567
973,15.463,22.035,26.871
974,15.587,22.388,27.358
975,15.388,22.154,27.189
976,15.368,22.174,27.080
977,15.741,22.438,27.443
978,15.433,21.891,26.816
979,16.100,22.582,27.433
980,16.050,22.900,27.861
981,15.915,22.607,27.816
982,15.861,22.453,27.338
983,15.562,22.124,27.030
984,14.109,20.876,25.806
985,15.423,22.189,27.403
986,16.050,22.473,27.711
987,15.363,21.761,26.701
988,16.617,23.244,28.095
989,15.507,21.975,26.985
990,15.960,22.537,27.403
991,16.264,22.627,27.851
992,16.010,22.493,27.612
993,15.736,22.378,27.448
994,15.975,22.672,27.826
995,15.005,21.488,26.483
996,16.085,22.408,27.607
997,15.741,22.632,27.502
998,15.821,22.179,27.328
999,15.607,22.383,27.204
1000,15.169,21.866,26.886
1001,16.532,23.015,28.139
1002,15.597,22.269,27.154
1003,16.716,23.234,28.259
1004,15.935,22.652,27.687
1005,15.537,22.139,27.020
1006,15.876,22.512,27.642
1007,16.000,22.881,27.692
1008,15.637,22.124,27.080
1009,16.279,22.856,27.557
1010,15.537,22.080,27.070
1011,15.328,21.905,26.891
1012,15.239,21.697,26.582
1013,16.194,22.697,27.468
1014,15.139,21.781,26.841
1015,16.199,22.836,27.617
1016,15.488,22.264,27.070
1017,16.279,22.716,27.597
1018,15.468,22.000,26.900
1019,15.881,22.806,27.945
1020,15.149,21.672,26.801
1021,15.607,22.174,27.378
1022,15.920,22.433,27.249
1023,15.796,22.219,27.373
1024,14.975,21.463,26.418
1025,16.060,22.935,27.910
1026,15.244,21.667,26.861
1027,15.970,22.393,27.333
1028,16.040,22.458,27.522
1029,15.552,22.060,27.129
1030,16.124,22.706,27.607
1031,15.866,22.483,27.209
1032,16.070,22.498,27.866
1033,15.338,21.826,27.055
1034,16.194,22.866,27.751
1035,16.224,22.697,27.542
1036,15.612,22.139,27.010
1037,16.294,22.781,27.637
1038,15.438,21.915,26.771
1039,14.970,21.567,26.368
1040,16.139,22.726,27.642
1041,15.438,22.055,26.796
1042,14.751,21.303,26.174
1043,15.761,22.289,26.990
1044,15.741,22.279,27.119
1045,15.488,22.075,26.836
1046,15.985,22.552,27.557
1047,15.085,21.488,26.438
1048,15.677,22.219,27.294
1049,15.468,21.905,26.905
1050,16.647,23.035,27.876
1051,15.776,22.318,27.328
1052,16.164,22.572,27.826
1053,15.900,22.348,27.328
1054,16.532,22.970,27.706
1055,15.239,21.786,26.617
1056,14.771,21.637,26.577
