lambda_idx,t_1_ms,t_2_ms,t_3_ms
0,15.781,22.642,27.468
1,15.955,22.896,27.448
2,15.836,22.900,27.498
3,15.522,22.254,26.975
4,15.781,22.617,27.363
5,15.622,22.453,26.960
6,15.552,22.343,26.692
7,15.289,22.284,26.940
8,15.612,22.448,27.219
9,16.786,23.468,28.075
10,16.249,23.030,27.761
11,15.891,22.652,27.249
12,16.289,23.308,28.169
13,15.945,22.761,27.244
14,15.607,22.841,27.448
15,15.831,22.791,27.448
16,15.338,22.453,26.771
17,15.891,22.607,27.174
18,15.801,22.726,27.363
19,14.935,21.761,26.652
20,15.910,22.766,27.512
21,16.045,23.303,28.149
22,15.373,22.114,26.746
23,15.617,22.134,26.826
24,15.483,22.697,27.144
25,15.343,22.015,26.687
26,16.100,22.826,27.662
27,15.433,22.522,27.030
28,15.134,21.995,26.592
29,15.134,22.139,26.746
30,15.607,22.721,27.289
31,15.776,22.677,27.164
32,16.289,23.284,27.562
33,14.836,21.627,26.284
34,15.542,22.194,27.005
35,15.741,22.403,27.050
36,14.900,21.612,25.915
37,16.080,23.104,27.711
38,15.667,22.637,27.308
39,15.871,22.806,27.313
40,14.821,21.945,26.353
41,14.697,21.682,26.343
42,15.443,22.303,27.090
43,15.572,22.343,26.871
44,15.552,22.333,26.687
45,15.677,22.473,27.124
46,15.448,21.886,26.607
47,15.269,22.100,26.652
48,16.050,22.607,26.796
49,16.134,23.269,27.940
50,15.045,22.085,26.637
51,15.801,22.672,26.990
52,15.826,22.965,27.851
53,15.577,22.507,27.219
54,15.383,22.209,26.771
55,15.826,22.299,26.940
56,15.980,22.801,27.343
57,15.552,22.179,26.711
58,15.274,22.000,26.378
59,14.950,21.682,26.159
60,16.393,23.249,27.915
61,15.900,22.597,27.284
62,15.562,22.587,26.896
63,15.114,22.045,26.567
64,15.751,22.831,27.080
65,15.124,22.050,26.612
66,14.965,21.761,26.095
67,14.816,21.502,25.861
68,15.736,22.493,26.920
69,14.746,21.592,26.090
70,15.020,21.915,26.537
71,15.234,22.129,26.532
72,15.323,21.796,26.517
73,15.194,22.080,26.527
74,15.970,23.020,27.443
75,15.169,22.030,26.672
76,15.124,21.647,26.204
77,15.463,22.164,26.687
78,15.149,21.786,26.194
79,15.154,21.975,26.517
80,15.473,22.040,26.517
81,15.756,22.483,27.159
82,16.348,22.950,27.706
83,14.856,21.473,25.861
84,15.478,21.995,26.602
85,15.841,22.338,26.871
86,15.229,21.876,26.358
87,15.572,22.219,26.761
88,16.005,22.816,27.333
89,15.224,21.821,26.582
90,14.985,21.622,25.925
91,15.577,22.144,26.682
92,14.876,21.373,26.035
93,15.602,22.428,27.055
94,15.050,21.876,26.517
95,15.522,22.219,26.657
96,15.493,22.338,26.826
97,15.244,21.866,26.453
98,15.433,22.134,26.692
99,15.582,22.179,26.627
100,14.751,21.592,26.114
101,14.866,21.532,26.124
102,15.498,21.756,26.363
103,14.930,21.697,26.294
104,14.582,21.254,25.547
105,14.647,21.438,25.970
106,15.095,22.055,26.328
107,15.219,21.642,26.269
108,15.522,22.239,26.652
109,14.209,21.174,25.622
110,15.104,21.866,26.348
111,15.701,22.463,26.965
112,15.871,22.373,27.080
113,15.418,22.194,26.692
114,15.741,22.318,26.935
115,15.547,22.448,26.831
116,15.687,22.473,27.308
117,15.000,21.786,26.279
118,15.483,22.408,27.284
119,14.995,21.731,26.204
120,15.826,22.597,27.244
121,15.234,22.100,26.786
122,15.647,22.567,27.114
123,14.652,21.697,25.587
124,14.597,21.338,25.975
125,15.005,21.507,26.080
126,14.980,21.821,26.537
127,15.473,22.075,26.726
128,14.995,22.224,26.313
129,14.289,21.403,25.796
130,15.672,22.368,26.891
131,14.642,21.383,25.910
132,14.498,21.259,26.060
133,15.483,22.035,26.692
134,15.403,22.025,26.343
135,15.672,22.443,26.751
136,15.493,22.204,26.607
137,14.915,21.617,25.905
138,14.597,21.557,25.925
139,15.582,22.289,26.846
140,15.632,22.269,26.677
141,15.030,21.886,26.358
142,14.891,21.507,26.184
143,15.005,21.453,25.985
144,15.134,21.781,26.214
145,15.512,22.174,26.607
146,15.512,22.353,26.896
147,15.522,21.955,26.522
148,15.622,22.338,26.841
149,14.637,21.318,25.706
150,15.617,22.214,26.955
151,15.617,22.050,26.766
152,15.338,22.129,26.507
153,15.363,22.070,26.657
154,14.373,21.279,25.627
155,15.318,21.905,26.373
156,15.189,21.960,26.522
157,15.682,22.358,26.920
158,16.368,23.189,27.821
