lambda_idx,t_1_ms,t_2_ms,t_3_ms
0,15.975,22.736,27.701
1,16.244,22.841,27.716
2,15.796,22.557,27.721
3,15.488,22.035,27.373
4,16.040,22.194,27.453
5,15.617,22.134,27.129
6,15.428,21.990,27.005
7,15.468,21.935,27.045
8,15.751,22.458,27.229
9,16.667,23.413,28.194
10,16.418,22.856,27.776
11,15.925,22.597,27.672
12,16.642,23.353,28.139
13,15.856,22.617,27.413
14,15.861,22.507,27.527
15,16.229,22.597,27.547
16,15.617,22.070,27.065
17,15.876,22.393,27.249
18,15.970,22.677,27.403
19,14.980,21.821,26.677
20,16.085,22.552,27.746
21,16.284,23.179,28.184
22,15.458,22.025,26.836
23,15.751,21.721,27.045
24,15.761,22.468,27.269
25,15.323,21.940,26.682
26,16.338,22.886,27.736
27,15.617,22.428,27.080
28,15.194,21.746,26.567
29,15.478,21.925,26.801
30,15.721,22.468,27.632
31,16.020,22.428,27.393
32,16.562,23.030,27.990
33,14.970,21.572,26.289
34,15.821,21.985,27.080
35,15.955,22.289,27.328
36,15.070,21.532,26.403
37,16.174,22.980,27.861
38,15.711,22.547,27.478
39,15.935,22.667,27.493
40,15.104,21.677,26.498
41,14.905,21.512,26.627
42,15.488,22.045,27.095
43,15.766,22.284,26.861
44,15.667,22.294,26.990
45,15.637,22.577,27.254
46,15.393,21.940,26.791
47,15.502,21.935,26.587
48,16.189,22.726,27.289
49,16.353,23.010,28.204
50,15.199,21.791,26.891
51,15.935,22.453,27.239
52,16.040,22.945,27.930
53,15.612,22.423,27.343
54,15.303,21.891,26.910
55,15.836,22.348,27.119
56,16.264,22.697,27.682
57,15.657,22.085,26.811
58,15.244,21.791,26.557
59,15.085,21.597,26.453
60,16.373,23.025,28.050
61,16.020,22.453,27.348
62,15.726,22.254,26.915
63,15.289,21.876,26.811
64,15.900,22.567,27.239
65,15.338,22.020,26.697
66,14.995,21.602,26.065
67,14.980,21.428,26.204
68,16.144,22.378,26.940
69,14.801,21.398,26.388
70,15.164,21.836,26.706
71,15.299,21.801,26.856
72,15.378,21.836,26.413
73,15.323,21.801,26.771
74,16.139,22.801,27.751
75,15.398,21.920,26.786
76,15.254,21.572,26.547
77,15.731,21.905,26.756
78,15.214,21.751,26.463
79,15.299,21.791,26.682
80,15.502,21.701,26.468
81,15.761,22.453,27.234
82,16.542,22.861,27.811
83,14.801,21.254,26.224
84,15.637,21.995,26.925
85,16.035,22.144,27.199
86,15.199,21.766,26.567
87,15.771,22.040,26.980
88,16.114,22.751,27.478
89,15.318,21.975,26.692
90,15.224,21.587,26.080
91,15.602,22.040,27.005
92,14.891,21.398,26.199
93,16.020,22.368,27.050
94,15.274,21.642,26.751
95,15.552,22.139,27.169
96,15.657,22.055,26.995
97,15.259,21.811,26.716
98,15.348,22.060,26.751
99,15.632,22.005,26.771
100,14.731,21.388,26.279
101,15.005,21.299,26.403
102,15.517,21.488,26.537
103,14.990,21.547,26.388
104,14.592,21.159,25.806
105,14.756,21.224,26.164
106,15.338,21.751,26.766
107,15.348,21.592,26.572
108,15.637,21.886,26.995
109,14.318,21.035,25.687
110,15.139,21.527,26.647
111,15.781,22.289,27.134
112,16.010,22.318,27.080
113,15.642,22.060,26.766
114,15.816,22.313,27.050
115,15.697,22.025,27.045
116,15.627,22.453,27.468
117,15.045,21.522,26.507
118,15.721,22.433,27.393
119,15.124,21.751,26.532
120,15.846,22.393,27.279
121,15.463,22.000,26.995
122,15.896,22.453,27.507
123,14.826,21.259,25.960
124,14.871,21.194,26.254
125,15.194,21.338,26.279
126,15.080,21.856,26.692
127,15.537,22.030,26.846
128,15.413,21.930,26.697
129,14.607,21.134,26.075
130,15.711,22.075,27.005
131,14.821,21.373,26.119
132,14.642,21.139,26.005
133,15.577,22.035,26.781
134,15.507,21.706,26.567
135,15.721,22.289,27.070
136,15.711,21.960,26.622
137,15.144,21.542,26.289
138,14.617,21.393,26.114
139,15.791,22.174,27.109
140,15.701,22.219,26.995
141,15.323,21.731,26.647
142,14.925,21.393,26.040
143,15.095,21.169,26.209
144,15.433,21.711,26.463
145,15.721,22.149,26.821
146,15.731,22.239,27.264
147,15.498,21.836,26.811
148,15.612,22.144,26.990
149,14.592,21.154,26.100
150,15.761,22.095,27.090
151,15.562,22.015,26.781
152,15.448,21.826,26.841
153,15.517,22.025,26.607
154,14.547,20.960,25.806
155,15.413,21.776,26.408
156,15.343,22.030,26.886
157,15.711,22.209,27.119
158,16.408,22.960,27.726
159,13.955,20.025,25.080
160,14.970,21.284,26.104
161,15.915,22.239,27.095
162,15.015,21.164,25.940
163,15.512,22.144,26.856
164,15.090,21.403,26.289
165,15.647,22.139,26.925
166,14.930,21.438,26.308
167,15.149,21.567,26.219
168,14.935,21.124,26.055
169,15.453,22.040,26.886
170,16.184,22.488,27.368
171,15.542,21.990,26.801
172,16.090,22.493,27.104
173,15.169,21.677,26.453
174,15.507,21.960,26.672
175,15.677,21.945,26.721
176,15.572,21.756,26.627
177,15.512,22.119,26.886
178,15.154,21.353,26.408
179,14.955,21.567,26.348
180,15.189,21.692,26.448
181,14.214,20.622,25.393
182,14.418,20.741,25.552
183,15.527,22.090,26.667
184,15.269,21.632,26.323
185,14.512,20.786,25.771
186,16.030,22.542,27.254
187,15.254,21.721,26.244
188,16.179,22.657,27.328
189,15.965,22.189,27.224
190,14.881,21.274,25.930
191,16.129,22.612,27.652
192,16.647,23.015,27.657
193,15.493,21.826,26.562
194,15.826,22.224,26.985
195,15.498,22.144,26.701
196,15.796,22.289,26.965
197,14.866,21.254,26.025
198,15.627,22.080,26.831
199,15.129,21.582,26.542
200,16.463,22.871,27.746
201,15.821,22.025,26.697
202,15.234,21.667,26.363
203,15.070,21.498,26.398
204,15.303,21.647,26.517
205,15.318,21.756,26.512
206,14.547,21.154,25.945
207,15.313,21.776,26.433
208,15.050,21.637,26.393
209,15.438,22.114,27.045
210,14.562,20.950,25.682
211,15.129,21.438,26.333
212,14.965,21.587,26.358
213,15.090,21.388,26.353
214,15.139,21.502,26.338
215,15.741,21.910,26.328
216,15.149,21.766,26.542
217,14.881,21.164,26.030
218,14.701,21.353,26.333
219,15.627,21.866,26.871
220,14.716,21.264,26.184
221,14.846,21.522,26.328
222,14.343,20.637,25.493
223,15.065,21.458,26.557
224,15.274,21.706,26.532
225,14.711,21.318,26.035
226,14.930,21.463,26.065
227,14.721,21.378,26.100
228,14.478,21.085,25.905
229,15.060,21.592,26.443
230,15.119,21.572,26.040
231,15.204,21.692,26.413
232,16.025,22.338,27.164
233,15.557,22.179,26.896
234,15.308,21.876,26.697
235,15.070,21.483,26.313
236,14.920,21.473,26.408
237,14.920,21.164,25.990
238,14.388,20.920,25.776
239,15.423,21.826,26.567
240,15.259,21.801,26.741
241,15.448,22.040,26.682
242,15.463,21.886,26.672
243,15.299,21.985,26.667
244,15.612,21.821,26.438
245,15.179,21.587,26.020
246,15.965,22.184,27.104
247,15.925,22.234,26.965
248,15.408,21.433,26.443
249,15.159,21.587,26.488
250,15.169,21.741,26.338
251,14.766,21.129,26.005
252,14.985,21.353,26.159
253,15.328,21.577,26.368
254,15.378,21.711,26.358
255,15.169,21.537,26.348
256,14.856,21.249,26.065
257,14.786,20.861,25.692
258,14.791,21.164,25.990
259,15.015,21.249,26.244
260,14.567,21.124,25.930
261,14.786,21.179,26.184
262,15.249,21.945,26.851
263,15.104,21.652,26.413
264,14.816,21.428,26.308
265,15.756,22.229,27.050
266,15.557,22.025,26.970
267,15.164,21.891,26.841
268,14.846,21.488,26.144
269,15.274,21.572,26.567
270,15.776,22.259,27.070
271,15.801,22.139,26.861
272,15.184,21.612,26.557
273,15.144,21.736,26.512
274,15.970,22.478,27.527
275,15.249,21.652,26.527
276,14.806,21.274,25.990
277,15.229,21.721,26.602
278,14.910,21.333,26.348
279,15.383,22.164,26.950
280,15.333,21.741,26.448
281,15.408,21.687,26.478
282,15.701,22.060,26.881
283,15.274,21.716,26.632
284,15.134,21.677,26.149
285,15.572,22.015,26.557
286,15.876,22.179,26.821
287,14.706,21.075,25.801
288,15.647,21.881,26.617
289,15.766,22.254,27.030
290,15.085,21.801,26.527
291,14.985,21.373,26.154
292,15.269,21.612,26.338
293,15.060,21.582,26.612
294,15.224,21.786,26.761
295,16.070,22.473,27.119
296,15.657,22.398,27.159
297,15.463,21.841,26.458
298,15.348,21.806,26.483
299,14.841,21.144,25.746
300,15.383,21.741,26.239
301,15.194,21.458,26.139
302,15.453,21.965,26.692
303,15.443,21.886,26.607
304,15.368,21.537,26.483
305,15.826,22.124,26.985
306,15.846,22.438,27.199
307,14.373,20.806,25.935
308,15.751,22.104,26.856
309,15.065,21.980,26.965
310,15.731,22.249,26.925
311,15.179,21.388,26.418
312,15.861,22.075,26.677
313,15.836,22.468,27.572
314,15.935,22.423,27.174
