lambda_idx,t_1_ms,t_2_ms,t_3_ms
0,16.114,22.821,27.796
1,16.294,22.836,27.736
2,16.139,22.507,27.896
3,15.697,22.393,27.308
4,15.821,22.408,27.701
5,15.697,22.353,27.184
6,15.577,22.065,27.204
7,15.507,22.199,27.308
8,15.811,22.433,27.632
9,17.015,23.453,28.378
10,16.478,22.930,28.219
11,16.154,22.562,27.672
12,16.672,23.184,28.408
13,16.204,22.592,27.746
14,15.905,22.776,28.015
15,16.204,22.771,27.746
16,15.716,22.045,27.199
17,16.030,22.522,27.438
18,16.030,22.632,27.527
19,15.134,21.781,26.821
20,16.219,22.692,27.816
21,16.279,23.104,28.318
22,15.552,22.085,27.070
23,15.667,22.055,27.045
24,15.751,22.697,27.483
25,15.458,21.662,26.910
26,16.323,22.682,27.761
27,15.836,22.463,27.149
28,15.403,21.930,26.786
29,15.483,22.000,26.915
30,15.836,22.597,27.612
31,16.000,22.687,27.338
32,16.453,23.184,28.090
33,14.940,21.766,26.507
34,15.801,22.164,27.149
35,15.960,22.552,27.433
36,15.144,21.542,26.299
37,16.294,23.090,28.070
38,15.985,22.423,27.801
39,15.851,22.776,27.806
40,15.299,21.960,26.776
41,15.129,21.697,26.940
42,15.577,22.214,27.363
43,15.836,22.249,27.438
44,15.816,22.308,27.124
45,15.766,22.318,27.512
46,15.751,22.159,26.915
47,15.388,22.015,26.692
48,16.045,22.542,27.179
49,16.537,23.259,28.289
50,15.328,21.990,26.960
51,15.950,22.294,27.224
52,16.219,23.020,27.930
53,15.950,22.398,27.627
54,15.537,21.935,26.915
55,16.020,22.428,27.463
56,16.279,22.781,27.721
57,15.672,22.244,27.269
58,15.373,21.746,26.572
59,15.179,21.597,26.587
60,16.692,23.229,28.234
61,16.050,22.607,27.697
62,15.746,22.333,27.303
63,15.473,21.886,26.866
64,15.905,22.512,27.463
65,15.453,21.955,26.771
66,15.114,21.567,26.284
67,15.085,21.378,26.209
68,15.886,22.383,27.269
69,14.970,21.308,26.532
70,15.284,21.905,26.925
71,15.373,22.149,26.881
72,15.597,21.786,26.547
73,15.413,21.692,26.960
74,16.259,22.821,28.010
75,15.428,21.980,27.050
76,15.363,21.562,26.502
77,15.741,22.055,26.821
78,15.353,21.771,26.677
79,15.453,21.831,26.871
80,15.786,21.950,26.706
81,15.866,22.577,27.483
82,16.552,23.055,27.900
83,14.920,21.358,26.443
84,15.736,22.204,27.134
85,16.030,22.219,27.104
86,15.179,21.915,26.701
87,15.786,22.274,27.299
88,16.244,22.517,27.726
89,15.443,21.711,26.697
90,15.338,21.542,26.323
91,15.806,22.229,27.139
92,15.050,21.741,26.393
93,15.975,22.333,27.338
94,15.353,21.682,26.905
95,15.766,22.184,27.219
96,15.791,22.174,27.109
97,15.433,21.891,26.716
98,15.562,22.075,27.174
99,15.831,22.194,27.010
100,14.801,21.562,26.493
101,15.050,21.383,26.318
102,15.527,21.667,26.552
103,15.129,21.537,26.428
104,14.716,21.219,25.990
105,14.940,21.373,26.388
106,15.403,21.692,26.716
107,15.438,21.771,26.766
108,15.672,22.154,27.075
109,14.527,20.995,25.871
110,15.264,21.821,26.687
111,15.881,22.333,27.333
112,16.050,22.244,27.348
113,15.751,22.313,27.159
114,15.900,22.348,27.483
115,15.821,22.219,27.184
116,15.846,22.368,27.622
117,15.264,21.557,26.473
118,15.537,22.512,27.632
119,15.249,21.831,26.522
120,15.960,22.353,27.378
121,15.587,21.970,26.896
122,16.080,22.428,27.453
123,14.990,21.308,26.020
124,14.856,21.169,26.423
125,15.239,21.597,26.502
126,15.274,21.881,26.811
127,15.731,22.065,26.796
128,15.428,21.935,26.791
129,14.567,21.075,26.199
130,15.831,22.333,26.990
131,14.841,21.269,26.303
132,14.746,21.209,26.284
133,15.542,22.050,26.940
134,15.537,21.866,26.776
135,15.896,22.398,27.299
136,15.811,21.896,26.806
137,15.129,21.602,26.373
138,14.756,21.328,26.194
139,15.866,22.244,27.214
140,15.841,22.194,27.035
141,15.279,21.756,26.667
142,15.179,21.323,26.318
143,15.199,21.229,26.274
144,15.692,21.677,26.831
145,15.796,21.965,27.025
146,15.930,22.358,27.114
147,15.682,21.891,27.075
148,15.692,22.095,27.134
149,14.836,21.244,26.129
150,15.761,22.368,27.269
151,15.905,21.940,26.851
152,15.657,22.005,27.040
153,15.602,21.990,27.025
154,14.622,21.035,25.990
155,15.597,21.806,26.647
156,15.428,21.900,27.015
157,15.856,22.194,27.323
158,16.731,22.955,27.866
159,13.950,19.975,25.005
160,15.090,21.493,26.383
161,16.010,22.338,27.114
162,15.169,21.174,26.085
163,15.468,21.965,27.169
164,15.274,21.433,26.338
165,15.801,22.144,27.139
166,15.144,21.552,26.269
167,15.378,21.473,26.358
168,14.970,21.393,26.254
169,15.617,22.104,27.075
170,16.244,22.662,27.642
171,15.662,21.896,26.801
172,16.388,22.687,27.303
173,15.408,21.796,26.607
174,15.423,21.905,26.697
175,15.617,22.030,26.900
176,15.572,21.900,26.677
177,15.716,22.109,26.970
178,15.134,21.577,26.517
179,15.254,21.632,26.488
180,15.348,21.642,26.582
181,14.080,20.811,25.498
182,14.468,20.816,25.791
183,15.736,22.050,27.055
184,15.378,21.672,26.557
185,14.527,20.975,25.826
186,16.035,22.587,27.557
187,15.303,21.617,26.507
188,16.299,22.562,27.214
189,16.040,22.358,27.443
190,14.955,21.428,26.408
191,16.328,22.657,27.682
192,16.632,23.060,28.114
193,15.552,21.841,26.781
194,15.975,22.363,27.284
195,15.721,21.955,26.915
196,15.980,22.269,27.159
197,14.886,21.229,26.124
198,15.771,22.229,27.244
199,15.333,21.761,26.766
200,16.637,22.816,27.955
201,15.721,21.876,26.886
202,15.423,21.582,26.493
203,15.149,21.413,26.458
204,15.443,21.627,26.512
205,15.517,21.766,26.925
206,14.801,21.328,26.144
207,15.378,21.761,26.726
208,15.090,21.627,26.552
209,15.547,22.259,26.861
210,14.622,21.065,25.915
211,15.502,21.542,26.726
212,15.060,21.701,26.652
213,15.124,21.502,26.542
214,15.219,21.398,26.493
215,15.706,22.055,26.687
216,15.234,21.672,26.423
217,15.134,21.323,26.104
218,14.602,21.398,26.527
219,15.587,22.040,27.005
220,14.851,21.383,26.129
221,14.965,21.557,26.612
222,14.338,20.856,25.721
223,15.085,21.682,26.642
224,15.388,21.726,26.597
225,14.741,21.274,26.109
226,15.264,21.428,26.368
227,14.940,21.383,26.383
228,14.612,21.080,26.124
229,15.080,21.592,26.493
230,15.194,21.552,26.075
231,15.299,21.801,26.627
232,16.104,22.373,27.403
233,15.756,22.075,27.154
234,15.413,21.980,27.035
235,15.124,21.418,26.547
236,15.090,21.672,26.443
237,14.940,21.313,26.254
238,14.582,21.035,26.134
239,15.418,22.055,26.900
240,15.522,22.015,27.035
241,15.617,22.109,26.721
242,15.488,21.781,26.771
243,15.547,21.900,26.886
244,15.547,21.920,26.507
245,15.408,21.662,26.060
246,16.025,22.363,27.328
247,16.090,22.279,27.149
248,15.289,21.756,26.682
249,15.408,21.776,26.617
250,15.179,21.294,26.537
251,15.010,21.264,26.184
252,15.025,21.428,26.000
253,15.234,21.622,26.363
254,15.517,21.657,26.562
255,15.209,21.692,26.468
256,15.100,21.308,26.418
257,14.960,20.925,25.662
258,14.891,21.259,26.284
259,15.050,21.557,26.383
260,14.667,21.164,26.189
261,14.886,21.303,26.279
262,15.433,22.050,26.841
263,15.249,21.493,26.756
264,15.005,21.488,26.368
265,15.816,22.348,27.234
266,15.741,22.184,27.010
267,15.572,22.040,27.055
268,15.085,21.184,26.313
269,15.483,21.706,26.806
270,15.761,22.358,27.408
271,15.796,22.070,26.990
272,15.284,21.811,26.930
273,15.383,21.801,26.836
274,16.065,22.572,27.662
275,15.333,21.731,26.756
276,15.015,21.249,26.279
277,15.413,21.801,26.527
278,15.005,21.368,26.279
279,15.532,22.060,27.139
280,15.338,21.905,26.801
281,15.502,21.756,26.522
282,15.950,22.100,26.856
283,15.289,21.751,26.682
284,15.239,21.448,26.388
285,15.716,21.886,26.930
286,15.910,22.214,27.010
287,14.955,20.900,25.980
288,15.721,21.881,26.622
289,16.005,22.234,27.124
290,15.264,21.542,26.672
291,15.100,21.393,26.159
292,15.398,21.786,26.522
293,15.119,21.438,26.652
294,15.348,21.801,26.677
295,16.169,22.493,27.274
296,15.662,22.164,27.119
297,15.612,21.851,26.562
298,15.428,21.846,26.502
299,14.945,21.109,26.055
300,15.358,21.682,26.438
301,15.095,21.512,26.284
302,15.622,21.990,26.836
303,15.408,21.831,26.587
304,15.383,21.796,26.502
305,16.000,22.358,27.323
306,16.154,22.697,27.468
307,14.468,20.881,26.020
308,15.806,22.065,26.920
309,15.294,22.080,27.030
