lambda_idx,t_1_ms,t_2_ms,t_3_ms
0,16.323,16.095,28.522
1,16.542,16.333,28.403
2,16.333,15.995,28.627
3,16.045,15.856,28.224
4,16.134,15.925,28.249
5,16.035,15.726,28.184
6,15.851,15.662,28.090
7,15.851,15.582,27.990
8,16.090,15.781,28.194
9,17.323,16.851,29.284
10,16.786,16.632,28.900
11,16.274,15.920,28.572
12,17.025,16.637,28.896
13,16.413,15.940,28.393
14,16.254,15.761,28.473
15,16.428,16.184,28.308
16,15.925,15.532,27.930
17,16.343,16.060,28.224
18,16.259,16.035,28.398
19,15.338,15.224,27.662
20,16.622,16.284,28.294
21,16.711,16.448,28.945
22,15.915,15.498,27.632
23,15.836,15.642,27.522
24,16.035,15.781,28.184
25,15.607,15.468,27.677
26,16.677,16.264,28.527
27,16.129,15.657,28.025
28,15.547,15.313,27.303
29,15.637,15.378,27.483
30,15.975,15.776,28.547
31,16.308,16.025,28.119
32,16.910,16.632,28.701
33,15.254,15.005,27.328
34,16.055,15.726,27.796
35,16.184,16.000,28.134
36,15.269,15.070,27.000
37,16.498,16.119,28.861
38,16.294,15.965,28.119
39,16.433,16.095,28.289
40,15.353,15.154,27.209
41,15.249,14.955,27.408
42,15.940,15.637,27.891
43,16.159,15.910,27.876
44,16.020,15.826,27.801
45,16.119,15.801,28.075
46,15.776,15.517,27.647
47,15.756,15.547,27.592
48,16.488,16.179,27.915
49,16.846,16.522,28.891
50,15.617,15.299,27.567
51,16.129,16.025,28.015
52,16.552,16.159,28.786
53,15.980,15.801,28.373
54,15.736,15.368,27.706
55,16.358,16.045,28.050
56,16.612,16.209,28.522
57,15.920,15.622,27.746
58,15.642,15.358,27.284
59,15.453,15.129,27.269
60,16.915,16.547,28.905
61,16.303,16.114,28.338
62,16.194,15.806,27.766
63,15.647,15.418,27.582
64,16.264,15.960,28.045
65,15.716,15.527,27.378
66,15.423,15.104,26.975
67,15.378,15.050,26.896
68,16.259,16.199,28.090
69,15.164,14.985,27.199
70,15.468,15.209,27.692
71,15.637,15.433,27.493
72,15.791,15.652,27.418
73,15.662,15.343,27.647
74,16.488,16.313,28.368
75,15.891,15.498,27.577
76,15.597,15.284,27.129
77,16.159,15.826,27.627
78,15.692,15.184,27.229
79,15.851,15.353,27.358
80,15.995,15.682,27.438
81,16.199,15.900,27.985
82,16.831,16.428,28.582
83,15.204,15.020,27.174
84,15.980,15.716,27.856
85,16.294,15.925,27.891
86,15.532,15.333,27.373
87,15.955,15.776,27.776
88,16.527,16.224,28.413
89,15.592,15.433,27.587
90,15.488,15.169,27.040
91,15.965,15.682,27.806
92,15.353,14.925,27.060
93,16.224,15.796,27.945
94,15.428,15.154,27.194
95,16.030,15.647,27.960
96,16.040,15.716,28.010
97,15.602,15.353,27.388
98,15.871,15.622,27.453
99,15.980,15.736,27.801
100,15.279,14.796,27.149
101,15.403,15.045,27.085
102,15.841,15.687,27.274
103,15.303,15.214,27.149
104,14.945,14.751,26.662
105,15.214,15.124,27.040
106,15.652,15.418,27.483
107,15.647,15.294,27.259
108,15.980,15.736,27.731
109,14.871,14.522,26.781
110,15.552,15.254,27.179
111,16.090,15.881,27.806
112,16.308,16.030,27.831
113,15.900,15.627,27.617
114,16.179,15.970,27.985
115,16.104,15.692,27.871
116,16.239,15.871,28.164
117,15.408,15.209,27.075
118,15.975,15.726,28.303
119,15.393,15.144,27.299
120,16.264,15.910,28.114
121,15.831,15.478,27.647
122,16.318,15.886,28.184
123,15.264,14.886,26.706
124,14.905,14.851,27.035
125,15.572,15.224,27.100
126,15.562,15.239,27.388
127,16.040,15.766,27.433
128,15.746,15.393,27.458
129,14.841,14.552,26.771
130,16.159,15.841,27.657
131,15.149,14.915,26.915
132,14.990,14.667,26.905
133,15.950,15.502,27.602
134,15.866,15.741,27.453
135,16.174,15.900,27.801
136,16.100,15.756,27.517
137,15.443,15.065,26.980
138,14.950,14.726,26.965
139,16.124,15.861,27.741
140,16.234,15.801,27.527
141,15.771,15.234,27.473
142,15.299,14.950,27.035
143,15.507,15.095,26.831
144,15.851,15.473,27.214
145,15.925,15.612,27.726
146,16.289,15.910,27.756
147,15.891,15.587,27.428
148,16.124,15.801,27.866
149,15.000,14.657,26.841
150,16.124,15.935,27.786
151,15.945,15.821,27.557
152,15.682,15.522,27.706
153,15.861,15.701,27.766
154,14.841,14.552,26.627
155,15.756,15.622,27.274
156,15.642,15.308,27.612
157,16.119,15.841,27.831
158,16.846,16.637,28.562
159,14.214,14.035,25.786
160,15.353,15.070,26.985
161,16.174,15.811,27.861
162,15.343,14.995,26.731
163,15.751,15.637,27.791
164,15.423,15.100,27.164
165,16.075,15.821,27.761
166,15.328,15.080,27.065
167,15.751,15.323,26.925
168,15.259,14.861,26.826
169,15.980,15.677,27.622
170,16.512,16.274,28.224
171,15.846,15.632,27.537
172,16.562,16.179,28.045
173,15.542,15.343,27.159
174,15.836,15.318,27.294
175,15.940,15.741,27.642
176,15.856,15.562,27.378
177,15.831,15.687,27.572
178,15.468,15.109,27.184
179,15.488,15.100,27.124
180,15.642,15.189,27.194
181,14.493,14.075,26.284
182,14.697,14.299,26.433
183,15.990,15.677,27.507
184,15.741,15.274,27.164
185,14.836,14.617,26.522
186,16.617,16.100,28.194
187,15.687,15.284,27.090
188,16.607,16.184,28.129
189,16.383,15.985,27.945
190,15.075,14.896,26.866
191,16.453,16.274,28.607
192,16.741,16.493,28.522
193,15.677,15.488,27.498
194,16.234,15.970,28.000
195,15.866,15.771,27.522
196,16.303,15.970,27.796
197,15.090,14.871,26.791
198,16.045,15.881,27.950
199,15.413,15.368,27.418
200,16.940,16.806,28.473
201,16.114,15.910,27.617
202,15.687,15.438,27.214
203,15.458,15.134,26.886
204,15.726,15.458,27.323
205,15.756,15.383,27.333
206,15.060,14.632,26.831
207,15.582,15.209,27.338
208,15.348,15.164,27.129
209,16.030,15.721,27.637
210,14.900,14.657,26.562
211,15.612,15.279,27.040
212,15.214,14.965,27.378
213,15.348,15.279,26.990
214,15.572,15.279,27.169
215,15.746,15.612,27.154
216,15.557,15.343,27.254
217,15.338,15.090,26.881
218,15.035,14.642,26.995
219,15.985,15.542,27.726
220,15.189,14.806,26.891
221,15.408,15.060,27.065
222,14.731,14.284,26.373
223,15.348,15.303,27.289
224,15.507,15.373,27.040
225,15.040,14.886,26.861
226,15.428,15.104,26.806
227,15.209,14.965,27.055
228,14.945,14.577,26.791
229,15.373,15.234,27.199
230,15.408,15.055,26.751
231,15.562,15.363,27.458
232,16.522,16.080,28.159
233,15.950,15.522,27.632
234,15.612,15.428,27.493
235,15.308,15.035,27.184
236,15.562,15.184,27.194
237,15.274,15.055,26.955
238,14.672,14.522,26.716
239,15.726,15.488,27.423
240,15.786,15.537,27.547
241,15.866,15.682,27.433
242,15.701,15.423,27.418
243,15.637,15.448,27.652
244,15.806,15.582,27.284
245,15.572,15.328,27.050
246,16.353,15.980,27.910
247,16.249,15.896,27.965
248,15.572,15.323,27.303
249,15.657,15.289,27.358
250,15.537,15.189,27.139
251,15.279,14.726,26.652
252,15.358,14.950,26.995
253,15.672,15.408,27.294
254,15.776,15.343,27.244
255,15.453,15.109,27.080
256,15.219,14.920,26.761
257,15.234,14.871,26.577
258,15.109,14.851,26.761
259,15.408,14.945,26.876
260,14.851,14.672,26.647
261,15.179,14.905,26.861
262,15.662,15.582,27.582
263,15.617,15.294,27.144
264,15.264,15.100,26.856
265,16.229,15.945,28.010
266,16.005,15.786,27.652
267,15.617,15.289,27.488
268,15.313,14.990,26.970
269,15.592,15.303,27.433
270,16.080,15.811,28.010
271,16.109,15.816,27.716
272,15.662,15.403,27.438
273,15.592,15.299,27.473
274,16.468,16.045,28.323
275,15.602,15.274,27.353
276,15.264,15.015,26.647
277,15.632,15.294,27.159
278,15.209,14.955,26.896
279,15.697,15.473,27.726
280,15.587,15.408,27.323
