lambda_idx,t_1_ms
0,15049.000
1,14904.000
2,14998.000
3,15025.000
4,15311.000
5,15027.000
6,15368.000
7,15155.000
8,15130.000
9,15347.000
10,15175.000
11,15027.000
12,15253.000
13,14998.000
14,15071.000
15,15301.000
16,14821.000
17,14903.000
18,14995.000
19,14767.000
20,14685.000
21,14903.000
22,15118.000
23,15092.000
24,15106.000
25,15024.000
26,15085.000
27,15088.000
28,15042.000
29,14917.000
30,15045.000
31,15253.000
32,15089.000
33,15237.000
34,15132.000
35,15025.000
36,14944.000
37,15118.000
38,15140.000
39,15229.000
40,15103.000
41,14963.000
42,15359.000
43,14906.000
44,15442.000
45,15036.000
46,15316.000
47,15203.000
48,15185.000
49,15244.000
50,14960.000
51,15223.000
52,15116.000
53,15014.000
54,15225.000
55,15296.000
56,15232.000
57,15099.000
58,14938.000
59,15200.000
60,15156.000
61,14965.000
62,15035.000
63,15110.000
64,15114.000
65,15118.000
66,14810.000
67,15148.000
68,15069.000
69,15245.000
70,15134.000
71,15239.000
72,15255.000
73,14894.000
74,15220.000
75,14990.000
76,15462.000
77,15019.000
78,15263.000
79,15008.000
80,15450.000
81,15148.000
82,15384.000
83,15315.000
84,14894.000
85,15323.000
86,15089.000
87,15246.000
88,15037.000
89,15001.000
90,14943.000
91,15520.000
92,15428.000
93,15178.000
94,15047.000
95,15245.000
96,15199.000
97,14953.000
98,15087.000
99,15098.000
100,15380.000
101,15308.000
102,15180.000
103,15062.000
104,15095.000
105,14974.000
106,14847.000
107,15205.000
108,15335.000
109,15209.000
110,15024.000
111,14957.000
112,14861.000
113,15303.000
114,15124.000
115,15540.000
116,15392.000
117,14917.000
118,14898.000
119,15269.000
120,15082.000
121,15092.000
122,15125.000
123,15274.000
124,15147.000
125,15058.000
126,15198.000
127,15177.000
128,15525.000
129,15028.000
130,15501.000
131,15078.000
132,15338.000
133,15532.000
134,15425.000
135,15143.000
136,15094.000
137,15733.000
138,15202.000
139,15361.000
140,15597.000
141,15393.000
142,15896.000
143,15929.000
144,15555.000
145,15546.000
146,15268.000
147,15118.000
148,15513.000
149,15797.000
150,16421.000
151,16595.000
152,16126.000
153,16131.000
154,16169.000
155,16107.000
156,16400.000
157,15593.000
158,15581.000
159,15290.000
160,15623.000
161,15284.000
162,15635.000
163,15501.000
164,15683.000
165,15963.000
166,16436.000
167,16067.000
168,15945.000
169,16014.000
170,15551.000
171,15444.000
172,15492.000
173,15362.000
174,15252.000
175,15406.000
176,15576.000
177,16074.000
178,16008.000
179,16393.000
180,16325.000
181,15958.000
182,15854.000
183,15642.000
184,14932.000
185,15326.000
186,15509.000
187,15233.000
188,15714.000
189,15297.000
190,15463.000
191,15814.000
192,15847.000
193,15824.000
194,15872.000
195,15511.000
196,16306.000
197,15901.000
198,15621.000
199,15413.000
200,15005.000
201,15755.000
202,15240.000
203,15475.000
204,15379.000
205,15181.000
206,15401.000
207,15657.000
208,15426.000
209,15777.000
210,15420.000
211,15419.000
212,15183.000
213,15434.000
214,15123.000
215,15643.000
216,15079.000
217,15663.000
218,15209.000
219,15416.000
220,15261.000
221,15545.000
222,15485.000
223,15477.000
224,15558.000
225,15938.000
226,15346.000
227,15666.000
228,15565.000
229,15486.000
230,15442.000
231,15365.000
232,15853.000
233,15547.000
234,15944.000
235,15690.000
236,15303.000
237,15704.000
238,15338.000
239,15087.000
240,15514.000
241,15316.000
242,14938.000
243,15255.000
244,15290.000
245,15320.000
246,15733.000
247,15330.000
248,15762.000
249,15960.000
250,16820.000
251,17263.000
252,17394.000
253,16980.000
254,16130.000
255,15620.000
256,15568.000
257,16123.000
258,17457.000
259,16903.000
260,16446.000
261,15773.000
262,15491.000
263,15630.000
264,15610.000
265,15459.000
266,15327.000
267,15409.000
268,15328.000
269,15335.000
270,15308.000
271,15329.000
272,15294.000
273,15441.000
274,15321.000
275,15483.000
276,14978.000
277,15431.000
278,15685.000
279,15437.000
280,14996.000
281,15105.000
282,15445.000
283,15050.000
284,15346.000
285,15351.000
286,14993.000
287,15324.000
288,15717.000
289,15588.000
290,15968.000
291,16252.000
292,15820.000
293,15617.000
294,15335.000
295,15229.000
296,15377.000
297,15368.000
298,15228.000
299,15817.000
300,15444.000
301,15686.000
302,16616.000
303,16915.000
304,16291.000
305,16150.000
306,15743.000
307,15340.000
308,15565.000
309,15268.000
310,14759.000
311,15275.000
312,15215.000
313,15370.000
314,15682.000
315,15743.000
316,15363.000
317,15406.000
318,15754.000
319,15206.000
320,15228.000
321,15400.000
322,15117.000
323,15332.000
324,15094.000
325,15404.000
326,15405.000
327,15258.000
328,15492.000
329,15283.000
330,14888.000
331,15471.000
332,15374.000
333,15599.000
334,15500.000
335,15354.000
336,15597.000
337,15095.000
338,15123.000
339,15340.000
340,15281.000
341,15461.000
342,14983.000
343,15183.000
344,15243.000
345,15271.000
346,15269.000
347,15229.000
348,15454.000
349,15429.000
350,15346.000
351,15513.000
352,15116.000
353,15506.000
354,15422.000
355,15118.000
356,15497.000
357,15199.000
358,15568.000
359,15445.000
360,15166.000
361,15244.000
362,15636.000
363,15370.000
364,15354.000
365,15428.000
366,15275.000
367,15429.000
368,15397.000
369,15271.000
370,15403.000
371,15139.000
372,15488.000
373,15087.000
374,15723.000
375,15152.000
376,15387.000
377,15299.000
378,15477.000
379,15430.000
380,15655.000
381,15418.000
382,14987.000
383,15190.000
384,15206.000
385,15638.000
386,15231.000
387,15516.000
388,15495.000
389,15306.000
390,15175.000
391,16109.000
392,15395.000
393,15485.000
394,15472.000
395,15370.000
396,15358.000
397,15436.000
398,15358.000
399,15795.000
400,15416.000
401,15590.000
402,15250.000
403,15303.000
404,15384.000
405,15428.000
406,15109.000
407,15330.000
408,15549.000
409,15479.000
410,15196.000
411,15292.000
412,15450.000
413,15373.000
414,15272.000
415,15279.000
416,15518.000
417,15304.000
418,15529.000
419,15454.000
420,15355.000
421,15539.000
422,15587.000
423,15944.000
424,15408.000
425,15435.000
426,15255.000
427,15324.000
428,15692.000
429,15497.000
430,14899.000
431,15925.000
432,15467.000
433,15405.000
434,15341.000
435,15337.000
436,15367.000
437,15271.000
438,15120.000
439,15409.000
440,15587.000
441,15624.000
442,15611.000
443,15426.000
444,15336.000
445,15477.000
446,15345.000
447,15515.000
448,15418.000
449,15234.000
450,15191.000
451,15548.000
452,15489.000
453,15342.000
454,15444.000
455,15072.000
456,15547.000
457,15412.000
458,15210.000
